Node1,Node2,Sign
P12931,O15111,1
P12931,P07949,1
P12931,O60716,1
P12814,P12931,1
P12931,P43405,1
O75460,P17861,1
P24941,Q08050,1
P11802,Q08050,1
O15111,Q9Y6Q9,1
Q13546,O15111,1
O15111,Q04206,1
P78527,P14859,-1
P27361,P24941,1
P27361,Q15788,1
P27361,P68400,1
P27361,P20749,1
P27361,P15923,1
P27361,Q04206,1
P27361,P17676,1
P07949,P27361,1
P27361,P17542,1
P27361,P28324,1
P46937,P35222,1
Q86X55,P35222,1
P35222,Q12778,1
P49840,P35222,-1
P35222,Q9UJU2,1
P68400,P35222,1
P35222,P22736,1
P35222,P36402,1
P29597,P52630,1
P29350,P29597,-1
P46937,Q15797,1
P28482,Q15797,-1
Q9NRM7,P46937,-1
P46937,Q15562,1
P46937,Q15561,1
P16220,Q12778,-1
Q14164,Q04864,1
P21580,Q14164,-1
Q9Y261,P32243,-1
Q5VWQ8,O75460,1
P06493,Q9Y6Q9,-1
Q16539,Q9Y6Q9,1
P23246,Q15233,1
P06493,P24941,-1
P06493,P39880,-1
Q15788,Q86X55,1
Q86X55,Q01201,1
P29350,P12814,-1
P29350,P43405,-1
P68400,Q92769,1
P24941,P17676,1
P67775,Q12778,1
P67775,P56524,1
P67775,Q9UQM7,1
P67775,P06400,1
Q16539,P67775,1
P17676,Q12778,1
P09874,Q12778,-1
Q16539,Q12778,1
P28482,Q12778,-1
P49840,P23246,-1
P49840,Q92908,-1
P42224,Q04206,-1
P68400,Q9UJU2,1
P36402,Q9UJU2,1
Q04206,P56524,1
P10242,P23771,1
P10242,P17676,1
P28482,P10242,-1
Q13547,Q06330,-1
Q16539,P61244,1
Q13547,Q04206,-1
Q13547,Q13351,-1
P68400,Q04206,1
P68400,P05549,1
P49841,P20749,1
Q92574,Q15382,-1
P21580,Q13546,-1
Q13546,Q5VWQ8,1
P49918,P11802,-1
Q16539,P15923,1
Q04721,P15923,-1
Q15672,Q04206,-1
Q16539,Q04206,1
P49841,Q04206,1
P49841,P17676,1
Q16539,P17275,1
Q13362,Q16566,-1
P84022,P55317,-1
Q16539,O60381,1
P09874,Q9UGL1,-1
P07949,Q16539,1
P07949,O60716,1
P43405,Q16539,1
Q16539,P28324,1
Q16539,Q06413,1
Q5VWQ8,P49841,1
P13385,P01137,-1
Q86Y01,P50553,-1
P43405,Q13422,1
Q16566,Q03060,1
P23771,P11308,1
Q15672,P10242,-1
P14859,Q5VTD9,1
P19838,P49711,-1
Q01860,Q92908,-1
P17542,Q06413,1
P17542,P11308,1
P42229,Q06413,-1
P31269,Q06413,-1
Q01860,O95936,-1
Q01860,O15178,-1
Q13761,O15111,-1
P25116,Q99612,1
P19544,Q9Y6K1,1
P78396,P19544,-1
P27540,P24941,-1
Q15672,P25116,-1
P46937,Q96J02,-1
Q96J02,P21580,1
P12931,Q9NRM7,-1
P12931,P41235,-1
P04792,P62877,1
P04792,Q00613,1
P49137,P04792,1
O15111,Q9Y618,-1
O15111,P98177,-1
O15111,Q9Y261,-1
P24941,O15350,-1
Q01094,O15350,1
P12643,Q99717,1
P49841,O00327,-1
P27361,P49715,-1
P27361,P10275,-1
P27361,Q92574,-1
P27361,Q13153,-1
P27361,Q13362,-1
P27361,P41182,-1
P27361,P98177,-1
P27361,O95644,-1
P27361,Q01860,-1
O60674,P51692,1
P35222,P48431,-1
P62877,Q00653,1
P06493,Q15717,1
P49137,Q15717,1
Q15717,P01100,1
Q15717,P78396,1
P42224,P27540,1
P27540,Q9H6Z9,1
P27540,P35869,1
P23771,P49715,-1
P61244,P49715,-1
P49715,P22415,1
P49715,P17947,1
P49840,P16220,1
P49137,P16220,1
P16220,P84022,1
P49841,P16220,-1
P16220,P21675,1
P28482,P16220,1
Q03060,P16220,-1
Q14164,P98177,-1
P19838,Q9Y618,1
P62877,P19838,1
P19838,P05412,1
P09874,P19838,1
P19838,P01100,1
P06400,P25490,-1
P06493,P36956,1
P49841,P36956,-1
P28482,P36956,1
P06400,O00716,-1
Q12778,Q9Y618,-1
Q9UQM7,Q9Y618,-1
Q9Y618,P41182,1
P06493,P10275,1
P06493,Q01094,1
P49841,P06493,-1
Q01094,Q14209,1
P06400,Q14209,-1
P05412,Q9NQB0,1
P84022,Q9NQB0,1
Q92769,Q16236,-1
Q92769,P33076,-1
P24941,P15172,-1
P24941,Q01094,-1
P24941,P49918,-1
P24941,Q13153,-1
P24941,P84022,-1
P24941,P98177,-1
P67775,Q13153,-1
P67775,P28482,-1
P67775,P32519,-1
P06400,P20226,-1
O60674,Q14765,1
P49840,O75030,1
Q13362,P49840,1
P78527,Q14653,1
P42224,P10914,1
O60674,P42224,1
P28482,P42224,1
Q00613,P78527,1
P49137,Q00613,1
P49841,Q00613,-1
P10275,P05412,1
P18846,P05412,1
P68400,P05412,-1
P05412,P15407,1
P05412,P17947,1
P05412,P01100,1
P49841,P05412,-1
P28482,P05412,1
P05412,P15408,1
P28482,P10276,1
P10276,P28702,1
P56524,P10275,-1
Q04206,P10275,-1
P49841,P10275,-1
P35869,P10275,1
Q5VWQ8,P10275,-1
P55317,P10275,-1
Q02078,P15172,1
P11802,P15172,-1
Q15382,Q14318,-1
Q14318,Q12809,1
P56524,Q02078,-1
P56524,P84022,-1
Q13362,P18846,1
P23771,Q9UL17,-1
P49137,P11831,1
Q01094,Q13547,1
Q01196,Q13547,1
Q01664,Q13547,1
Q9UQM7,Q13362,-1
Q9UQM7,P15036,-1
O60674,P42226,1
Q9H6Z9,Q99814,1
P78527,P22415,1
P68400,Q08945,-1
