Node1,Node2,Sign
P17612,P25054,-1
P17612,P36956,-1
P17612,P49841,-1
P17612,Q13131,-1
P17612,P33076,-1
Q96J02,Q86Y01,-1
P15336,P18847,1
O75460,P17861,1
Q02750,Q08050,1
Q15349,P18848,1
Q02750,Q15349,1
P04406,P14859,1
Q09472,O43524,-1
Q09472,P41182,-1
P35222,Q9NQB0,1
P49840,P35222,-1
P35222,Q9UJU2,1
P46531,P35222,-1
P35222,O75030,1
P35222,P36402,1
P35222,O43524,1
P35222,P15884,1
P05067,P04406,-1
P40763,Q16665,-1
O75925,Q13485,1
Q13485,Q9UJU2,1
Q13485,P15336,1
Q13485,Q16254,1
Q13485,Q14186,1
P42224,P27540,1
P27540,Q9H6Z9,1
P23771,P49715,-1
P49715,P17947,1
Q01196,P49715,-1
Q14164,P42224,1
Q14164,Q04864,1
P21580,Q14164,-1
P11021,O75460,-1
P03372,Q16236,-1
P67775,P04049,1
P04049,P31947,1
P04049,Q02750,1
Q05513,P04049,-1
Q05655,P04049,1
O60674,P04049,1
Q13131,P04049,1
P49841,P25054,1
P52630,P42224,1
O60674,P52630,1
Q9Y618,P06401,-1
Q9Y618,Q92731,-1
P55210,P09874,-1
P55210,Q02080,-1
P67775,P06400,1
P67775,O43524,1
O60674,P67775,1
O60674,Q14765,1
P49840,Q92908,-1
O75925,O75626,1
Q13131,O75925,1
P28562,P53778,-1
P42226,P42224,-1
P00519,P42224,1
Q05655,P42224,1
O60674,P42224,1
P42224,P14316,1
Q9UJU2,O75030,1
P36402,Q9UJU2,1
Q9UJU2,Q04724,1
P00519,Q13535,1
Q13535,Q03164,1
Q13535,P23025,1
O75444,Q16236,1
P26367,O75444,1
P23771,Q9UL17,-1
P68400,P61244,-1
P61244,Q99583,1
Q03164,Q01201,1
Q9UQM7,P14921,-1
Q9UQM7,P15036,-1
Q9H6Z9,Q99814,1
P68400,Q16236,-1
P68400,Q14145,-1
P49841,P20749,1
P06400,P15336,1
P53778,P15336,1
Q05655,Q02750,1
Q02750,P49841,1
Q02750,P19419,1
P84022,Q06710,-1
P27694,Q9BX63,1
P23025,P27694,1
P06400,Q16665,1
P06400,Q02447,1
Q14186,P06400,1
Q9UBK2,O43524,-1
P09874,Q16665,1
P00519,P17676,1
P49841,P17676,1
P17676,Q16254,1
P84022,P26367,-1
P00519,Q05655,1
P00519,O60674,1
Q4KMG0,P00519,1
Q05513,P49841,-1
Q05655,Q13887,1
Q05655,P26010,1
Q13131,O43524,1
P49841,P33076,1
P26367,P19022,1
P19022,Q4KMG0,1
P15036,P14921,1
P26010,P41240,1
O00257,O60315,-1
P33076,P48382,1
P33076,O14593,1
O00712,P08651,-1
P35222,Q9Y261,1
P14859,Q15672,1
Q9UJU2,P49715,1
Q92826,P15884,-1
P11308,Q15910,1
O00712,Q15910,-1
P17947,Q01543,1
Q01543,P11308,1
Q15672,P10589,1
P53778,P17275,1
P48436,P49716,-1
P17612,P08151,1
P17612,P19838,1
P17612,Q9Y6Q9,1
P17612,P03372,1
P67775,P17612,-1
P17612,P48436,1
P17612,P13631,1
P17612,Q12809,1
P17612,P50549,1
P17612,P05549,1
Q96J02,P46531,1
Q96J02,P21580,1
P41240,Q96J02,-1
O15350,P55212,1
P55212,P05067,1
P55212,P05549,1
Q09472,O15350,1
P46937,O15350,1
P12643,Q99717,1
P18848,Q09472,-1
Q09472,P40763,1
Q09472,P25490,1
Q09472,P28562,1
Q09472,P15172,1
Q09472,P10914,1
Q09472,Q02078,1
Q09472,P42229,1
Q05655,Q09472,-1
Q13131,Q09472,-1
Q09472,Q06413,1
P10070,P08151,1
Q13131,P08151,-1
Q15788,P51692,1
P35222,P48431,-1
P40763,O43474,1
P40763,P18146,1
Q15788,P40763,1
P84022,P40763,1
O00716,P10244,1
Q16254,P10244,-1
P31947,P46937,-1
P46937,Q15562,1
Q14164,P98177,-1
Q9Y261,P32243,-1
P19838,Q9Y618,1
P46531,P19838,1
Q05513,P19838,1
P68400,P25490,1
P06400,P25490,-1
Q15788,P03372,1
P03372,P23771,1
Q9UBK2,P03372,1
Q13887,P03372,-1
P03372,P55317,1
P25054,P68400,-1
P23246,Q15233,1
P06400,O00716,-1
P49841,P10070,-1
Q9Y618,Q96T58,1
Q96T58,O75376,1
P06400,Q14209,-1
P06400,P55210,-1
P67775,Q05513,-1
P67775,P32519,-1
Q05513,P49840,1
Q05655,P49840,-1
P18146,P28562,1
P31947,P98177,-1
P46531,P48431,1
Q15788,P42229,1
Q15788,Q13133,1
Q02078,P15172,1
P00519,P15172,-1
Q06413,P15172,1
P42226,P23771,1
P84022,P23771,1
P19174,Q9UQM7,1
Q05513,P42226,1
P04150,P42229,1
P22736,P04150,1
P04150,P84022,1
P19174,P42229,1
P00519,P19174,-1
P68400,Q8TAQ2,1
P68400,O95644,1
P68400,P56270,1
P68400,P05549,1
Q02750,P17542,-1
P49841,P15407,-1
P84022,P46531,1
Q14145,Q06546,-1
Q9UBK2,P11474,1
Q13469,Q02078,1
P49841,P23246,-1
P84022,Q15329,1
Q05513,P08047,1
Q05513,Q13469,1
Q05513,O95644,1
P09874,Q9UGL1,-1
Q05655,P10588,-1
P41182,P17535,-1
Q04724,Q01196,-1
Q01196,Q03014,1
P49841,Q13469,-1
P49841,O95644,-1
Q9UGL1,O00257,1
P28702,Q13133,1
Q86Y01,P50553,-1
P13631,P28702,1
P28702,P55055,1
Q13131,P41235,-1
Q13469,Q13422,1
P55317,O00712,1
P98177,P15172,1
P08151,P04198,1
P17542,Q06413,1
P20749,P49711,-1
Q15910,Q92826,-1
Q15910,O43623,-1
P46531,Q99081,1
P42226,Q9UBK2,1
P18848,P11021,-1
P04150,Q15788,1
P46531,Q00653,1
P42226,O43474,1
P10070,P12643,1
P04049,P61981,1
P61981,P46937,-1
P61981,P98177,-1
P49768,P35222,-1
P49768,O75460,-1
Q9UHD2,Q04864,1
Q9UHD2,P62258,1
Q9Y2E6,Q9UHD2,-1
P62258,P46937,-1
