Node1,Node2,Sign
P17612,P61586,1
P17612,P16220,1
P17612,Q15831,1
P67775,P17612,-1
P17612,P52564,1
P17612,Q00613,1
P17612,P48436,1
P17612,Q04206,1
P17612,Q13526,1
P17612,P05549,1
P46937,Q96J02,-1
P61586,O75116,1
P37231,Q03135,1
Q9NQC7,P20749,-1
O15111,Q01201,-1
O15111,O43524,-1
O15111,Q9Y261,-1
P19793,P37231,1
P22736,P19793,-1
Q09472,O15350,1
P42574,O15350,1
Q13526,O15350,1
P18848,Q09472,-1
Q13363,Q09472,-1
Q09472,P25490,1
Q09472,P10914,1
Q09472,P06400,1
Q09472,Q92585,1
Q09472,Q02078,1
Q09472,Q04206,1
Q05655,Q09472,-1
Q09472,Q00978,1
P49841,O00327,-1
Q15303,P51692,1
P35222,P48431,-1
Q13363,P48552,-1
P05019,Q15303,1
Q15759,P16220,1
P49841,P16220,-1
Q14164,Q14653,1
Q14164,Q04864,1
Q86WV6,Q14164,1
P68400,P25490,1
P25054,P68400,-1
P49841,P10070,-1
Q05513,Q15831,1
Q15831,Q13131,1
Q15831,P43268,1
P24941,Q14207,1
P24941,P17676,1
P24941,Q14186,1
P24941,Q01167,1
P67775,Q04206,-1
P67775,Q05513,-1
P67775,P32519,-1
P49840,Q92908,-1
Q04206,Q14653,1
Q86WV6,Q14653,1
P52564,Q15759,1
P52564,P53778,1
O75116,Q15306,1
P42224,Q04206,-1
P49841,Q00613,-1
O75081,P17542,-1
P68400,Q9UJU2,1
Q16236,P42574,1
Q92585,Q06330,1
Q06330,P23759,1
Q13362,P18846,1
Q14207,Q9BQA5,1
P68400,P11831,1
P68400,Q13547,1
P20749,Q13547,1
Q01664,Q13547,1
Q03164,Q01201,1
Q05513,Q9UNE7,1
Q9UQM7,Q13362,-1
Q9UQM7,P15036,-1
P18850,Q12772,-1
P68400,Q8TAQ2,1
P68400,Q04206,1
P68400,Q15672,1
P68400,Q16666,1
P68400,P17480,1
P68400,P05549,1
Q15759,P15923,1
Q15759,Q9UBK2,1
Q15759,Q02078,1
Q15759,Q15672,1
Q15759,O60381,1
Q15759,P19419,1
P49841,P15407,-1
P84022,Q06710,-1
P01137,Q06710,-1
Q14186,P06400,1
Q14145,Q06546,-1
P49841,Q92585,-1
Q13131,Q9UBK2,1
Q9UBK2,P11474,1
Q05513,Q04206,1
P17676,P07900,1
P49841,Q16236,-1
Q14145,Q16236,-1
Q03164,P31269,1
P23759,Q03164,1
P09874,Q9UGL1,-1
Q05655,P31946,-1
Q05655,P10588,-1
Q13131,O43524,1
O60716,Q86T24,-1
Q13526,P41182,1
P07900,P35869,1
Q5VWQ8,P31946,-1
Q86Y01,P50553,-1
Q16666,Q86WV6,1
Q13131,Q6N021,1
Q6N021,P19544,1
P43268,Q01860,1
P17542,P11308,1
Q01860,P48431,1
Q01860,P13385,1
Q5VWQ8,P37275,-1
P53778,P17275,1
P18848,P11021,-1
Q5VWQ8,Q92786,-1
P01137,P11802,-1
P01137,Q01664,-1
P27540,P24941,-1
P31269,P05019,1
P17612,P25054,-1
P17612,P49840,-1
P17612,P19174,-1
P17612,O60716,-1
P17612,P49841,-1
P17612,O95644,-1
P17612,P33076,-1
Q96J02,P08151,-1
Q96J02,Q86Y01,-1
P61586,P63000,-1
Q03135,P67775,-1
P63000,Q05655,1
O60716,P63000,1
Q14164,Q9NQC7,-1
O15111,Q00653,1
P49116,O15111,1
O15111,P19838,1
O15111,Q9Y6Q9,1
P19793,P35222,-1
Q9UNE7,Q99717,-1
Q9BY44,P18848,1
Q13131,P08151,-1
P46937,P35222,1
P35222,Q9NQB0,1
P35222,P15172,1
P35222,O75030,1
P35222,P36402,1
P35222,P98177,1
P46937,Q15797,1
Q9UNE7,Q15797,-1
P25054,Q13363,1
Q13131,Q13363,-1
P42224,P27540,1
P27540,Q9H6Z9,1
P09874,P10244,1
P31946,P46937,-1
P46937,Q15561,1
P46937,P28347,1
Q13131,P49116,-1
P49715,P17947,1
Q14164,P98177,-1
P37231,P19838,-1
P19838,P05412,1
P09874,P19838,1
P19838,P01100,1
P49841,P25054,1
P48552,Q13285,-1
P06400,Q14209,-1
P05412,Q9NQB0,1
P84022,Q9NQB0,1
P24941,P15172,-1
P24941,P84022,-1
P24941,P98177,-1
P67775,Q9UQM7,1
P67775,O96017,1
P67775,P08047,1
P67775,P98177,1
P06400,P20226,-1
P49840,O75030,1
Q05655,P42224,1
P42224,P14316,1
Q15303,O75081,-1
P68400,P05412,-1
P05412,P17947,1
P05412,P01100,1
P05412,P15408,1
Q13547,P15172,-1
P11802,P15172,-1
Q06413,P15172,1
P42574,Q9BY44,-1
P42574,P09874,-1
P42574,Q02080,-1
Q13547,O60675,-1
Q13547,P84022,-1
Q13547,O43623,-1
P19174,Q9UQM7,1
P19174,P42229,1
Q9H6Z9,Q99814,1
P11021,P18850,-1
P68400,P08047,-1
P68400,Q14145,-1
P68400,Q13422,-1
P68400,Q01892,-1
Q02156,P15336,1
P11802,Q13761,-1
P06400,P17947,-1
P06400,P21675,-1
P08047,Q9UL17,1
Q04206,Q07869,-1
P22736,Q16665,1
P09874,Q16665,1
O96017,P40337,1
P84022,Q15329,1
P01137,P84022,1
P11802,P84022,-1
P98082,P84022,1
Q05513,P49841,-1
Q05655,Q13887,1
P49841,Q02156,1
Q5VWQ8,P49841,1
P49841,P33076,1
P31946,P98177,-1
P13385,P01137,-1
Q92786,P41235,-1
P11802,Q06413,-1
P98082,Q5VWQ8,1
Q13131,P41235,-1
P33076,P48382,1
P98177,P15172,1
P16220,O43623,-1
Q15672,P10242,-1
Q06413,P05412,1
P28347,P98177,1
Q13547,P49715,-1
P08151,P04198,1
P20749,P49711,-1
P25490,Q92826,-1
P31269,Q06413,-1
Q01860,Q99626,-1
Q01860,P26367,-1
P17947,Q01543,1
P17947,O00470,1
P40337,P98082,1
P48436,P49716,-1
P37231,P35222,-1
Q5VWQ8,P27348,-1
P27348,P46937,-1
P27348,P98177,-1
Q5VWQ8,P61981,-1
P61981,P46937,-1
P61981,P98177,-1
