Node1,Node2,Sign
P12931,P42224,1
P12931,P42229,1
P12931,P37173,1
P12931,O60716,1
P12931,P28482,1
P41240,P12931,-1
P15336,P18847,1
O75460,P17861,1
Q9UNE7,Q99717,-1
Q15349,Q15831,-1
Q15349,O75030,-1
O15055,P14859,-1
P27361,Q15831,-1
P27361,Q12778,-1
P27361,Q92574,-1
P27361,O43524,-1
P27361,O95644,-1
P46937,Q15797,1
Q9UNE7,Q15797,-1
P46531,Q15797,1
Q9H3D4,P46937,-1
P46937,Q15561,1
P46937,P28347,1
O14920,Q12778,-1
O14920,Q92574,-1
O14920,O43524,-1
Q5VWQ8,O75460,1
P25490,P46531,-1
Q969H0,Q9Y6Q9,-1
P49841,P10070,-1
P06493,P68400,1
P49841,P06493,-1
P06493,Q01167,1
Q15831,Q13131,1
Q15831,P43268,1
Q15788,Q86X55,1
Q86X55,Q01201,1
P30279,P06400,1
Q16539,P30279,-1
P49841,P30279,-1
P30279,P11802,1
O00141,Q12778,-1
P84022,Q12778,1
P09874,Q12778,-1
Q13131,Q12778,1
P05129,P49840,-1
P49840,O75030,1
P42226,P42224,-1
P28482,P42224,1
P42224,Q00978,1
P49841,Q00613,-1
Q15788,P42229,1
P28482,Q15788,1
P68400,Q9UJU2,1
P46531,Q9UJU2,1
Q9UJU2,O75030,1
P84022,Q9UJU2,1
P10276,P17947,-1
P10275,O43524,-1
O60674,Q15910,-1
Q15382,Q14318,-1
Q14318,Q12809,1
P46531,Q06330,1
O00141,O43524,-1
O00141,P28482,-1
P26367,O75444,1
P84022,P23771,1
P68400,Q13547,1
P45984,P17275,-1
P68400,Q04206,1
P28482,P68400,1
P68400,O95644,1
P68400,P05549,1
P06400,P15336,1
P28482,P15336,1
P49841,P15407,-1
Q13761,P46531,-1
Q969H0,P46531,-1
P84022,P46531,1
P46531,Q9Y2E6,1
P28482,Q06546,1
P28482,O75030,1
Q969H0,Q5VWQ8,-1
P28482,P42229,1
P42229,Q9BZS1,1
Q15672,Q04206,-1
P28482,Q04206,1
P28482,P22736,1
P22736,P24468,1
P37173,P84022,1
P84022,Q9BZS1,1
O14744,P31269,1
P09874,Q9UGL1,-1
P37173,P62714,1
Q13131,O43524,1
P23769,P17947,-1
Q16539,O95644,-1
O60674,O14744,-1
P49841,O95644,-1
P28482,Q8NHW3,1
P28482,P56693,1
Q86Y01,P50553,-1
Q13131,Q6N021,1
P24468,P10589,1
Q6N021,P19544,1
P23771,P11308,1
Q01860,Q9Y261,-1
P14859,Q5VTD9,1
P28347,O43524,1
P20749,P49711,-1
Q01860,O95936,-1
Q01860,P26367,-1
Q01860,O15178,-1
P11308,Q15910,1
P46531,Q99081,1
P17947,O00470,1
Q8NHW3,P52945,1
P46531,Q9UBP5,1
P06241,P35222,1
P06241,P00519,1
P06241,Q16539,1
P41240,P06241,1
P06241,P43403,1
P12931,P41235,-1
P27361,Q15349,1
Q15349,P18848,1
O15530,Q15349,1
Q15349,P01100,1
Q15349,P50549,1
P51449,O00327,1
P27361,Q15796,1
P27361,P40763,1
P27361,P36956,1
P27361,P17655,1
P27361,P20749,1
P27361,Q01094,1
P27361,Q16665,1
P27361,P17676,1
P27361,Q15672,1
Q05513,P27361,1
P27361,P09874,1
P27361,Q01196,1
P27361,P01100,1
P27361,P17542,1
P27361,P19419,1
Q13131,P08151,-1
Q15796,Q13485,1
Q92831,Q15796,1
Q15796,Q9NQB0,1
Q13547,Q15796,-1
Q15796,Q02078,1
Q15796,Q06413,1
O60674,P51692,1
P35222,Q9NQB0,1
P49840,P35222,-1
P35222,P15172,1
P45984,P35222,1
P46531,P35222,-1
Q13153,P35222,1
P35222,P36402,1
P35222,P98177,1
P20749,Q00653,1
P40763,O43474,1
P40763,P18146,1
P45984,P40763,1
P40763,O75626,1
P17676,P40763,1
P40763,Q15672,1
Q16539,P40763,1
O60674,P40763,1
Q5VWQ8,P40763,-1
Q13485,P10275,1
Q13485,P18846,1
Q13485,Q02078,1
Q13485,P01100,1
Q13485,Q15329,1
P27540,Q9H6Z9,1
Q9UBP5,P27540,-1
O00716,P10244,1
P09874,P10244,1
P49116,O14920,1
Q13131,P49116,-1
P23771,P49715,-1
P49715,P22415,1
P28482,P49715,-1
Q9Y261,P32243,-1
O14920,Q14653,1
O14920,Q9H3D4,1
O15530,O14920,1
Q05513,O14920,1
Q9UHD2,O14920,1
P62714,O14920,-1
Q92831,P10275,1
Q92831,P15172,1
Q16539,Q92831,1
Q92831,Q04721,1
Q92831,Q06413,1
Q92831,P33076,1
Q92831,Q9Y2Y9,1
P06400,P25490,-1
Q13131,P36956,-1
P23246,Q15233,1
P06400,O00716,-1
Q12778,Q9Y618,-1
P06493,P15172,-1
P06493,P98177,-1
P06493,P39880,-1
P10275,O75376,1
Q01094,Q14209,1
P06400,Q14209,-1
Q15831,Q13153,-1
P06400,P20226,-1
P49840,Q96RR4,-1
P49840,P23246,-1
P49840,Q92908,-1
Q9UHD2,Q14653,1
P42224,Q16665,-1
P05129,P10276,1
P10276,P28702,1
Q04206,P10275,-1
Q16539,P10275,1
P10275,Q13285,1
Q5VWQ8,P10275,-1
O15530,P05129,1
Q13547,P15172,-1
Q02078,P15172,1
P11802,P15172,-1
P24468,P15172,-1
Q06413,P15172,1
O15530,O00141,1
O00141,Q969H0,1
Q13535,Q8TAQ2,1
Q13535,Q01094,1
P00519,Q13535,1
Q13535,Q03164,1
P17655,P49841,1
P23771,Q9UL17,-1
P68400,P61244,-1
Q16539,P61244,1
Q13547,O60675,-1
Q13547,Q16236,-1
Q13547,Q13351,-1
O15530,Q13153,1
O15530,Q05513,1
P48736,O15530,1
Q05513,Q9UNE7,1
Q05513,P42226,1
Q9UHD2,P42226,1
O60674,P42226,1
Q05513,P45984,1
P45984,P98177,1
P45984,P19419,1
P33076,P25208,1
Q9H6Z9,Q99814,1
Q16539,P22415,1
P68400,Q16236,-1
P68400,Q13133,-1
P68400,Q13422,-1
P68400,Q01892,-1
P49841,P20749,1
Q92574,Q15382,-1
P06400,Q01094,-1
P09874,Q01094,1
Q96RR4,Q16566,1
P11802,Q13761,-1
P06400,P21675,-1
P06400,P17480,-1
Q13153,P00519,1
Q13153,P78545,1
Q16539,Q02078,1
P11802,Q02078,-1
P09874,Q16665,1
P00519,P17676,1
P49841,P17676,1
Q9UHD2,Q04864,1
P84022,P55317,-1
P00519,O60674,1
Q16539,Q15672,1
P48736,Q05513,1
Q16539,O60381,1
Q03164,Q01196,1
Q9BZS1,P51449,-1
Q01196,Q03014,1
Q16539,P01100,1
Q16539,P98177,1
P43403,Q16539,1
Q16539,P41235,1
Q16539,P19419,1
Q16539,P23769,1
Q16539,Q02080,1
Q16539,Q99626,1
Q16539,Q06413,1
P19419,P01100,1
Q9Y2E6,Q9UHD2,-1
O60716,Q86T24,-1
P49841,P33076,1
P28482,P98177,-1
Q5VWQ8,O60674,-1
P28482,Q01860,-1
P28482,P17480,-1
P11802,Q06413,-1
P43403,P48736,1
P14921,Q9UKX5,1
P28702,Q13133,1
Q04721,Q86Y01,1
P28702,P55055,1
Q13131,P41235,-1
Q9UKX5,P41240,1
P78545,Q9NZC4,1
P62714,P32519,-1
Q16566,Q03060,1
P98177,P15172,1
Q13547,P49715,-1
P49715,O15055,1
P14921,P01100,1
Q15672,P01100,1
P08151,P04198,1
P17542,Q06413,1
P42229,Q06413,-1
Q5VTD9,Q06413,-1
P31269,Q06413,-1
Q15910,Q92826,-1
Q15910,Q15672,-1
P27361,P48436,1
Q16552,P57682,1
Q5VWQ8,Q92786,-1
P42226,O43474,1
P51449,Q16552,1
