Node1,Node2,Sign
P12931,P67775,-1
P12931,P41235,-1
P06239,Q9BZS1,-1
Q14469,Q86Y01,-1
P15336,P18847,1
O75460,P17861,1
P51812,P18848,1
P51812,P16220,1
P51812,P50549,1
Q9UNE7,Q99717,-1
P27361,Q12778,-1
P27361,P49841,-1
Q15796,Q15797,1
Q15796,P16220,1
Q15796,Q9NQB0,1
P67775,Q15796,1
Q15796,Q9UJU2,1
Q13547,Q15796,-1
P01137,Q15796,1
Q15796,Q16254,1
Q9UNE7,Q15797,-1
P63165,Q13363,1
Q13363,O60315,1
Q13362,P16220,-1
Q03060,P16220,-1
Q14164,Q04864,1
Q86WV6,Q14164,1
P19838,Q04206,1
P63165,P49711,1
P11021,O75460,-1
P29350,Q12809,-1
P24941,Q12778,-1
P24941,Q9H3D4,-1
P67775,Q12778,1
P04637,P23511,-1
O00141,Q12778,-1
P09874,Q12778,-1
P41235,Q12778,1
P68400,O15379,1
O75925,P63165,1
P68400,O75925,1
O75925,O75626,1
P42224,Q04206,-1
Q00613,P63165,-1
P68400,Q9UJU2,1
P23443,Q9H3D4,-1
P10276,P17947,-1
O60674,Q15910,-1
Q06330,P23759,1
Q13547,Q04206,-1
Q03164,Q01201,1
P52292,P10914,1
P68400,Q04206,1
P68400,P11473,1
P68400,Q16666,1
P68400,P05549,1
P84022,Q06710,-1
P11802,Q13761,-1
P23443,P49841,-1
P49841,Q04206,1
P84022,P55317,-1
Q03164,P31269,1
Q05513,P49841,-1
P23759,Q03164,1
P09874,Q9UGL1,-1
P23769,P17947,-1
Q16539,P49841,-1
P13385,P01137,-1
Q16666,Q86WV6,1
P55317,O00712,1
Q01860,Q9Y261,-1
Q13547,P11473,-1
O43623,P11473,-1
Q01860,Q92908,-1
Q92826,P15884,-1
Q01860,O95936,-1
Q01860,O15178,-1
Q5VWQ8,P37275,-1
P23511,Q5VTD9,1
P17947,O00470,1
P12931,P51692,1
P12931,P29350,1
P12931,P42224,1
P12931,P10275,1
P12931,O15530,1
P12931,P42229,1
P12931,O60674,1
P04899,P12931,1
P06239,P29350,1
P06239,P42224,1
P06239,P42229,1
P06239,Q16539,1
P04899,P06239,1
Q14469,Q13950,1
P27361,Q13950,1
O15379,Q13950,-1
Q9UJU2,Q13950,-1
P01137,Q13950,-1
P24941,Q08050,1
P11802,Q08050,1
P51812,O75030,-1
P04198,P04637,1
P51449,O00327,1
P49841,O00327,-1
P27361,P36956,1
P27361,P24941,1
P67775,P27361,-1
P27361,P04637,1
P27361,Q00613,1
P27361,P23443,1
P27361,P15923,1
P27361,P42229,1
Q05513,P27361,1
P27361,P09874,1
P27361,P17535,1
P27361,P08047,1
P27361,P14921,1
P27361,P17542,1
P27361,P19419,1
P27361,P28324,1
P27361,P56270,1
O60674,P51692,1
P04637,Q00653,1
P42224,P27540,1
P27540,Q9H6Z9,1
P27540,P35869,1
O00716,P10244,1
P24941,P10244,1
P09874,P10244,1
Q16254,P10244,-1
Q9H3D4,P46937,-1
P46937,Q15562,1
Q14164,P98177,-1
Q9Y261,P32243,-1
Q92831,P04637,1
Q92831,P10275,1
Q92831,P15172,1
Q92831,P84022,1
Q16539,Q92831,1
Q92831,P14316,1
Q92831,Q9UM47,1
Q92831,P33076,1
Q92831,Q9Y2Y9,1
Q9Y6Q9,P10275,1
Q16539,Q9Y6Q9,1
P23443,P36956,1
P49841,P36956,-1
P08047,P36956,1
P23246,Q15233,1
P49841,P10070,-1
Q14186,Q14209,1
P24941,P04637,1
P24941,Q14186,1
P24941,Q01167,1
P67775,P23443,-1
P67775,Q13153,-1
P67775,Q05513,-1
P67775,P32519,-1
P04637,O43474,1
P04637,Q99856,1
Q16539,P04637,1
P19338,P27694,1
Q05513,P19338,1
Q16539,Q14765,1
O60674,Q14765,1
O15379,O60675,-1
O15379,Q16236,-1
O75925,P42224,-1
Q16539,P42224,1
O60674,P42224,1
P42224,P14316,1
P42224,Q00978,1
P49841,Q00613,-1
P05129,P10276,1
P10276,P22736,1
Q04206,P10275,-1
Q16539,P10275,1
P49841,P10275,-1
P10275,Q13285,1
P15884,P10275,-1
P35869,P10275,1
P55317,P10275,-1
O15530,P05129,1
P05129,P98082,1
P15923,P15172,1
Q02078,P15172,1
P10242,P23771,1
P63165,P11831,-1
P63165,P09874,-1
O15530,O00141,1
Q13362,P18846,1
P42226,P23771,1
P84022,P23771,1
P68400,P61244,-1
P84022,P61244,1
Q16539,P61244,1
P61244,P50539,1
Q13547,Q01543,1
Q01196,Q13547,1
Q01664,Q13547,1
O15530,P23443,1
O15530,Q13153,1
O15530,Q05513,1
Q05513,Q9UNE7,1
Q05513,P42226,1
O60674,P42226,1
P33076,P25208,1
Q9H6Z9,Q99814,1
Q16539,P22415,1
P68400,Q16236,-1
P68400,P08047,-1
P68400,Q13133,-1
P68400,Q13422,-1
P68400,Q01892,-1
P27694,Q9BX63,1
Q05513,P23443,1
P23443,Q03060,1
Q16539,P15923,1
Q16539,O75030,1
Q13153,P78545,1
Q16539,Q9UBK2,1
Q9UBK2,P11474,1
Q16539,Q02078,1
P08047,Q9UL17,1
O60674,P42229,1
P49841,P23246,-1
P49841,Q16236,-1
Q16539,P17275,1
Q16539,P84022,1
P84022,Q15329,1
P98082,P84022,1
P84022,Q9UM47,1
Q05513,P08047,1
Q05513,O95644,1
Q9BZS1,P51449,-1
Q01196,Q03014,1
Q16539,P98177,1
Q16539,P19419,1
Q16539,P23769,1
Q16539,P28324,1
P49841,Q13887,-1
P49841,O95644,-1
Q01664,P08047,1
P32302,P04899,1
P98082,Q5VWQ8,1
Q86Y01,P50553,-1
P10147,P32302,1
P78545,Q9NZC4,1
P33076,O14593,1
O00712,P08651,-1
P98177,P15172,1
P16220,O43623,-1
P14859,O43623,1
Q01860,P13385,1
P37275,Q6ISB3,-1
Q15910,Q92826,-1
Q15910,O43623,-1
O75626,P33076,-1
Q01196,P10147,1
O15054,Q15306,1
P42226,Q9UBK2,1
Q9UM47,Q14469,1
P18848,P11021,-1
P27361,P48436,1
Q16552,P57682,1
Q14186,P10244,1
P01137,P26367,-1
P01137,P11802,-1
P01137,Q01664,-1
P42226,O15054,1
P42226,O43474,1
Q13950,O43623,1
P51449,Q16552,1
