Node1,Node2,Sign
P15336,P18847,1
P51812,Q15831,-1
P51812,O75030,-1
P51812,P49841,-1
P46937,P35222,1
Q86X55,P35222,1
P35222,Q12778,1
P49840,P35222,-1
P35222,Q9UJU2,1
P46531,P35222,-1
P35222,O75030,1
P35222,P36402,1
P35222,P15884,1
Q99626,P35222,-1
P31946,P46937,-1
P46937,Q15561,1
P46937,P28347,1
P23771,P49715,-1
P61244,P49715,-1
Q01196,P49715,-1
P17252,P29350,1
P67775,P17252,-1
P17252,P15336,1
P17252,Q16236,1
P17252,P28482,1
Q92831,P24941,-1
P03372,Q12778,-1
P03372,Q16236,-1
P28482,P36956,1
P23246,Q15233,1
P52333,P52630,1
O14757,O00716,1
P06493,P24941,-1
P06493,P39880,-1
Q15831,P49841,1
Q15831,Q13131,1
Q15831,P43268,1
Q15788,Q86X55,1
Q86X55,Q01201,1
P29350,P52333,1
P29350,O60716,1
P24941,Q14207,1
P24941,O14757,1
P28482,P24941,1
P67775,O14757,-1
P67775,Q05655,-1
P67775,P28482,-1
P67775,P32519,-1
P30279,P06400,1
Q16539,P30279,-1
P30279,P11802,1
P09874,Q12778,-1
P31946,Q12778,-1
Q13131,Q12778,1
P49840,P23246,-1
P49840,Q92908,-1
P28482,Q15788,1
Q15788,Q13133,1
Q9UJU2,O75030,1
P36402,Q9UJU2,1
Q16566,P56524,-1
Q13547,Q06330,-1
O75444,Q16236,1
P26367,O75444,1
Q14207,Q9BQA5,1
Q13547,O60675,-1
Q13547,Q16236,-1
Q13547,O43623,-1
Q9UHD2,P42226,1
P49841,P20749,1
P06400,P15336,1
P28482,P15336,1
O14757,P06400,1
P84022,Q06710,-1
P28482,O75030,1
Q16539,Q16236,-1
Q9UHD2,Q04864,1
P84022,P26367,-1
P09874,Q9UGL1,-1
Q13114,Q9UHD2,1
O95786,Q13114,-1
Q16539,P49841,-1
Q9UGL1,O00257,1
P28482,P14921,1
P28482,P23769,1
P28482,P28324,1
P28482,Q02080,1
P28482,Q8NHW3,1
P28482,P56693,1
Q01860,Q9Y261,-1
P35222,Q9Y261,1
Q9UJU2,P49715,1
Q13547,P49715,-1
Q01860,Q92908,-1
Q92826,P15884,-1
Q01860,O95936,-1
Q01860,P26367,-1
Q01860,O15178,-1
P25116,P15407,1
P25116,Q99612,1
Q15672,P25116,-1
Q8NHW3,P52945,1
P03372,O43623,-1
P06493,Q08050,1
P53350,Q08050,1
P51812,P18848,1
P51812,P03372,1
P51812,P11831,1
Q92831,O15350,1
P24941,O15350,-1
Q01094,O15350,1
P49841,O00327,-1
P29350,P51692,-1
P29350,P40763,-1
P40763,O43474,1
P40763,P18146,1
P40763,O75626,1
P40763,P17275,1
P84022,P40763,1
P40763,Q15672,1
P40763,P17947,1
Q16539,P40763,1
P46531,Q15797,1
P28482,Q15797,-1
Q13485,P49711,1
Q13131,P49116,-1
P17252,Q96KS0,-1
P17252,P49840,-1
P17252,P11831,-1
P17252,O95644,-1
Q9Y261,P32243,-1
O14757,P19838,-1
P46531,P19838,1
P09874,P19838,1
Q92831,P15172,1
Q92831,P10914,1
Q92831,P46531,1
Q92831,P84022,1
Q16539,Q92831,1
Q92831,Q06413,1
Q92831,P33076,1
P53350,P25490,1
P06400,P25490,-1
Q16539,Q9Y6Q9,1
P03372,P10276,1
P03372,P23771,1
P03372,Q15596,1
Q13153,P03372,1
P06401,P03372,1
Q16539,P03372,1
P03372,P55317,1
P06493,P53350,1
P06493,Q01094,1
P49841,P06493,-1
P06493,P08047,1
P28482,P06493,-1
P06493,Q01167,1
Q01094,Q14209,1
P06400,Q14209,-1
Q15831,Q13153,-1
P29350,Q12809,-1
P84022,Q9NQB0,1
Q96KS0,Q99814,1
Q96KS0,Q16665,1
P24941,P15172,-1
P24941,Q01094,-1
P24941,Q13153,-1
P24941,P84022,-1
P24941,P98177,-1
Q16539,P67775,1
P67775,P08047,1
P67775,P98177,1
P06400,P20226,-1
Q16539,Q14765,1
O95786,Q14653,1
P53350,O75116,1
O75116,Q15306,1
Q15596,P10276,1
P10276,P22736,1
P10276,P28702,1
P11802,P15172,-1
Q06413,P15172,1
P56524,P84022,-1
P56524,Q06413,-1
O75444,P10242,-1
P10242,P23771,1
P28482,P10242,-1
Q13535,Q8TAQ2,1
Q13535,Q01094,1
Q13535,Q03164,1
Q13535,P08047,1
P41182,Q13535,-1
P84022,P23771,1
P61244,Q99583,1
P84022,P61244,1
Q16539,P61244,1
P61244,P50539,1
Q01094,Q13547,1
Q01196,Q13547,1
Q13153,P53350,1
Q16539,P22415,1
P10914,Q9BX63,1
P06400,Q01094,-1
P09874,Q01094,1
P08047,Q01094,1
P46531,Q16665,1
P84022,P46531,1
P11802,Q13761,-1
P06400,P17947,-1
P06400,P21675,-1
P06400,P17480,-1
Q13153,P78545,1
P28482,P06401,-1
P08047,Q9UL17,1
P22736,Q16665,1
P09874,Q16665,1
Q16539,P17275,1
Q16539,P84022,1
P28482,P84022,-1
P11802,P84022,-1
Q16539,Q15672,1
Q03164,P31269,1
Q16539,O60381,1
P23769,P17947,-1
Q02447,P08047,1
Q16539,P98177,1
P51677,Q16539,1
Q16539,P41235,1
Q16539,Q99626,1
Q16539,Q06413,1
O60716,Q86T24,-1
P49841,Q13887,-1
P49841,O95644,-1
P49841,Q14494,-1
P28482,P98177,-1
P28482,Q01860,-1
P28482,P17480,-1
P11802,Q06413,-1
P28702,P55055,1
Q13131,P41235,-1
P10147,P51677,1
P78545,Q9NZC4,1
O00257,O60315,-1
Q16566,Q03060,1
P33076,P48382,1
P33076,O14593,1
P23771,P11308,1
P98177,P15172,1
P40763,Q9UJQ4,1
P20749,P49711,-1
Q9UJQ4,P37275,1
Q01196,P10147,1
P46531,Q99081,1
P46531,Q00653,1
Q9UJQ4,P31269,1
P56524,Q92826,-1
P31269,P04198,1
