Node1,Node2,Sign
P18031,P51692,-1
P18031,Q05655,-1
P18031,O60674,-1
P49841,Q92993,1
Q92993,Q9BZS1,1
P27361,Q15349,1
Q15349,P18848,1
P27361,Q09472,1
Q09472,P35222,1
Q09472,Q15797,1
Q09472,Q15596,1
Q09472,Q01543,1
Q09472,P06400,1
Q09472,O75030,1
Q09472,Q04206,1
Q09472,P22736,1
Q09472,P09874,1
O15055,O00327,-1
P27361,Q00613,1
P27361,Q15788,1
P27361,P68400,1
P27361,P20749,1
P27361,P15923,1
P27361,Q06546,1
P27361,Q04206,1
P27361,P17676,1
P27361,P09874,1
P27361,Q07869,1
P27361,Q01196,1
Q16539,P27361,-1
P27361,P28324,1
P27361,P56270,1
P27361,Q15648,1
Q15788,P51692,1
O60674,P51692,1
P68400,P35222,1
P35222,O75030,1
P35222,P22736,1
P35222,P36402,1
P35222,P15884,1
Q99626,P35222,-1
Q15797,Q13485,1
P28482,Q15797,-1
Q13485,P49711,1
O75925,Q13485,1
Q13485,P18846,1
Q13485,Q16254,1
P09874,P10244,1
P20749,P19838,1
Q01094,P19838,-1
P19838,Q04206,1
P09874,P19838,1
P52630,P42224,1
O60674,P52630,1
Q15831,P49841,1
P28482,Q15831,-1
Q15831,Q13131,1
Q15831,P43268,1
Q05655,P29350,1
P28482,P29350,-1
P24941,P06400,-1
P67775,Q9UQM7,1
P67775,P06400,1
O60674,P67775,1
Q01094,P20226,-1
P68400,O75925,1
O75925,O75626,1
Q13131,O75925,1
Q05655,P42224,1
O60674,P42224,1
Q15788,P06401,1
Q15788,Q07869,1
P63165,P09874,-1
Q13535,Q03164,1
P41182,Q13535,-1
P23771,Q9UL17,-1
Q03164,Q01201,1
O60674,P42226,1
P33076,P25208,1
P68400,Q04206,1
P68400,P56270,1
P49841,P20749,1
P11802,Q13761,-1
P23443,P49841,-1
P11802,P06400,-1
P28482,P06401,-1
Q15672,Q04206,-1
Q05655,Q04206,1
P49841,Q04206,1
P49841,P17676,1
P17676,Q16254,1
Q03164,P31269,1
Q03164,Q01196,1
Q05655,Q13887,1
Q16539,P49841,-1
P49841,P33076,1
P28482,Q01860,-1
O00257,O60315,-1
P33076,O14593,1
Q15648,Q92908,1
P35222,Q9Y261,1
P43268,Q01860,1
P25208,Q5VTD9,1
P25116,Q99612,1
P42226,Q07869,1
P42226,O43474,1
Q15672,P25116,-1
Q13588,P18031,1
O15350,P55212,1
P55212,P05549,1
P03372,P17861,1
Q92993,P40763,-1
P24941,Q08050,1
P11802,Q08050,1
P46937,O15350,1
Q92831,O15350,1
Q01094,O15350,1
Q13131,P14859,-1
Q09472,Q12778,-1
Q09472,P41182,-1
P27361,P49715,-1
P27361,Q12778,-1
P27361,Q13153,-1
P27361,P41182,-1
P27361,O95644,-1
P23443,P08151,1
Q13131,P08151,-1
Q92831,Q15796,1
Q15796,Q9NQB0,1
Q9UQM7,Q15796,-1
Q15796,Q02078,1
Q15796,P84022,1
P28482,Q15796,1
P35222,P48431,-1
P29350,P40763,-1
P40763,P18146,1
P40763,P17275,1
P84022,P40763,1
P40763,Q15672,1
P40763,P17947,1
P07949,P40763,1
Q16539,P40763,1
P28482,P40763,1
P63165,P46937,1
P46937,Q15562,1
P46937,P28347,1
Q13131,P49116,-1
P49715,P22415,1
P49715,P17947,1
Q01196,P49715,-1
Q92831,P15172,1
Q92831,Q06330,1
Q92831,P10914,1
Q92831,P84022,1
Q16539,Q92831,1
Q92831,P14316,1
P06400,P25490,-1
Q16539,Q9Y6Q9,1
P24941,P03372,1
P03372,P10276,1
P50613,P03372,1
P23443,P03372,1
Q13153,P03372,1
Q9UBK2,P03372,1
Q16539,P03372,1
P28482,P03372,1
Q13887,P03372,-1
P03372,P55317,1
P06400,O00716,-1
Q01094,Q14209,1
P06400,Q14209,-1
Q14186,Q14209,1
Q15831,Q13153,-1
P29350,Q12809,-1
P84022,Q9NQB0,1
P24941,Q14207,1
P24941,P50613,1
P28482,P24941,1
P24941,Q14186,1
P67775,P23443,-1
P67775,Q13153,-1
P67775,P28482,-1
P67775,P32519,-1
Q16539,Q14765,1
P84022,Q12778,1
P09874,Q12778,-1
Q07869,Q12778,-1
Q16539,Q12778,1
O43474,P11831,-1
P42224,Q16665,-1
Q00613,P63165,-1
P50613,P10276,1
P28482,P10276,1
Q02078,P15172,1
P26367,O75444,1
P23771,O15520,1
Q14207,Q9BQA5,1
P68400,P61244,-1
P84022,P61244,1
Q16539,P61244,1
P61244,P50539,1
Q9UQM7,P15036,-1
Q16539,P22415,1
P68400,Q13133,-1
P68400,Q01892,-1
Q16539,P15336,1
P28482,P15336,1
P50613,P11802,1
P49841,P15407,-1
P06400,Q01094,-1
P28482,Q01094,1
Q14186,Q01094,1
P28482,P23443,1
P23443,Q03060,1
P06400,P17947,-1
P06400,P21675,-1
P06400,P17480,-1
P28482,Q13153,1
Q13153,P78545,1
Q16539,Q9UBK2,1
Q9UBK2,P11474,1
Q16539,Q02078,1
P28482,P42229,1
P28482,Q16665,1
Q16539,P17275,1
Q16539,P84022,1
P84022,Q15329,1
Q16539,Q15672,1
P28482,Q15672,1
P09874,Q9UGL1,-1
