Node1,Node2,Sign
P17612,P10070,-1
P17612,Q92837,-1
P17612,Q13131,-1
Q00535,P62136,-1
Q14164,Q9NQC7,-1
P04637,P55212,1
P55212,P05549,1
P04637,P18847,1
P68400,P08238,-1
P04198,P04637,1
P12643,Q99717,1
Q96EB6,P37231,-1
Q96EB6,P04637,-1
Q09472,O43524,-1
P10070,P08151,1
P40763,P15172,-1
P40763,Q16665,-1
P42224,P27540,1
P46937,O14640,-1
P23771,P49715,-1
P61244,P49715,-1
P49715,P17947,1
Q01196,P49715,-1
P16220,O43524,-1
Q14164,O43524,-1
Q14164,P98177,-1
Q9Y618,P37231,-1
O75376,P37231,-1
Q9Y618,P06401,-1
P06493,P62136,-1
P06493,P15172,-1
P06493,Q15910,-1
P06493,O43524,-1
P06493,P98177,-1
P06493,P39880,-1
O75376,Q07869,-1
P55210,Q02080,-1
P29350,Q12809,-1
P04637,O43474,1
P45983,P04637,1
Q16665,P04637,1
P04637,P11473,1
P01137,P04637,1
Q13131,P04637,1
P53778,P04637,1
P04637,O14503,1
P31749,P62136,-1
P62136,Q13422,1
P49840,Q92908,-1
O75925,P42224,-1
P45983,P42224,1
P42224,P14316,1
P15923,P15172,1
P31749,Q15910,-1
P31749,P45985,-1
P31749,O43524,-1
P31749,P98177,-1
P31749,P17542,-1
P31749,P23769,-1
P45985,P45983,1
P45983,P42229,1
P45983,O43524,1
P45983,P17535,1
P45983,P98177,1
P45983,P17544,1
P45983,P41235,1
P45983,P19419,1
P23771,Q9UL17,-1
Q9UQM7,P14921,-1
Q9UQM7,P15036,-1
P52333,P42226,-1
P45985,P53778,1
P68400,Q13422,-1
P68400,Q01892,-1
Q04721,P15923,-1
Q14145,Q06546,-1
P17676,Q16254,1
O14640,P25116,1
Q05655,P10588,-1
Q13131,O43524,1
O60716,Q86T24,-1
Q13131,P98177,1
Q9UER7,P01137,-1
P15036,P14921,1
Q86Y01,P50553,-1
P53778,P41235,1
O00712,P08651,-1
O43524,P15172,1
P98177,P15172,1
P08151,P04198,1
P17542,P11308,1
Q92826,P15884,-1
Q5VWQ8,P37275,-1
P11308,Q15910,1
O00712,Q15910,-1
P25116,P15407,1
O15054,Q15306,1
P11161,P17676,1
P53778,P17275,1
P25116,Q99612,1
P17947,O00470,1
P42226,P37231,1
P42226,Q07869,1
P42226,O15054,1
P42226,O43474,1
P10070,P12643,1
P17612,P35222,1
P17612,P16220,1
P17612,Q9Y6Q9,1
P17612,P03372,1
P31749,P17612,1
P17612,P48436,1
Q13153,P17612,1
P17612,P50549,1
Q00535,P40763,1
Q16623,Q00535,1
Q00535,O15516,1
Q9NQC7,P20749,-1
Q9NQC7,Q12933,-1
Q09472,Q13950,1
P06493,Q13950,1
P01137,Q13950,-1
P08238,Q14145,-1
Q09472,O15350,1
Q14790,O15350,1
P46937,O15350,1
Q92831,O15350,1
O14757,O15350,1
Q05655,O15350,1
Q96EB6,Q9Y618,1
P06493,Q96EB6,1
Q96EB6,O75376,1
Q13131,P14859,-1
Q09472,P35222,1
Q09472,P40763,1
Q92831,Q09472,1
P31749,Q09472,1
Q09472,Q15596,1
Q09472,Q01543,1
Q09472,P10914,1
Q09472,O75030,1
Q09472,Q02078,1
Q16539,Q09472,1
Q86Y01,Q09472,1
Q13131,Q09472,-1
Q09472,Q06413,1
P31749,Q16656,1
P46937,P35222,1
P16220,P35222,1
P35222,Q9UJU2,1
P31749,P35222,1
P45983,P35222,-1
P68400,P35222,1
P35222,O75030,1
Q13153,P35222,1
P35222,P36402,1
P20749,Q00653,1
P62136,P40763,-1
P40763,P18146,1
P40763,O75626,1
P52333,P40763,1
Q05655,P40763,1
Q16539,P40763,1
Q14790,P55210,1
P10914,Q14790,1
Q12933,Q14790,1
Q9Y618,Q13363,1
P63165,Q13363,1
P45983,Q13363,-1
Q13131,Q13363,-1
Q13363,O60315,1
P63165,P46937,1
P46937,Q15562,1
P46937,Q15561,1
P46937,P28347,1
Q12933,P49116,1
Q13131,P49116,-1
P49840,P16220,1
P31749,P16220,1
Q9UQM7,P16220,1
Q16539,P16220,1
P16220,P21675,1
Q14164,P03372,1
Q14164,Q14653,1
Q14164,Q04864,1
Q86WV6,Q14164,1
P63165,P49711,1
Q92831,Q06330,1
Q92831,P10914,1
Q16539,Q92831,1
Q92831,Q04721,1
Q92831,Q06413,1
Q92831,P33076,1
Q92831,Q9Y2Y9,1
Q16539,Q9Y6Q9,1
O75925,P03372,1
P31749,P03372,1
P03372,P23771,1
P03372,Q15596,1
P23443,P03372,1
Q13153,P03372,1
Q16539,P03372,1
P03372,Q92731,1
P03372,P55317,1
P52333,P52630,1
O14757,O00716,1
Q06330,Q9Y618,1
P06493,P68400,1
P06493,O14757,1
P06493,P23443,1
P06493,P08047,1
Q16254,P06493,-1
P29350,P52333,1
Q05655,P29350,1
P29350,O60716,1
P68400,Q16623,1
P04637,P23511,-1
P04637,P25208,-1
P62136,Q9UQM7,-1
Q16539,Q14765,1
P49840,O75030,1
Q92837,P49840,-1
Q86WV6,Q14653,1
O75925,P63165,1
P68400,O75925,1
O75925,P48436,1
O75925,O75626,1
P68400,Q9UJU2,1
Q9UJU2,O75030,1
P36402,Q9UJU2,1
P68400,P31749,1
P31749,P23443,1
P31749,Q13153,1
P31749,Q05655,1
Q04721,Q06330,1
Q06330,P23759,1
P61244,Q99583,1
Q16539,P61244,1
P61244,P50539,1
P23511,P08047,1
P33076,P25208,1
P68400,Q8TAQ2,1
P68400,Q9UER7,1
P68400,Q16666,1
P68400,O95644,1
P68400,P56270,1
P68400,P17480,1
Q16539,P15336,1
P10914,Q9BX63,1
P23443,Q03060,1
Q16539,O75030,1
Q13153,P78545,1
Q16539,Q02078,1
P53778,Q16236,-1
Q03164,P31269,1
Q16539,O60381,1
Q03164,Q01196,1
P23759,Q03164,1
Q12933,Q5VWQ8,1
Q12933,Q8IVH8,1
Q01196,Q03014,1
Q16539,P28324,1
Q8IVH8,Q16539,1
Q16539,Q06413,1
Q01664,P08047,1
Q04721,Q86Y01,1
Q16666,Q86WV6,1
P33076,O14593,1
P55317,O00712,1
P35222,Q9Y261,1
P42229,Q06413,-1
P04198,Q06413,-1
P37275,Q6ISB3,-1
Q15910,Q92826,-1
Q06330,Q00653,1
P37231,P35222,-1
P01137,P26367,-1
P01137,Q01664,-1
Q9HAU4,Q99717,-1
P29466,P55210,1
Q13153,P29466,1
P17612,P52564,1
Q9HAU4,P35222,1
Q13153,P52564,1
P52564,Q16539,1
Q12933,Q9HAU4,1
