Node1,Node2,Sign
Q06330,Q14469,1
P24941,Q08050,1
P11802,Q08050,1
P27361,Q15349,1
Q15349,P18848,1
Q15349,P03372,1
O15530,Q15349,1
Q15349,P01100,1
Q13131,P14859,-1
Q09472,O43524,-1
P27361,Q15796,1
P27361,P03372,1
P27361,P36956,1
P27361,P24941,1
P27361,P68400,1
P27361,P20749,1
P27361,P15336,1
P27361,P23443,1
P27361,P15923,1
P27361,P42229,1
P27361,Q16665,1
P27361,Q15672,1
Q05513,P27361,1
P27361,Q9NRA0,1
P27361,Q12772,1
P27361,P17535,1
P27361,Q02447,1
P27361,P01100,1
P27361,P08047,1
P27361,P17542,1
P27361,P28324,1
P27361,P56270,1
Q15796,Q15797,1
Q92831,Q15796,1
P67775,Q15796,1
Q15796,Q9UJU2,1
Q13547,Q15796,-1
Q9UQM7,Q15796,-1
Q15796,P08047,1
Q15796,Q06413,1
P29350,P51692,-1
Q00653,Q01201,1
P20749,Q00653,1
P40763,Q16665,-1
P46937,Q15797,1
Q15797,O14640,1
P28482,Q15797,-1
Q13131,Q13363,-1
Q13363,O60315,1
Q9H3D4,P46937,-1
P46937,Q15561,1
P46937,P28347,1
Q13131,P49116,-1
P16220,O43524,-1
Q92831,Q06330,1
Q16539,Q92831,1
Q92831,Q06413,1
Q92831,P33076,1
Q92831,Q9Y2Y9,1
Q16539,Q9Y6Q9,1
Q9Y618,P03372,-1
P24941,P03372,1
O75925,P03372,1
P03372,P23771,1
P23443,P03372,1
Q13153,P03372,1
Q16539,P03372,1
P49841,P03372,1
P23443,P36956,1
P08047,P36956,1
Q13131,P36956,-1
P06400,Q14209,-1
Q14186,Q14209,1
P29350,Q12809,-1
O75676,P49841,-1
P24941,Q14207,1
P24941,Q14186,1
P24941,Q01167,1
P67775,P56524,1
P67775,O43524,1
Q16539,P67775,1
P67775,P08047,1
P19338,P27694,1
Q05513,P19338,1
P20226,P04150,1
P06400,P20226,-1
Q16539,Q14765,1
O43474,P11831,-1
P68400,O75925,1
O75925,O75626,1
Q16539,P42224,1
P68400,Q9UJU2,1
P08047,P56524,1
Q13131,P56524,-1
Q13547,Q06330,-1
Q06330,P23759,1
P42226,P23771,1
Q14207,Q9BQA5,1
P68400,P11831,1
Q13547,O60675,-1
Q13547,Q13351,-1
Q03164,Q01201,1
O15530,P23443,1
O15530,Q13153,1
O15530,Q05513,1
P42336,O15530,1
