Node1,Node2,Sign
Q00535,P06400,-1
Q00535,Q13153,-1
P15336,P18847,1
P48436,Q13950,-1
P17676,Q13950,1
P01137,Q13950,-1
P27361,P37231,-1
P27361,P29350,-1
P27361,P10242,-1
P27361,Q13153,-1
P27361,O43524,-1
P27361,P49841,-1
P27361,P41182,-1
Q13131,P08151,-1
Q15796,P53355,1
P45983,Q15796,1
Q15796,P84022,1
Q15796,P08047,1
Q15796,Q16254,1
P28482,Q15796,1
Q15796,Q06413,1
O60674,P51692,1
P31749,Q16656,1
P46937,P35222,1
P31749,P35222,1
P35222,O75030,1
Q13153,P35222,1
P35222,P36402,1
P35222,O43524,1
P35222,P15884,1
Q9UQF2,Q06330,-1
P31751,P46937,-1
P46937,Q15561,1
P46937,P28347,1
P16220,O43524,-1
Q14164,O43524,-1
P06493,Q9Y6Q9,-1
P23769,P37231,-1
O60674,P52630,1
O14543,Q14186,-1
P06493,Q15910,-1
P06493,O43524,-1
P06493,P39880,-1
P31751,O75376,-1
O75376,P41182,1
Q15831,Q13153,-1
Q05655,P29350,1
P29350,O60716,1
P84022,P53355,1
P28482,P53355,1
P52657,P20226,1
P31751,P49840,-1
P49840,O75030,1
P45983,Q14653,1
P45983,P10276,1
P31751,P10276,-1
P28482,P10276,1
P31749,Q13153,1
P31749,P84022,1
P31749,Q05655,1
P62714,P31749,-1
O75582,O75030,-1
O75582,P49841,-1
P31751,Q15910,-1
Q01094,Q15910,1
O75444,P10242,-1
P10242,P17676,1
Q06330,P23759,1
Q06330,P52657,1
P31751,P45983,-1
P45983,P15336,1
P45983,P42229,1
P45983,P84022,1
Q05655,P45983,1
P45983,O43524,1
P45983,P08047,1
P45983,P17544,1
P23771,Q9UL17,-1
P84022,P61244,1
P61244,P50539,1
P19174,Q9UQM7,1
O60674,P42226,1
P45984,P17275,-1
P19174,P42229,1
O60674,P19174,1
P31751,P49918,-1
P31751,P84022,-1
P31751,O43524,-1
P31751,P49841,-1
P31751,P17542,-1
P06400,P15336,1
P28482,P15336,1
P08047,Q01094,1
P28482,Q01094,1
Q14186,Q01094,1
