Node1,Node2,Sign
Q16623,Q00535,1
Q00535,O15516,1
P03372,P17861,1
O15111,Q01201,-1
O15111,Q9Y261,-1
P51812,Q15831,-1
P51812,O75030,-1
P51812,P49841,-1
Q9Y243,P03372,1
Q9Y243,P24941,1
P68400,Q9Y243,1
Q9Y243,Q15672,1
Q13115,P28482,-1
P04406,P14859,1
P27361,P49715,-1
P27361,P37231,-1
P27361,Q15831,-1
P27361,P29350,-1
P27361,Q13153,-1
P27361,P49841,-1
P27361,O95644,-1
Q15796,Q15797,1
Q15796,Q13485,1
Q15796,Q9NQB0,1
P28482,Q15796,1
P35222,P48431,-1
Q00653,Q01201,1
P20749,Q00653,1
Q15797,Q13485,1
P46937,Q15797,1
P45983,Q13363,-1
Q13363,O60315,1
Q13485,P49711,1
Q13485,P15336,1
Q8N2W9,Q13485,-1
Q9H3D4,P46937,-1
P31749,P46937,-1
P46937,Q15561,1
P46937,P28347,1
P23771,P49715,-1
Q92831,P24941,-1
P25490,Q04721,-1
P03372,P37231,1
Q9Y618,P03372,-1
O75376,P03372,-1
P24941,P03372,1
P03372,Q15596,1
Q13153,P03372,1
P49841,P03372,1
P28482,P03372,1
Q13887,P03372,-1
P36956,P37231,1
P28482,P36956,1
Q9Y618,P37231,-1
O75376,P37231,-1
P45983,P37231,-1
Q15596,P37231,1
P37231,Q13133,1
P52333,P52630,1
O75376,Q07869,-1
Q15831,P49841,1
Q15831,Q13131,1
P29350,P52333,1
P29350,O60716,1
P24941,P17676,1
P28482,P24941,1
P24941,Q01167,1
P63151,P67775,-1
Q14012,P04406,1
P68400,Q16623,1
P52657,P20226,1
P68400,O15379,1
P20749,O15379,1
O15379,Q01094,1
Q8N2W9,Q14653,-1
P31749,P49841,-1
Q04721,Q06330,1
Q06330,P23759,1
Q06330,P52657,1
P45983,Q13469,-1
P26367,O75444,1
P23771,Q9UL17,-1
P61244,Q99583,1
O60271,P61244,1
Q03164,Q01201,1
P45984,P17275,-1
P45984,Q13469,-1
P68400,Q15672,1
P28482,P68400,1
P68400,O95644,1
P68400,P17480,1
P49841,P20749,1
P06400,P15336,1
P28482,P15336,1
P28482,Q01094,1
P49407,P55085,-1
P06400,Q02447,1
P28482,Q06546,1
P28482,O75030,1
P28482,Q13153,1
Q13153,P78545,1
P49841,P17676,1
P28482,P17676,1
Q13362,Q14012,-1
P84022,P26367,-1
P28482,Q15672,1
Q03164,P31269,1
Q03164,Q01196,1
P23759,Q03164,1
P09874,Q9UGL1,-1
P28482,Q07869,1
P28482,Q01196,1
Q01196,Q03014,1
P28482,Q02447,1
P26367,P19022,1
P19022,Q4KMG0,1
P28482,Q9BY84,1
P28482,Q02080,1
P28482,Q15648,1
P28482,P56693,1
Q4KMG0,O60271,1
Q15648,Q13133,1
Q13131,Q6N021,1
Q13469,Q13422,1
P78545,Q9NZC4,1
Q6N021,P19544,1
Q15648,Q92908,1
P14859,Q5VTD9,1
P14859,Q15672,1
Q01094,P37231,1
Q06330,Q00653,1
Q15672,P10589,1
P55085,Q99612,1
Q16254,P37231,-1
P28482,P48436,1
P01137,P26367,-1
P01137,P11802,-1
P27540,P24941,-1
P31269,P04198,1
P05412,P18847,1
O15111,Q9Y6Q9,1
P31749,O15111,1
P46531,O15111,1
Q7Z434,O15111,1
P27361,P51812,1
P51812,P18848,1
P51812,P11831,1
P51812,P01100,1
P51812,P50549,1
Q9Y243,O75376,-1
Q9Y243,P10276,-1
Q9Y243,Q9UBK2,-1
Q9Y243,P22736,-1
Q9Y243,P84022,-1
Q9Y243,O43524,-1
Q9Y243,P98177,-1
Q9Y243,P17542,-1
P18146,Q13115,1
P27361,Q00613,1
P27361,Q15788,1
P27361,P45983,1
P27361,Q16665,1
P27361,P09874,1
P27361,Q12772,1
P27361,P17535,1
P27361,P01100,1
P27361,P08047,1
P27361,P17542,1
P27361,P19419,1
P29350,P51692,-1
Q15788,P51692,1
P31749,Q16656,1
P35222,Q9UJU2,1
P35222,P15172,1
P31749,P35222,1
P45984,P35222,1
P35222,P22736,1
P35222,P36402,1
P35222,O43524,1
P11473,P35222,1
P49841,P35222,-1
P35222,P98177,1
P35222,P15884,1
P42224,P27540,1
P31749,P27540,1
P27540,Q9H6Z9,1
P27540,P35869,1
Q9Y261,P32243,-1
Q92831,P15172,1
Q92831,P10914,1
Q92831,P46531,1
Q92831,P84022,1
P05114,Q92831,1
Q92831,Q06413,1
Q92831,P33076,1
Q92831,Q9Y2Y9,1
P06400,P25490,-1
P03372,Q16236,-1
P23246,Q15233,1
P06400,O00716,-1
O14543,Q14765,1
Q15759,O14543,1
Q9UQM7,Q9Y618,-1
Q9Y618,P41182,1
O75376,P41182,1
P29350,Q12809,-1
P24941,Q9H3D4,-1
P24941,P15172,-1
P24941,P84022,-1
P24941,O43524,-1
P24941,P98177,-1
P05412,P18146,1
P18146,P01137,1
O15379,O60675,-1
O15379,Q16236,-1
P45983,P42224,1
P45984,P42224,1
P42224,P10914,1
P49841,Q00613,-1
Q15788,P06401,1
Q15788,P11473,1
Q15788,P01100,1
Q8N2W9,Q9UJU2,1
P46531,Q9UJU2,1
P84022,Q9UJU2,1
P36402,Q9UJU2,1
P05412,P15407,1
P05412,P17947,1
P05412,P01100,1
P05412,P15884,1
P05412,P15408,1
P45983,P10276,1
P10276,P22736,1
Q02078,P15172,1
P11802,P15172,-1
Q06413,P15172,1
P31749,P84022,1
Q9UHD2,P31749,1
O75444,P10242,-1
P10242,P23771,1
P28482,P10242,-1
P45983,P45984,1
P45983,P84022,1
P45983,O43524,1
P45983,P17535,1
P45983,P08047,1
P45983,P98177,1
P28482,P45983,-1
P45983,P17544,1
Q9BY84,P45983,-1
P45983,P19419,1
Q13362,P18846,1
P42226,P23771,1
P84022,P23771,1
P36402,P11831,1
Q9UQM7,Q13362,-1
Q9UQM7,P15036,-1
P52333,P42226,-1
Q9UHD2,P42226,1
P45984,P84022,1
P45984,O43524,1
P45984,P17535,1
P45984,P98177,1
Q9BY84,P45984,-1
P45984,P19419,1
P33076,P25208,1
Q9H6Z9,Q99814,1
Q15759,P22415,1
P68400,Q08945,-1
P68400,Q16236,-1
P68400,P05114,-1
P68400,O95786,-1
P68400,P08047,-1
P68400,Q01892,-1
Q15759,Q9UBK2,1
Q15759,Q02078,1
Q15759,O60381,1
Q9BY84,Q15759,-1
Q15759,P19419,1
Q15759,Q06413,1
P49841,P15407,-1
P15408,P15407,1
P09874,Q8N2W9,1
P46531,Q16665,1
P84022,P46531,1
P11802,Q13761,-1
P28482,P49407,-1
P06400,P17947,-1
P06400,P21675,-1
P28482,P06401,-1
Q7Z434,Q9UHD2,1
O95786,Q7Z434,1
Q9UBK2,P11474,1
P11802,Q02078,-1
P22736,Q16665,1
P09874,Q16665,1
P49841,P23246,-1
P49841,Q16236,-1
Q9UHD2,Q04864,1
P28482,Q13362,-1
P84022,Q15329,1
P01137,P84022,1
P84022,Q16254,1
P28482,P84022,-1
P11802,P84022,-1
P28482,O43524,-1
P19419,P01100,1
O60716,Q86T24,-1
P49841,Q13887,-1
P49841,Q14494,-1
P28482,P98177,-1
P01137,P63151,1
P11802,Q06413,-1
P33076,O14593,1
O43524,P15172,1
P98177,P15172,1
Q15672,P10242,-1
P17542,Q06413,1
Q5VTD9,Q06413,-1
P04198,Q06413,-1
P31269,Q06413,-1
P46531,Q99081,1
P42226,Q9UBK2,1
P48436,P49716,-1
P37231,P35222,-1
P42226,O43474,1
P03372,O43623,-1
