Node1,Node2,Sign
P17612,P10070,-1
P17612,P49840,-1
P17612,P19174,-1
P17612,O60716,-1
P17612,P19544,-1
Q00535,P06400,-1
Q00535,Q13153,-1
Q14164,Q9NQC7,-1
P05412,P18847,1
Q15349,O75030,-1
P10070,P08151,1
P42229,Q9Y6K1,1
O60674,P51692,1
P46937,P35222,1
P35222,O75030,1
Q13153,P35222,1
P35222,P36402,1
P35222,O43524,1
P35222,P15884,1
Q13547,Q13363,1
Q13363,O60315,1
Q13485,P49711,1
P05412,Q13485,1
Q13485,Q15329,1
Q13485,Q16254,1
Q13485,Q14186,1
P29590,P46937,1
P31749,P46937,-1
P46937,Q15561,1
P46937,P28347,1
P16220,O43524,-1
Q14164,O43524,-1
P25490,Q9UM47,-1
P06493,Q9Y6Q9,-1
O60674,P52630,1
P06493,P29590,-1
P06493,O43524,-1
P06493,P39880,-1
P31749,O75376,-1
O75376,P41182,1
P55210,Q02080,-1
O75676,O75030,-1
P29590,Q9H3D4,1
P68400,P29590,-1
P52657,P20226,1
P31749,P49840,-1
P49840,O75030,1
P45983,Q14653,1
P05412,P15884,1
P05412,P15408,1
Q9H3D4,Q05655,1
P31749,O43524,-1
P31749,P17542,-1
P08047,P56524,1
Q9UM47,Q06330,1
Q06330,P23759,1
Q06330,P52657,1
P45983,P42229,1
Q05655,P45983,1
P45983,O43524,1
P45983,P08047,1
P45983,P17544,1
P23771,Q9UL17,-1
Q01094,Q13547,1
P19174,Q9UQM7,1
O60674,P42226,1
P19174,P42229,1
O60674,P19174,1
P68400,Q01105,-1
P68400,P08047,-1
P08047,Q01094,1
Q14186,Q01094,1
P01137,Q06710,-1
P06400,Q02447,1
P06400,P08047,1
Q14186,P06400,1
Q13153,P78545,1
Q9UBK2,O43524,-1
P08047,Q9UL17,1
O60674,P42229,1
P23759,Q03164,1
Q02447,P08047,1
Q5VWQ8,O60674,-1
P62714,P32519,-1
O00712,P08651,-1
Q15672,P10242,-1
P28347,O43524,1
P19838,P49711,-1
P08151,P04198,1
P17542,Q06413,1
P17542,P11308,1
P20749,P49711,-1
Q92826,P15884,-1
P31269,Q06413,-1
Q5VWQ8,P37275,-1
O15054,Q15306,1
P25116,Q99612,1
P19544,Q9Y6K1,1
P42226,Q07869,1
P42226,O15054,1
Q15672,P25116,-1
P17612,P16220,1
P17612,P19838,1
P17612,P03372,1
P17612,Q00613,1
P31749,P17612,1
P17612,P48436,1
P17612,Q12809,1
P17612,P50549,1
P17612,P05549,1
Q00535,P40763,1
Q16623,Q00535,1
Q00535,O15516,1
Q9NQC7,P20749,-1
Q9NQC7,Q12933,-1
P06493,Q08050,1
Q15349,P18848,1
Q15349,P16220,1
Q15349,P03372,1
O75676,Q15349,1
Q15349,P50549,1
P18848,P0DPQ6,1
P35222,P48431,-1
P29590,P40763,-1
P40763,O43474,1
P40763,P18146,1
P40763,P42224,1
Q15788,P40763,1
P40763,O75626,1
P40763,Q15672,1
P40763,P17947,1
Q16539,P40763,1
Q13363,Q9NQB0,-1
P42224,P27540,1
P31749,P27540,1
P27540,Q9GZT9,1
Q12933,P49116,1
P49715,P22415,1
P49715,P17947,1
O75676,P16220,1
P31749,P16220,1
Q16539,P16220,1
Q14164,P03372,1
Q14164,P42224,1
Q14164,Q04864,1
Q86WV6,Q14164,1
P0DPQ6,P15407,1
P0DPQ6,P17535,1
Q16539,P0DPQ6,1
P19838,Q9Y618,1
P20749,P19838,1
Q01094,P19838,-1
Q92831,P15172,1
Q92831,P10914,1
Q16539,Q92831,1
Q92831,P14316,1
Q92831,P33076,1
Q92831,Q9Y2Y9,1
P68400,P25490,1
P06400,P25490,-1
O75376,P03372,-1
O75676,P03372,1
Q15788,P03372,1
P31749,P03372,1
P03372,P23771,1
P06401,P03372,1
Q9UBK2,P03372,1
Q16539,P03372,1
P03372,Q92731,1
P03372,P55317,1
P06493,P36956,1
P23246,Q15233,1
P06400,O00716,-1
Q9UQM7,Q9Y618,-1
P06493,P68400,1
Q16254,P06493,-1
P06493,Q01167,1
P06400,Q14209,-1
P06400,P55210,-1
O75676,P18846,1
Q16539,O75676,1
O75676,P50549,1
P29590,Q16539,-1
P68400,Q16623,1
Q16539,Q14765,1
P49840,P23246,-1
P49840,O95644,-1
P49840,Q92908,-1
P18146,P01137,1
P42226,P42224,-1
P42224,P10914,1
Q16539,P42224,1
P42224,P14316,1
Q15788,P06401,1
Q15788,Q13133,1
Q13547,P15172,-1
P15923,P15172,1
Q02078,P15172,1
P68400,P31749,1
P31749,Q15672,1
P56524,Q02078,-1
P45983,Q13469,-1
P61244,Q99583,1
Q16539,P61244,1
Q13547,O60675,-1
Q13547,Q16236,-1
Q13547,Q13351,-1
Q13547,O43623,-1
Q9UQM7,P14921,-1
Q9UQM7,P15036,-1
Q16539,P04150,1
P33076,P25208,1
Q9GZT9,Q99814,1
Q16539,P22415,1
P68400,Q8TAQ2,1
P68400,Q15672,1
P68400,Q16666,1
P68400,O95644,1
P68400,P05549,1
Q16539,P15336,1
P10914,Q9BX63,1
P06400,P17947,-1
Q16539,P15923,1
P17542,P15923,-1
Q16539,Q9UBK2,1
Q9UBK2,P11474,1
Q16539,Q02078,1
Q13469,Q02078,1
Q9GZT9,Q16665,1
Q16539,Q15672,1
Q16539,O60381,1
Q05655,P10588,-1
Q12933,Q5VWQ8,1
P41182,P17535,-1
Q16539,P41235,1
Q16539,P23769,1
Q16539,P28324,1
O60716,Q86T24,-1
Q01105,P62714,-1
P15036,P14921,1
Q16666,Q86WV6,1
Q13469,Q13422,1
P33076,P48382,1
P33076,O14593,1
P55317,O00712,1
P16220,P15172,1
Q13547,P49715,-1
P40763,P01137,1
P37275,Q6ISB3,-1
P17947,O00470,1
P04150,Q15788,1
Q9Y6K1,O00470,-1
Q9Y6K1,P31269,-1
P56524,Q92826,-1
Q15672,O43623,1
O75376,O43623,-1
P25490,Q99466,-1
Q99466,Q06330,1
P18848,P35638,1
P35638,P15407,1
P35638,P17535,1
Q16539,P35638,1
O14744,P31269,1
O60674,O14744,-1
