Node1,Node2,Sign
P06239,P42224,1
P06239,P42229,1
P52333,P06239,-1
P06239,Q16539,1
Q16623,Q00535,1
Q00535,O15516,1
P15336,P18847,1
P51812,Q15831,-1
P51812,O75030,-1
P51812,P49841,-1
Q9Y243,P16220,1
P68400,Q9Y243,1
Q9Y243,P15976,1
Q5VWQ8,Q9Y243,-1
P27361,Q14790,-1
P27361,Q15831,-1
P27361,P06401,-1
P27361,Q13362,-1
P27361,O43524,-1
P27361,P49841,-1
P46937,Q15797,1
Q14790,P55210,1
Q13363,P48552,-1
Q13363,Q9NQB0,-1
P42224,P27540,1
P27540,Q9H6Z9,1
O00716,P10244,1
P31749,P46937,-1
P31751,P46937,-1
P46937,Q15562,1
P46937,P28347,1
Q16539,P16220,1
P16220,P21675,1
P28482,P16220,1
Q03060,P16220,-1
Q16539,Q92831,1
Q92831,P14316,1
Q92831,Q9Y2Y9,1
P68400,P25490,1
P28482,P48552,1
O14757,O00716,1
O75376,Q07869,-1
Q15831,P49841,1
Q15831,Q13131,1
Q15831,P43268,1
P24941,O43524,-1
P67775,O43524,1
Q16539,P67775,1
P67775,P08047,1
P68400,Q16623,1
P04637,P23511,-1
P04637,P14921,-1
Q16539,Q14765,1
P68400,O75925,1
O75925,O75626,1
Q13131,O75925,1
Q8TCW9,P05198,-1
P45984,P42224,1
Q16539,P42224,1
P28482,P42224,1
P42224,P14316,1
P68400,Q9UJU2,1
Q9UJU2,O75030,1
P31749,Q9UBK2,-1
P31749,O43524,-1
P31749,P49841,-1
P31749,P17542,-1
P31749,P23769,-1
Q13362,P18846,1
O75444,P14921,-1
P42226,P23771,1
Q13547,O60675,-1
Q13547,Q16236,-1
P23511,P08047,1
Q9UQM7,Q13362,-1
Q9UQM7,P14921,-1
Q9UQM7,P15036,-1
P52333,P42226,-1
P68400,P45984,1
P45984,P15336,1
P45984,O43524,1
Q9H6Z9,Q99814,1
P31751,O14757,-1
P31751,Q9UBK2,-1
P31751,O43524,-1
P31751,P49841,-1
P31751,P17542,-1
P31751,P23769,-1
P31751,Q9Y261,-1
P68400,Q8TAQ2,1
P28482,P68400,1
Q16539,P15336,1
P28482,P15336,1
P84022,Q06710,-1
P49918,P11802,-1
P23443,P49841,-1
Q16539,O75030,1
P28482,O75030,1
Q9UBK2,Q07869,1
Q16539,Q9UBK2,1
Q13131,Q9UBK2,1
Q9UBK2,P11474,1
Q16539,Q02078,1
P28482,P42229,1
P42229,Q9BZS1,1
Q04206,Q07869,-1
P28482,Q16665,1
P49841,P17676,1
P17676,Q16254,1
P28482,P17676,1
Q16539,O60381,1
P28482,Q07869,1
Q16539,O43524,1
Q13131,O43524,1
P28482,P15976,1
Q02447,P08047,1
P28482,Q02447,1
Q16539,P28482,1
Q16539,P41235,1
Q16539,P23769,1
Q16539,P28324,1
Q16539,Q99626,1
O60716,Q86T24,-1
P28482,P08047,1
P18564,P01137,1
P28482,P14921,1
P28482,P23769,1
P28482,P28324,1
P28482,Q8NHW3,1
P15036,P14921,1
Q13131,Q6N021,1
Q99704,P18564,-1
Q6N021,P19544,1
P28347,O43524,1
P19838,P49711,-1
P20749,P49711,-1
Q92826,P15884,-1
Q5VWQ8,P37275,-1
P23511,Q5VTD9,1
P25116,P15407,1
O15054,Q15306,1
P42226,Q9UBK2,1
P25116,Q99612,1
P05198,P18848,1
Q5VWQ8,Q92786,-1
P42226,Q07869,1
P42226,O15054,1
Q15672,P25116,-1
Q8NHW3,P52945,1
Q00535,Q13153,-1
Q13950,P12643,1
P27361,P51812,1
P51812,P50549,1
Q9Y243,O75376,-1
Q9Y243,Q12778,-1
Q9Y243,P10276,-1
Q9Y243,P49918,-1
Q9Y243,P84022,-1
Q9Y243,P98177,-1
P27361,P19793,1
P10276,P19793,1
P45984,P19793,-1
P10589,P19793,1
P04637,O15350,1
P12643,Q99717,1
Q13131,P14859,-1
P27361,P36956,1
P27361,P24941,1
P67775,P27361,-1
P27361,P04637,1
P27361,Q15788,1
P27361,P20749,1
P27361,P23443,1
P27361,Q06546,1
P27361,Q04206,1
P27361,Q15672,1
P27361,P17535,1
P27361,Q01196,1
P07949,P27361,1
Q16539,P27361,-1
P27361,P19419,1
P27361,Q15648,1
P31749,Q16656,1
P35222,Q12778,1
P31749,P35222,1
P31751,P35222,1
Q13153,P35222,1
P35222,P36402,1
P49841,P35222,-1
P35222,P98177,1
Q99626,P35222,-1
P35222,Q9HCS4,1
Q14790,Q13546,-1
Q14790,Q8TCW9,-1
Q13547,Q13363,1
Q13131,Q13363,-1
Q13363,O60315,1
P23771,P49715,-1
P49715,P22415,1
P28482,P49715,-1
P16220,Q12778,-1
Q9Y261,P32243,-1
P31751,P19838,1
P20749,P19838,1
O14757,P19838,-1
Q13546,P19838,1
P46531,P19838,1
P19838,Q04206,1
Q92831,P24941,-1
P25490,P46531,-1
P23443,P36956,1
P49841,P36956,-1
Q13131,P36956,-1
P48552,Q13285,-1
P52333,P52630,1
P49841,P10070,-1
Q14186,Q14209,1
Q15831,Q13153,-1
P55210,Q8TCW9,-1
P55210,Q02080,-1
P24941,P04637,1
P31749,P24941,1
P24941,Q14186,1
P24941,Q01167,1
P67775,P31749,-1
P67775,P31751,-1
P67775,P23443,-1
P67775,Q13153,-1
P67775,Q04206,-1
P67775,P32519,-1
P04637,O43474,1
P04637,Q99856,1
P19544,P04637,-1
P04637,O14503,1
Q12778,O43474,1
P84022,Q12778,1
Q07869,Q12778,-1
P28482,Q12778,-1
P42224,Q04206,-1
P31749,P23443,1
P31749,Q13153,1
Q13362,P31749,-1
P31749,P84022,1
P31749,Q15672,1
P07949,P31749,1
P28482,P10242,-1
P26367,O75444,1
P23771,Q9UL17,-1
P68400,P61244,-1
P84022,P61244,1
P61244,P50539,1
Q13547,Q01543,1
P20749,Q13547,1
Q01196,Q13547,1
Q01664,Q13547,1
P19174,Q9UQM7,1
P45984,P17275,-1
Q9UM73,P19174,1
P33076,P25208,1
P31751,Q15672,1
P07949,P31751,1
P68400,Q08945,-1
P68400,Q01892,-1
Q13546,Q5VWQ8,1
P84022,P46531,1
P11802,Q13761,-1
Q13362,P23443,-1
P23443,Q03060,1
Q13153,P78545,1
P84022,Q15329,1
P28482,P84022,-1
P11802,P84022,-1
Q9UM73,P52333,1
Q9BZS1,P51449,-1
P07949,O60716,1
P07949,Q99704,1
P49767,P07949,1
P49841,Q13887,-1
P49841,Q14494,-1
P28482,P98177,-1
P01137,P12643,-1
P49767,Q9UM73,1
P33076,O14593,1
Q15648,Q92908,1
P14859,Q15672,1
P25490,Q92826,-1
P37275,Q6ISB3,-1
O75626,P33076,-1
Q15672,P10589,1
P46531,Q99081,1
P27361,P48436,1
Q16552,P57682,1
P01137,P26367,-1
P01137,Q01664,-1
P27540,P24941,-1
Q13950,Q15672,1
Q13950,P49767,1
P10070,P12643,1
P51449,Q16552,1
P31749,P12755,-1
P31751,P12755,-1
P12755,Q99717,-1
P24941,P50613,1
P50613,P04637,1
P50613,P10276,1
P50613,Q13285,1
P12755,P84022,-1
P37173,O43318,1
O43318,Q16539,1
O43318,Q15750,1
O43318,Q13131,1
Q15750,P49116,1
Q15750,P45984,1
P01137,P37173,1
P37173,P62714,1
O43318,P84022,-1
P62714,P31749,-1
P62714,P31751,-1
P62714,P23443,-1
P62714,P32519,-1
