Node1,Node2,Sign
O43318,P84022,-1
Q16623,Q00535,1
Q00535,O15516,1
O75460,P17861,1
P27361,Q15831,-1
P27361,Q12778,-1
P27361,P10242,-1
P27361,P06401,-1
P27361,O43524,-1
P27361,P49841,-1
P27361,P41182,-1
P27361,P98177,-1
P29350,P51692,-1
Q15303,P51692,1
O60674,P51692,1
P49674,P46937,-1
P46937,Q15561,1
P46937,P28347,1
P49116,O14920,1
Q13131,P49116,-1
P16220,Q12778,-1
P16220,O43524,-1
O14920,Q9Y6Q9,1
O14920,Q14653,1
O15530,O14920,1
O14920,Q04206,1
Q05513,O14920,1
Q9UHD2,O14920,1
P11021,O75460,-1
Q9H2X6,Q9UJU2,-1
P23246,Q15233,1
P49674,P10070,-1
P49674,Q9UJU2,-1
P49674,O60716,-1
Q05513,Q15831,1
Q15831,P49841,1
Q15831,P43268,1
P29350,Q12809,-1
O75676,P18846,1
O75676,Q04206,1
P28482,O75676,1
P84022,Q9NQB0,1
P24941,Q14207,1
P24941,P17676,1
P28482,P24941,1
P24941,Q14186,1
P68400,Q16623,1
P19338,P27694,1
Q05513,P19338,1
O60674,Q14765,1
Q12778,O43474,1
P06401,Q12778,1
P17676,Q12778,1
P84022,Q12778,1
P09874,Q12778,-1
P49840,P23246,-1
P68400,O15379,1
O15379,Q01094,1
Q04206,Q14653,1
P78527,Q14653,1
Q9UHD2,Q14653,1
P68400,O75925,1
O75925,P48436,1
O75925,O75626,1
Q05655,P42224,1
O60674,P42224,1
P28482,P42224,1
P42224,P14316,1
P68400,Q9UJU2,1
P84022,Q9UJU2,1
Q15596,P10276,1
P28482,P10276,1
P10276,P48443,1
Q969H0,P10242,1
P10242,P17676,1
Q04721,Q06330,1
O15530,O00141,1
O00141,Q969H0,1
P23771,O15520,1
Q14207,Q9BQA5,1
Q9BQA5,P78527,1
P61244,Q99583,1
P84022,P61244,1
P61244,P50539,1
O15530,Q05513,1
O15530,Q05655,1
P48736,O15530,1
P33076,P25208,1
P68400,Q8TAQ2,1
P68400,Q04206,1
P28482,P68400,1
P68400,P56270,1
P68400,P17480,1
P06400,P15336,1
P28482,P15336,1
Q15759,Q16236,-1
Q01094,Q04206,1
P28482,Q01094,1
Q14186,Q01094,1
