Node1,Node2,Sign
Q9UJU2,Q13950,-1
P48436,Q13950,-1
P84022,Q13950,-1
P53350,Q08050,1
Q09472,O43524,-1
P27361,P49715,-1
P27361,Q15831,-1
P27361,O43524,-1
P27361,P49841,-1
P27361,Q01860,-1
P46937,P35222,1
P35222,Q9NQB0,1
P68400,P35222,1
P35222,P22736,1
P35222,O43524,1
P35222,P15884,1
P35222,Q9HCS4,1
O14543,Q9UQF2,-1
Q9UQF2,Q16539,1
O00716,P10244,1
Q9H3D4,P46937,-1
P63165,P46937,1
P46937,Q15561,1
Q15750,P49116,1
P23771,P49715,-1
Q01196,P49715,-1
P16220,O43524,-1
P19838,Q9Y618,1
P20749,P19838,1
P19838,Q04206,1
P03372,Q16236,-1
O14543,Q14186,-1
Q9Y618,Q96T58,1
Q96T58,O75376,1
Q14186,Q14209,1
Q15831,P49841,1
Q15831,Q13131,1
Q15831,P43268,1
P29350,Q12809,-1
O75676,P18846,1
O75676,Q04206,1
O75676,P50549,1
P24941,Q01094,-1
P24941,O43524,-1
P67775,Q9UQM7,1
P67775,O43524,1
P14780,P01137,1
Q04206,Q14653,1
O75925,P63165,1
P68400,O75925,1
O75925,O75626,1
Q13131,O75925,1
P53350,O75116,1
O75116,Q15306,1
Q00613,P63165,-1
O00141,Q969H0,1
Q13164,O00141,1
Q13535,P53350,-1
P61244,Q99583,1
P61244,P50539,1
O43524,P53350,1
P68400,Q8TAQ2,1
P68400,Q04206,1
P68400,P05549,1
P49841,P20749,1
Q15759,Q16236,-1
Q15759,Q15750,-1
P50613,Q01094,-1
Q14186,Q01094,1
P11802,Q13761,-1
Q9UBK2,O43524,-1
P49841,Q04206,1
Q13164,P22736,1
Q13164,Q16236,1
Q05513,Q13164,-1
Q05513,P49841,-1
P09874,Q9UGL1,-1
Q13164,P14921,1
Q13164,Q06413,1
Q9BZS1,P51449,-1
Q13131,O43524,1
O60716,Q86T24,-1
P11802,Q06413,-1
Q13131,Q6N021,1
O00257,O60315,-1
Q6N021,P19544,1
P35222,Q9Y261,1
P14921,P14780,1
P43268,Q01860,1
P25490,Q92826,-1
P42229,Q06413,-1
Q5VWQ8,P37275,-1
P48436,P49716,-1
Q16552,P57682,1
Q5VWQ8,Q92786,-1
Q9Y6K1,O00470,-1
Q14186,P10244,1
Q9Y6K1,P31269,-1
Q13164,O43474,1
P51449,Q16552,1
Q13131,P14859,-1
P27361,Q09472,1
Q09472,Q15796,1
