Node1,Node2,Sign
O75460,P17861,1
P50750,Q15596,1
P50750,P06400,1
P36873,P50750,1
P24941,Q08050,1
Q9Y4K3,P49116,1
P63165,Q9Y4K3,1
Q9Y4K3,Q9NYJ8,1
O15111,Q12778,-1
O15111,Q01201,-1
O15111,Q9Y261,-1
Q15349,P18848,1
P28482,Q15349,1
P27361,P29350,-1
P27361,Q12778,-1
P27361,P10242,-1
P27361,P49841,-1
P27361,P41182,-1
P27361,Q01860,-1
P35222,Q12778,1
P45983,P35222,-1
P68400,P35222,1
P46531,P35222,-1
P35222,P36402,1
P11473,P35222,1
P35222,P15884,1
Q99626,P35222,-1
P40763,Q16665,-1
P63165,Q13363,1
P45983,Q13363,-1
Q13363,O60315,1
Q9NYJ8,P49116,1
Q14164,Q12778,-1
P20749,P19838,1
Q01094,P19838,-1
P19838,Q04206,1
P09874,P19838,1
P63165,P49711,1
P11021,O75460,-1
Q92831,P24941,-1
P49674,Q12778,1
Q92997,P49674,1
P49674,O15055,1
Q05655,P29350,1
P24941,Q99708,1
P28482,P24941,1
P24941,Q01167,1
P67775,Q04206,-1
P67775,Q05655,-1
P67775,P28482,-1
P67775,P32519,-1
Q12778,O43474,1
P68400,O15379,1
P20749,O15379,1
Q7KZI7,Q92997,1
O75925,P63165,1
P68400,O75925,1
O75925,O75626,1
P42224,Q04206,-1
P42224,Q16665,-1
Q00613,P63165,-1
O75081,P17542,-1
Q15788,P42229,1
Q15788,P11473,1
P28482,Q15788,1
P68400,Q8TAQ2,1
P68400,Q04206,1
P68400,P11473,1
P28482,P68400,1
P68400,P17480,1
P68400,P05549,1
P49841,P20749,1
Q9NYJ8,Q15759,1
Q15759,O60381,1
P49841,Q7KZI7,1
P23443,P49841,-1
P06400,Q16665,1
Q15303,P42229,1
P28482,P42229,1
Q15672,Q04206,-1
Q05655,Q04206,1
P49841,Q04206,1
P28482,Q04206,1
P09874,Q16665,1
P28482,Q16665,1
P84022,P55317,-1
P28482,P09874,1
Q9NSA1,Q15303,1
O60716,Q86T24,-1
P49841,P33076,1
P28482,P23769,1
P28482,Q02080,1
P28482,Q8NHW3,1
P28482,Q96SB3,1
P28482,P56693,1
Q96SB3,P36873,1
P33076,P48382,1
P33076,O14593,1
P35222,Q9Y261,1
Q15672,P10242,-1
O43623,P11473,-1
P18848,Q9NSA1,1
P25116,P15407,1
P25116,Q99612,1
Q9Y6K1,O00470,-1
Q15672,P25116,-1
Q8NHW3,P52945,1
O15111,Q00653,1
O15111,Q9Y6Q9,1
O15111,P01106,1
P46531,O15111,1
P46937,O15350,1
Q92831,O15350,1
P24941,O15350,-1
Q01094,O15350,1
Q15349,O75030,-1
O15055,P14859,-1
P27361,P40763,1
P27361,Q00613,1
P27361,P05412,1
P27361,P01106,1
P27361,P45983,1
P27361,Q01094,1
P27361,P23443,1
P27361,Q06546,1
P27361,Q15672,1
P27361,Q12772,1
Q05655,P27361,-1
P27361,P17535,1
P27361,Q01196,1
P27361,Q02447,1
P27361,P01100,1
P27361,P28324,1
P27361,P56270,1
P10070,P08151,1
P23443,P08151,1
P01106,Q9Y6K1,1
P29350,P51692,-1
O60674,P51692,1
P35222,P48431,-1
Q00653,Q13114,1
P08887,P40763,1
P29350,P40763,-1
P40763,P18146,1
P40763,P42224,1
P45983,P40763,1
P40763,P17275,1
P84022,P40763,1
P40763,Q15672,1
P40763,P17947,1
P05231,P40763,1
O60674,P40763,1
Q15797,Q13485,1
P46937,Q15797,1
P46531,Q15797,1
P28482,Q15797,-1
Q13363,Q9NQB0,-1
P05412,Q13485,1
Q13485,Q02078,1
P84022,Q13485,1
Q13485,P01100,1
Q13485,Q15329,1
P49674,P46937,-1
P46937,Q15562,1
P46937,P28347,1
Q14164,Q14653,1
Q14164,P42224,1
Q14164,Q04864,1
Q13114,Q14164,1
Q9Y261,P32243,-1
Q92831,P15172,1
Q92831,Q06330,1
Q92831,P10914,1
Q92831,P46531,1
Q92831,P84022,1
P05114,Q92831,1
Q92831,P14316,1
Q92831,Q06413,1
Q92831,Q9Y2Y9,1
P25490,P01106,1
P06400,P25490,-1
P52630,P42224,1
O60674,P52630,1
P49674,P10070,-1
P49841,P10070,-1
P49674,O60716,-1
Q96T58,O75376,1
Q01094,Q14209,1
P06400,Q14209,-1
P05231,P08887,1
P08887,O60674,1
P29350,Q12809,-1
P05412,Q9NQB0,1
P84022,Q9NQB0,1
P24941,P15172,-1
P24941,Q01094,-1
P24941,Q13153,-1
P24941,P84022,-1
P24941,P98177,-1
P67775,P01106,1
P67775,P98177,1
O60674,P67775,1
P06400,P20226,-1
O60674,Q14765,1
P05412,P18146,1
O15379,P01106,-1
O15379,O60675,-1
O15379,Q16236,-1
P45983,Q14653,1
O75925,P42224,-1
P46531,P48431,1
P45983,P42224,1
P42224,P10914,1
P05231,P42224,1
O60674,P42224,1
P42224,P14316,1
P49841,Q00613,-1
Q15303,O75081,-1
P45983,P05412,1
P68400,P05412,-1
P11473,P05412,-1
P05412,P17947,1
P05412,P01100,1
P49841,P05412,-1
P05412,P15408,1
P45983,P10276,1
P10276,P22736,1
Q02078,P15172,1
Q06413,P15172,1
P45983,P01106,1
P61244,P01106,1
P46531,P01106,1
P06400,P01106,-1
Q04206,P01106,-1
O60381,P01106,-1
P49841,P01106,-1
P46531,Q06330,1
Q06330,P23759,1
P45983,P84022,1
P45983,Q15672,1
P45983,P17535,1
P45983,P98177,1
P28482,P45983,-1
P45983,P17544,1
P45983,P41235,1
P45983,P28324,1
P42226,P23771,1
P84022,P23771,1
P68400,P61244,-1
P84022,P61244,1
P61244,P50539,1
O60674,P42226,1
Q05655,Q01543,-1
Q99708,Q96T58,-1
P68400,Q08945,-1
P68400,Q16236,-1
P68400,P05114,-1
P68400,Q13133,-1
P68400,Q13422,-1
P68400,Q01892,-1
Q15759,Q16236,-1
P10914,Q9BX63,1
P06400,Q01094,-1
P84022,P46531,1
P23443,Q03060,1
P06400,P17947,-1
P06400,P21675,-1
Q13153,P78545,1
P28482,P06401,-1
Q9UBK2,P11474,1
P49841,Q16236,-1
P84022,Q15329,1
P28482,P84022,-1
Q03164,Q01196,1
P23759,Q03164,1
P09874,Q9UGL1,-1
Q05655,P10588,-1
P41182,P17535,-1
P23769,P17947,-1
P28324,P01100,1
P49841,Q13887,-1
P49841,Q14494,-1
P28482,P98177,-1
P78545,Q9NZC4,1
P23771,P11308,1
P23759,P15172,1
P98177,P15172,1
P14859,Q15672,1
P14859,O43623,1
Q06413,P05412,1
P28347,P98177,1
Q15672,P01100,1
P08151,P04198,1
P42229,Q06413,-1
Q01860,Q99626,-1
Q01860,P26367,-1
O75626,P01106,-1
P11308,P01106,1
Q06330,Q00653,1
P17947,Q01543,1
Q01543,P11308,1
Q15672,P10589,1
O15054,Q15306,1
P46531,Q99081,1
P42226,Q9UBK2,1
P18848,P11021,-1
P27361,P48436,1
Q12968,P05231,1
P46531,Q00653,1
P42226,O15054,1
Q15672,O43623,1
O15055,Q15672,-1
O15055,O43623,-1
