Node1,Node2,Sign
P00533,P0DP23,-1
P00533,P08069,-1
P00533,O60716,-1
P17612,P16220,1
P17612,Q8N5S9,1
P17612,Q00613,1
P31749,P17612,1
P17612,P48436,1
P17612,Q04206,1
P17612,Q12809,1
P31751,P18031,-1
P0DP23,Q8N5S9,1
P0DP23,Q9UQM7,1
O15111,Q12778,-1
O15111,Q01201,-1
O15111,O43524,-1
Q09472,Q12778,-1
Q09472,O43524,-1
Q15796,Q15797,1
Q15796,P16220,1
Q15796,Q9UJU2,1
P45983,Q15796,1
Q15796,P84022,1
Q15796,Q16254,1
P23458,P51692,1
P46937,Q15797,1
Q15797,O14640,1
P31749,P27540,1
P27540,P35869,1
Q9H3D4,P46937,-1
P31751,P46937,-1
P46937,Q15562,1
P46937,Q15561,1
P46937,P28347,1
P23771,P49715,-1
P61244,P49715,-1
P49715,P22415,1
P31749,P16220,1
Q9UQM7,P16220,1
Q13362,P16220,-1
P16220,P84022,1
O14920,Q12778,-1
O14920,O43524,-1
P25490,Q04721,-1
Q8N5S9,Q13131,1
Q9H2X6,Q9UJU2,-1
P23246,Q15233,1
P31749,P48552,1
P48552,Q13133,1
P23458,P52630,1
P06400,O00716,-1
O14543,Q14765,1
P23458,O14543,1
P45983,Q12778,1
P31751,Q12778,-1
P17676,Q12778,1
P84022,Q12778,1
P09874,Q12778,-1
Q07869,Q12778,-1
Q13131,Q12778,1
P49840,P23246,-1
P49840,Q92908,-1
P42224,Q04206,-1
Q9UJU2,O75030,1
P84022,Q9UJU2,1
P10275,O43524,-1
Q13362,P31749,-1
P31749,P84022,1
P31749,Q05655,1
P31751,Q15910,-1
P31751,P45983,-1
P45983,P42229,1
P45983,P84022,1
Q05655,P45983,1
P45983,O43524,1
P45983,P19419,1
Q13547,Q01543,1
P20749,Q13547,1
P33076,P25208,1
P31751,P22736,-1
P31751,P84022,-1
P31751,O43524,-1
P31751,P49841,-1
P31751,P12755,-1
P31751,P23769,-1
P49841,P20749,1
P49918,P11802,-1
P23458,P42229,1
Q05655,Q04206,1
P49841,Q04206,1
P22736,P24468,1
P49841,P17676,1
P17676,Q16254,1
O14640,P84022,1
P84022,Q16254,1
P84022,Q04721,1
P09874,Q9UGL1,-1
O14640,P25116,1
P08069,P23458,1
Q13131,O43524,1
P49841,P33076,1
Q13131,Q6N021,1
O00257,O60315,-1
P24468,P10589,1
P33076,P48382,1
Q6N021,P19544,1
P33076,O14593,1
P28347,O43524,1
P19838,P49711,-1
Q9UJU2,P49715,1
P15884,P48436,1
Q92826,P15884,-1
P11308,Q15910,1
Q01543,P11308,1
P25208,Q5VTD9,1
O75626,P33076,-1
P25116,Q99612,1
O75376,O43623,-1
P00533,P40763,1
P00533,P42224,1
P00533,Q02750,1
P00533,Q01094,1
P00533,Q05397,1
P17275,P00533,1
P17612,P36956,-1
P17612,P49840,-1
P17612,P11831,-1
P17612,P55211,-1
P17612,Q13469,-1
P18031,Q05397,-1
P18031,P19022,-1
P55212,Q9H2X6,1
P55211,P55212,1
P55212,P05549,1
Q09472,Q13950,1
P46937,Q13950,-1
Q9UJU2,Q13950,-1
P48436,Q13950,-1
P84022,Q13950,-1
Q02750,Q08050,1
O15111,Q00653,1
P49116,O15111,1
O15111,P19838,1
O15111,Q9Y6Q9,1
P31751,O15111,1
P12755,Q99717,-1
Q09472,P35222,1
Q09472,P40763,1
Q09472,P25490,1
Q09472,P10275,1
Q09472,P15172,1
Q09472,P10242,1
Q09472,Q15596,1
P31751,Q09472,1
Q09472,P10914,1
Q09472,Q01094,1
Q09472,P06400,1
Q09472,Q02078,1
Q09472,Q16665,1
Q09472,P09874,1
Q05655,Q09472,-1
P12755,Q09472,-1
Q13131,Q09472,-1
Q09472,Q06413,1
P49841,O00327,-1
P35222,Q9NQB0,1
P35222,P15172,1
P45983,P35222,-1
P31751,P35222,1
Q13153,P35222,1
P08069,P35222,-1
P49841,P35222,-1
P35222,P98177,1
P35222,Q9HCS4,1
P40763,O43474,1
P40763,P42224,1
Q02750,P40763,1
P40763,O75626,1
P40763,P17947,1
P49116,O14920,1
Q13131,P49116,-1
O14920,Q9Y6Q9,1
O14920,Q14653,1
O14920,Q9H3D4,1
P19838,Q9Y618,1
P31751,P19838,1
P09874,P19838,1
Q9Y6Q9,P10275,1
Q9H2X6,O00257,1
P49841,P36956,-1
Q13131,P36956,-1
O14543,Q14186,-1
Q08999,Q15329,1
P11802,Q08999,-1
Q12778,Q9Y618,-1
P31749,Q9Y618,-1
Q06330,Q9Y618,1
Q9UQM7,Q9Y618,-1
Q07869,Q9Y618,1
Q9Y618,P41182,1
P10275,O75376,1
P31749,O75376,-1
O75376,P41182,1
Q01094,Q14209,1
Q14186,Q14209,1
P52657,P20226,1
P31749,P49840,-1
Q13362,P49840,1
Q05655,P49840,-1
P42224,P10914,1
Q05397,P42224,1
Q15596,P10275,1
Q04206,P10275,-1
P49841,P10275,-1
P15884,P10275,-1
Q13547,P15172,-1
P06400,P15172,1
P15923,P15172,1
Q02078,P15172,1
P11802,P15172,-1
P24468,P15172,-1
Q06413,P15172,1
P31749,P31751,-1
P31749,P55211,-1
P31749,P49918,-1
P31749,P98177,-1
P31749,P17542,-1
P10242,P23771,1
Q13547,Q06330,-1
Q06330,P23759,1
Q06330,P52657,1
P45983,Q13469,-1
Q13362,P18846,1
P61244,Q99583,1
O60271,P61244,1
P61244,P50539,1
Q13547,O60675,-1
Q9UQM7,Q13362,-1
Q9UQM7,P14921,-1
Q9UQM7,P15036,-1
P06400,P15336,1
Q13153,Q02750,1
P49841,P15407,-1
P10914,Q9BX63,1
P09874,Q01094,1
Q14186,Q01094,1
Q05397,Q13153,1
P11802,Q13761,-1
P06400,Q16665,1
