Node1,Node2,Sign
P12931,P67775,-1
P68400,P08238,-1
Q9Y243,Q12778,-1
Q9Y243,P10276,-1
Q9Y243,Q15910,-1
Q9Y243,Q9UBK2,-1
Q9Y243,O43524,-1
Q9Y243,Q9Y261,-1
Q96EB6,Q01201,-1
Q96EB6,O15055,-1
Q09472,Q12778,-1
Q09472,O43524,-1
P51449,O00327,1
Q15796,P16220,1
P67775,Q15796,1
Q15796,Q9UJU2,1
Q15796,P08047,1
P98082,Q15796,1
P16220,P35222,1
P35222,Q12778,1
P35222,Q9UJU2,1
P45983,P35222,-1
P46531,P35222,-1
P35222,O75030,1
P35222,P36402,1
P35222,O43524,1
P35222,P15884,1
P35222,Q12913,1
Q99626,P35222,-1
P29597,P52630,1
P29350,P29597,-1
P29597,P51452,1
O00716,P10244,1
P09874,P10244,1
Q15628,O00463,1
P02533,Q15628,-1
P23771,P49715,-1
P61244,P49715,-1
P49840,P16220,1
O75582,P16220,1
P04150,P16220,-1
Q15759,P16220,1
P03372,Q12778,-1
P49674,P25054,1
P08047,P36956,1
P06400,O00716,-1
Q15759,O14543,1
P49674,Q12778,1
Q92997,P49674,1
P49674,O15055,1
P29350,Q12809,-1
P29350,P43405,-1
P67775,Q12778,1
P67775,O96017,1
P67775,O43524,1
P67775,P08047,1
P31749,Q12778,-1
P06401,Q12778,1
P31749,P49840,-1
P49840,O75030,1
P98082,Q92997,1
Q15303,O75081,-1
Q9UJU2,O75030,1
P36402,Q9UJU2,1
P31749,Q15910,-1
P31749,Q9UBK2,-1
P31749,O43524,-1
P31749,Q5VWQ8,-1
O75582,P18846,1
Q15759,O75582,1
O75582,P50549,1
P63165,P09874,-1
P26367,O75444,1
P45984,P17275,-1
P18850,Q12772,-1
P68400,Q08945,-1
P68400,P08047,-1
Q15759,O75030,1
Q15759,Q9UBK2,1
Q15759,Q15672,1
Q15759,O60381,1
P43405,Q15759,1
Q15759,P28324,1
P49918,P11802,-1
Q14145,Q06546,-1
P21802,P06401,-1
Q9UBK2,P11474,1
O96017,P40337,1
P84022,P26367,-1
Q9BZS1,P51449,-1
P15976,Q01196,1
Q5VWQ8,P15976,1
Q12913,O60716,1
P98082,Q5VWQ8,1
P43405,P51452,1
O00712,P08651,-1
P35222,Q9Y261,1
P19838,P49711,-1
Q9UJU2,P49715,1
P49715,O15055,1
Q92826,P15884,-1
O00712,Q15910,-1
P40337,P98082,1
Q16552,P57682,1
Q9Y6K1,O00470,-1
P03372,O43623,-1
Q15672,O43623,1
O75376,O43623,-1
P51449,Q16552,1
P12931,Q9Y243,1
P12931,P51692,1
P12931,P03372,1
P12931,P29350,1
P12931,P31749,1
P12931,P42229,1
P12931,Q13177,1
P12931,P01135,1
P07900,P12931,1
P08238,Q14145,-1
P25942,Q92844,1
O00463,P25942,-1
Q9Y243,Q09472,1
Q9Y243,P03372,1
P67775,Q9Y243,-1
P68400,Q9Y243,1
Q9UHD2,Q9Y243,1
Q5VWQ8,Q9Y243,-1
Q09472,O15350,1
P46937,O15350,1
Q92831,O15350,1
P12643,Q99717,1
Q96EB6,O75376,1
P45983,Q96EB6,1
Q96EB6,P06400,1
Q96EB6,P98177,1
O15055,P14859,-1
Q09472,Q15797,1
Q09472,P27540,1
Q92831,Q09472,1
Q09472,P25490,1
Q09472,P15172,1
P31749,Q09472,1
Q09472,Q15596,1
Q09472,Q01543,1
Q09472,P10914,1
Q09472,P06400,1
Q09472,Q02078,1
Q09472,P42229,1
Q09472,Q16665,1
Q16539,Q09472,1
Q09472,Q00978,1
Q09472,Q06413,1
P42229,Q9Y6K1,1
Q15303,P51692,1
P31749,Q16656,1
P35222,P48431,-1
P46937,Q15797,1
P46531,Q15797,1
P12643,Q15797,1
P31749,P27540,1
P27540,Q9H6Z9,1
P27540,P35869,1
P49674,P46937,-1
P63165,P46937,1
P46937,Q15562,1
Q9Y261,P32243,-1
P46531,P19838,1
P19838,P01100,1
Q9UHD2,P19838,1
P35638,P15407,1
Q16539,P35638,1
Q92831,P15172,1
Q92831,Q06330,1
Q92831,P10914,1
Q92831,P46531,1
Q92831,P84022,1
Q16539,Q92831,1
Q92831,Q06413,1
Q92831,P33076,1
Q92831,Q9Y2Y9,1
P68400,P25490,1
Q16539,Q9Y6Q9,1
O75925,P03372,1
P31749,P03372,1
P03372,P23771,1
P03372,Q15596,1
Q13153,P03372,1
Q15303,P03372,1
Q16539,P03372,1
P01236,P03372,1
P35869,P03372,1
P03372,P55317,1
P25054,P68400,-1
P49674,P10070,-1
O14543,Q14186,-1
O75376,P41182,1
Q14186,Q14209,1
P84022,Q9NQB0,1
P67775,P31749,-1
P67775,Q13153,-1
P67775,P32519,-1
Q16539,Q14765,1
P49840,P46531,-1
P49840,O95644,-1
P49840,Q92908,-1
P45983,Q14653,1
Q9UHD2,Q14653,1
O75925,P63165,1
P68400,O75925,1
O75925,P48436,1
P49137,O75925,1
P46531,P48431,1
P49137,Q00613,1
O75081,P17542,-1
P06400,P15172,1
Q02078,P15172,1
P07900,P15172,1
P11802,P15172,-1
Q06413,P15172,1
P68400,P31749,1
P31749,Q13153,1
P31749,P84022,1
Q9UHD2,P31749,1
P07900,P31749,1
P13631,P31749,1
P63165,P04150,1
P46531,Q06330,1
Q06330,P23759,1
P45983,P45984,1
P45983,P15336,1
P45983,P42229,1
P45983,P84022,1
P45983,Q16539,1
P45983,P98177,1
P45983,P17544,1
P51452,P45983,-1
P45983,P41235,1
P45983,P19419,1
P42226,P23771,1
P84022,P23771,1
P84022,P61244,1
Q16539,P61244,1
P61244,P50539,1
P68400,P11831,1
P49137,P11831,1
Q15596,P04150,1
Q9UHD2,P42226,1
