Node1,Node2,Sign
P12931,P67775,-1
P12931,P41235,-1
P48729,P16220,1
P29590,P48729,1
Q00535,P06400,-1
P55211,P55212,1
P55212,P05549,1
P15336,P18847,1
O75460,P17861,1
P29590,Q92993,1
Q92993,P78527,1
Q92993,Q9BZS1,1
O15111,Q12778,-1
O15111,Q01201,-1
O15111,Q9Y261,-1
P05771,P49840,-1
Q9UNE7,Q99717,-1
Q09472,Q12778,-1
P36507,P40763,1
P06493,P36507,-1
Q15796,Q15797,1
Q15796,P16220,1
Q15796,Q9NQB0,1
P29590,Q15796,1
P67775,Q15796,1
Q15796,Q9UJU2,1
Q9UQF2,Q06330,-1
P29350,P40763,-1
P40763,O75626,1
P40763,P17947,1
Q9UNE7,Q15797,-1
Q03112,Q13363,1
Q13363,O60315,1
P49840,P16220,1
Q9UQM7,P16220,1
Q13362,P16220,-1
Q03060,P16220,-1
P38398,P19838,1
Q13546,P19838,1
P19838,Q04206,1
Q9UHD2,P19838,1
O60216,P49711,-1
Q5VWQ8,O75460,1
P06493,P52926,-1
P06493,P29590,-1
P06493,Q15910,-1
P06493,P55211,-1
O75376,Q07869,-1
P29350,Q12809,-1
P29590,Q9H3D4,1
P68400,P29590,-1
P67775,Q12778,1
P67775,Q9UQM7,1
P67775,P06400,1
P04637,P23511,-1
P09874,Q12778,-1
P41235,Q12778,1
P38398,P48431,1
P42224,Q04206,-1
P23443,Q9H3D4,-1
P10276,P17947,-1
Q15910,P38398,1
P84022,P38398,-1
P11802,P38398,-1
Q06330,P23759,1
Q03164,Q01201,1
P68400,Q08945,-1
P06400,P15336,1
Q05513,P55211,-1
Q8N2W9,Q8IUC6,-1
P84022,Q06710,-1
Q8IUC6,Q13546,1
Q13546,Q5VWQ8,1
P11802,Q13761,-1
P06400,Q02447,1
P78396,P06400,1
P11802,P06400,-1
Q9UHD2,Q04206,1
Q9UHD2,Q04864,1
P84022,P55317,-1
Q03164,P31269,1
P23759,Q03164,1
Q8IUC6,Q9UHD2,1
P09874,Q9UGL1,-1
Q92786,P41235,-1
P55317,O00712,1
Q01860,Q9Y261,-1
O43623,P11473,-1
Q01860,Q92908,-1
P40763,Q9UJQ4,1
Q92826,P15884,-1
Q01860,O95936,-1
Q01860,O15178,-1
Q9UJQ4,P37275,1
P23511,Q5VTD9,1
P17947,O00470,1
P10276,P78396,-1
Q9UJQ4,P31269,1
P52926,P20248,1
Q01196,Q03112,1
Q00535,P12931,1
P12931,O15111,1
P12931,P51692,1
P12931,P29350,1
P12931,P42224,1
P12931,P10275,1
P12931,O15530,1
P12931,P42229,1
P12931,Q15654,1
P48729,P10070,-1
P48729,P98177,-1
Q16623,Q00535,1
Q00535,P04637,1
Q00535,P10275,1
Q09472,Q13950,1
P06493,Q13950,1
Q9UJU2,Q13950,-1
P06493,Q08050,1
P53350,Q08050,1
P11802,Q08050,1
P05771,O15111,1
O15111,Q00653,1
P49116,O15111,1
O15111,Q9Y6Q9,1
O43353,O15111,1
Q04759,O15111,1
P04198,P04637,1
O15530,P05771,1
P05771,Q16236,1
P78527,P14859,-1
Q13363,Q09472,-1
Q09472,P27540,1
Q09472,P04637,1
Q09472,P10275,1
Q09472,P15172,1
Q09472,P10242,1
Q09472,Q15596,1
Q09472,Q01543,1
Q09472,O75030,1
Q09472,Q02078,1
Q09472,P42229,1
Q09472,P22736,1
Q09472,P09874,1
Q09472,Q00978,1
P51449,O00327,1
P36507,P17542,-1
P10070,P08151,1
P23443,P08151,1
P45984,Q9UQF2,1
P04637,Q00653,1
P40763,P15172,-1
P42224,P27540,1
P27540,Q9H6Z9,1
P27540,P35869,1
P10244,P06493,1
P09874,P10244,1
Q9H3D4,P46937,-1
P46937,Q15562,1
Q9NYJ8,P49116,1
Q9Y261,P32243,-1
Q9Y6Q9,P10275,1
P06493,P36956,1
P23443,P36956,1
P08047,P36956,1
P23246,Q15233,1
P06493,P04637,1
P06493,P10275,1
P06493,P53350,1
P06493,P68400,1
P06493,P23443,1
P06493,P08047,1
P06493,Q01167,1
P10275,O75376,1
P06400,Q14209,-1
Q15831,P04637,1
Q05513,Q15831,1
Q15831,P43268,1
P67775,P23443,-1
P67775,Q13153,-1
P67775,Q05513,-1
P67775,P32519,-1
P68400,Q16623,1
P04637,O43474,1
O75925,P04637,1
P45984,P04637,1
P68400,P04637,1
Q15759,P04637,1
P04637,Q99856,1
P53778,P04637,1
P19338,P27694,1
Q05513,P19338,1
P06400,P20226,-1
O43353,Q14765,1
P49840,P23246,-1
P49840,O95644,-1
P68400,O75925,1
O75925,P48436,1
P45984,P42224,1
P42224,P14316,1
P42224,Q00978,1
Q04759,Q00613,1
Q15596,P10276,1
P10276,P22736,1
P10276,P48443,1
Q15596,P10275,1
Q04206,P10275,-1
P10275,Q13285,1
P15884,P10275,-1
P35869,P10275,1
Q5VWQ8,P10275,-1
P55317,P10275,-1
P15923,P15172,1
Q02078,P15172,1
P10242,P23771,1
P53350,O60216,1
Q13362,P18846,1
P42226,P23771,1
P84022,P23771,1
P84022,P61244,1
P61244,P50539,1
P68400,P11831,1
O15530,P53350,1
O15530,P23443,1
O15530,Q13153,1
O15530,Q05513,1
O15530,Q04759,1
Q05513,Q9UNE7,1
Q9UQM7,Q13362,-1
Q9UQM7,P14921,-1
O43353,Q9NYJ8,1
Q15654,O43353,1
Q05513,P42226,1
Q13153,P53350,1
P68400,P45984,1
Q9NYJ8,P45984,1
P45984,P84022,1
Q05513,P45984,1
P45984,P17535,1
P45984,P98177,1
P45984,P19419,1
P33076,P25208,1
Q9H6Z9,Q99814,1
Q15759,P22415,1
P68400,Q8TAQ2,1
P68400,O95644,1
P68400,P56270,1
P68400,P17480,1
Q15759,P15923,1
Q15759,O75030,1
Q15759,Q9UBK2,1
Q15759,Q02078,1
Q9NYJ8,Q15759,1
Q15759,P19419,1
Q15759,P28324,1
P09874,Q8N2W9,1
P20248,P11802,-1
P27694,Q9BX63,1
Q05513,P23443,1
P23443,Q03060,1
P06400,P21675,-1
P06400,P17480,-1
Q13153,P78545,1
Q9UBK2,P11474,1
Q13469,Q02078,1
P08047,Q9UL17,1
Q9NYJ8,P53778,1
P84022,Q15329,1
Q03112,P84022,-1
Q05513,P08047,1
Q05513,Q13469,1
Q05513,O95644,1
Q9BZS1,P51449,-1
P48443,Q13133,1
Q13469,Q13422,1
P78545,Q9NZC4,1
P33076,O14593,1
O00712,P08651,-1
P98177,P15172,1
P16220,O43623,-1
P14859,O43623,1
P08151,P04198,1
P43268,Q01860,1
P37275,Q6ISB3,-1
Q15910,Q92826,-1
Q15910,O43623,-1
O75626,P33076,-1
Q13761,O15111,-1
O15054,Q15306,1
P42226,Q9UBK2,1
P53778,P17275,1
Q16552,P57682,1
Q5VWQ8,Q92786,-1
P78396,P19544,-1
P42226,O15054,1
P42226,O43474,1
Q13950,O43623,1
P51449,Q16552,1
P12931,Q14790,-1
Q00535,Q02750,-1
Q14790,P55212,1
Q02750,P40763,1
P06493,Q14790,-1
P06493,Q02750,-1
Q14790,P10275,-1
Q13363,P48552,-1
P48552,P10275,1
P48552,Q13133,1
P53350,O75116,1
O75116,Q15306,1
Q02750,P17542,-1
Q99717,Q13485,1
Q15796,Q13485,1
Q15797,Q13485,1
Q13485,P49711,1
Q13485,Q9UJU2,1
Q13485,P15336,1
Q8N2W9,Q13485,-1
Q9UQF2,P80370,1
P80370,P48436,1
