Node1,Node2,Sign
Q96J02,Q15796,1
P46937,Q96J02,-1
Q96J02,P21580,1
P15336,P18847,1
O75460,P17861,1
P49841,Q92993,1
Q92993,Q9BZS1,1
Q9Y4K3,P10242,-1
P51812,O75030,-1
P51812,P49841,-1
Q13131,P14859,-1
P27361,P29350,-1
P27361,Q12778,-1
P27361,P10242,-1
P27361,Q13153,-1
P27361,P06401,-1
P27361,O43524,-1
P27361,P49841,-1
P27361,P41182,-1
P27361,O95644,-1
P27361,Q01860,-1
Q15796,P16220,1
Q92831,Q15796,1
Q15796,Q9NQB0,1
P67775,Q15796,1
Q15796,P08047,1
P01137,Q15796,1
Q15796,Q16254,1
P28482,Q15796,1
P98082,Q15796,1
Q00653,Q01201,1
P20749,Q00653,1
Q15788,P40763,1
P40763,O75626,1
P40763,P17275,1
Q05655,P40763,1
Q16539,P40763,1
P28482,P40763,1
Q13547,Q13363,1
Q13131,Q13363,-1
Q13363,O60315,1
Q13131,P49116,-1
O00141,P16220,1
Q9UQM7,P16220,1
Q16539,P16220,1
P16220,P21675,1
P28482,P16220,1
Q03060,P16220,-1
Q5VWQ8,O75460,1
Q92831,Q06330,1
Q16539,Q92831,1
Q92831,P14316,1
P03372,Q12778,-1
Q14209,Q15910,1
P06400,Q14209,-1
Q15831,Q13153,-1
Q05655,P29350,1
P29350,O60716,1
P24941,Q12778,-1
P24941,Q13153,-1
P24941,O43524,-1
P67775,Q12778,1
P67775,Q9UQM7,1
P67775,O43524,1
Q16539,P67775,1
P67775,P08047,1
P06400,P20226,-1
P06401,Q12778,1
P09874,Q12778,-1
Q16539,Q12778,1
P41235,Q12778,1
O43474,P11831,-1
P42224,Q04206,-1
Q15788,P06401,1
Q15788,Q07869,1
Q15788,P11473,1
P28482,Q15788,1
Q15788,Q13133,1
P05129,P10276,1
P28482,P10276,1
O15530,P05129,1
P05129,P98082,1
Q16539,Q15910,1
P10242,P23771,1
Q969H0,P10242,1
O15530,O00141,1
O00141,Q969H0,1
P68400,P11831,1
P68400,Q13547,1
P20749,Q13547,1
O15530,Q13153,1
O15530,Q05655,1
P48736,O15530,1
O15530,Q04917,1
P68400,Q8TAQ2,1
P68400,Q04206,1
P68400,P11473,1
P28482,P68400,1
P68400,O95644,1
P49841,P20749,1
Q16539,P15336,1
P28482,P15336,1
P23443,P49841,-1
P06400,P21675,-1
Q16539,O75030,1
P28482,O75030,1
P28482,Q13153,1
Q13153,P78545,1
Q9UBK2,O43524,-1
Q05655,Q04206,1
Q16539,Q04206,1
P49841,Q04206,1
Q04206,P08047,1
P28482,Q04206,1
Q16539,P17275,1
P09874,Q9UGL1,-1
Q05655,Q13887,1
P28482,Q07869,1
Q16539,O43524,1
P28482,P17535,1
Q16539,P28482,1
P43403,Q16539,1
Q16539,P41235,1
Q16539,P19419,1
Q16539,Q02080,1
Q16539,Q99626,1
Q5VWQ8,P49841,1
P28482,P08047,1
P28482,P19419,1
P28482,Q02080,1
P28482,Q8NHW3,1
P28482,Q15648,1
P28482,P56693,1
Q92786,P41235,-1
P98082,Q5VWQ8,1
P43403,P48736,1
Q15648,Q13133,1
Q13131,P41235,-1
P78545,Q9NZC4,1
Q15648,Q92908,1
O43623,P11473,-1
P40763,Q9UJQ4,1
P40763,P01137,1
Q9UJQ4,P37275,1
Q06330,Q00653,1
Q9Y6K1,O00470,-1
P78396,P19544,-1
Q8NHW3,P52945,1
Q96J02,P08151,-1
O15350,P55212,1
P55212,P05549,1
P27361,Q13950,1
Q15797,Q13950,1
P01137,Q13950,-1
P24941,Q08050,1
Q9Y4K3,Q9NYJ8,1
P21580,Q9Y4K3,-1
P27361,P51812,1
P51812,P18848,1
P51812,P03372,1
P51812,P50549,1
P46937,O15350,1
O14757,O15350,1
Q99717,Q13485,1
P36894,Q99717,1
P51449,O00327,1
P49841,O00327,-1
P27361,P03372,1
P27361,P36956,1
P27361,P24941,1
P67775,P27361,-1
P27361,P23443,1
P27361,P15923,1
P27361,Q06546,1
P27361,P42229,1
P27361,Q16665,1
P27361,P09874,1
Q05655,P27361,-1
P27361,Q01196,1
Q16539,P27361,-1
P27361,P14921,1
P27361,P17542,1
P27361,P28324,1
P27361,P56270,1
P10070,P08151,1
O00141,P08151,-1
P23443,P08151,1
P42229,Q9Y6K1,1
P29350,P51692,-1
P23458,P51692,1
P46937,P35222,1
P35222,P15172,1
P35222,P22736,1
P49841,P35222,-1
P35222,P98177,1
Q99626,P35222,-1
P35222,Q9HCS4,1
P40763,P15172,-1
P40763,Q16665,-1
Q15797,Q13485,1
P46937,Q15797,1
P28482,Q15797,-1
P36894,Q15797,1
P12644,P36894,1
Q13485,P49711,1
Q13485,P18846,1
Q13485,Q02078,1
Q13485,Q14186,1
P42224,P27540,1
P27540,Q9GZT9,1
P27540,P35869,1
O00716,P10244,1
P24941,P10244,1
P09874,P10244,1
Q16254,P10244,-1
Q04917,P46937,-1
P46937,Q15562,1
P46937,P28347,1
P23771,P49715,-1
P49715,P22415,1
P49715,P17947,1
P28482,P49715,-1
P09874,P19838,1
Q9UHD2,P19838,1
Q92831,P24941,-1
Q96GD4,P25490,1
Q969H0,Q9Y6Q9,-1
P24941,P03372,1
P03372,Q15596,1
Q15759,P03372,1
P23443,P03372,1
Q9UBK2,P03372,1
Q13887,P03372,-1
P35869,P03372,1
P03372,P55317,1
P23443,P36956,1
P49841,P36956,-1
O14757,O00716,1
P49841,P10070,-1
P28482,Q15831,-1
Q15831,Q13131,1
Q15831,P43268,1
P29350,P23458,-1
P29350,Q12809,-1
P24941,Q14207,1
P24941,O14757,1
P24941,Q14186,1
P24941,Q01167,1
P67775,O14757,-1
P67775,P23443,-1
P67775,P32519,-1
Q9UHD2,Q14653,1
P42224,P10914,1
