Node1,Node2,Sign
Q96J02,Q86Y01,-1
Q96J02,Q99466,-1
O75460,P17861,1
Q92993,P15172,1
Q92993,P78527,1
P49841,Q92993,1
P24941,Q08050,1
O15111,P19838,1
O15111,Q04206,1
Q99759,O15111,1
Q09472,O15350,1
P46937,O15350,1
Q05655,O15350,1
Q15349,P49841,-1
P18848,Q09472,-1
Q09472,P15172,1
Q09472,Q15596,1
Q09472,P10914,1
Q09472,P06400,1
Q09472,Q04206,1
P28482,Q09472,1
Q86Y01,Q09472,1
Q09472,Q00978,1
P27361,P49841,-1
Q15788,P51692,1
P15172,P51532,1
P51532,P37275,1
P40763,P15172,-1
P31946,P46937,-1
P46937,Q15561,1
P46937,P28347,1
P19838,P05412,1
Q01094,P19838,-1
P19838,Q04206,1
Q9UHD2,P19838,1
P49768,O75460,-1
Q92831,P24941,-1
P25490,Q99466,-1
P23246,Q15233,1
P24941,P50613,1
P24941,P17676,1
P28482,P24941,1
P24941,Q14186,1
P24941,Q01167,1
P67775,Q04206,-1
P67775,Q05655,-1
P67775,P28482,-1
P67775,Q99759,-1
Q01094,P20226,-1
P49840,P05412,-1
P49840,P23246,-1
P28482,Q15788,1
P06400,P05412,1
Q04206,P05412,1
P28482,P05412,1
P05129,P07900,-1
P06400,P15172,1
P07900,P15172,1
P11802,P15172,-1
Q99466,Q06330,1
Q06330,P23759,1
P26367,O75444,1
P42226,P23771,1
P68400,P11831,1
Q03164,Q01201,1
Q9UHD2,P42226,1
P45984,P17275,-1
P33076,P25208,1
P78527,P22415,1
P68400,Q04206,1
P28482,P68400,1
P68400,P17480,1
P06400,P15336,1
P28482,P15336,1
P50613,P13631,1
P11802,Q13761,-1
P06400,Q02447,1
P78396,P06400,1
P11802,P06400,-1
Q14186,P06400,1
P28482,Q06546,1
Q9UBK2,P11474,1
Q05655,Q04206,1
Q9UHD2,Q04206,1
P49841,Q04206,1
P28482,Q04206,1
P49841,P17676,1
P17676,P07900,1
P17676,Q16254,1
P28482,P17676,1
Q9UHD2,Q04864,1
P21580,Q9UHD2,-1
P84022,P26367,-1
Q03164,P31269,1
P49841,O15169,1
Q05513,P49841,-1
P23759,Q03164,1
P09874,Q9UGL1,-1
P41182,P17535,-1
P28482,P17535,1
P28482,Q02447,1
Q16539,P49841,-1
P49841,P33076,1
P07900,P35869,1
P28482,P56693,1
P13631,P28702,1
P28702,P55055,1
P28702,P24468,1
P28702,P10589,1
O00257,O60315,-1
P24468,P10589,1
P33076,P48382,1
P33076,O14593,1
P23759,P15172,1
P27540,P05412,-1
Q01860,P26367,-1
Q01860,O15178,-1
P25208,Q5VTD9,1
P42226,Q9UBK2,1
P10276,P78396,-1
P28482,P48436,1
Q9Y6K1,O00470,-1
Q9Y6K1,P31269,-1
P27540,P24941,-1
P42226,O43474,1
P31269,P04198,1
O75376,O43623,-1
Q96J02,Q15796,1
P46937,Q96J02,-1
Q96J02,P21580,1
P55212,Q9H2X6,1
P55211,P55212,1
P55212,P05549,1
P27361,Q13950,1
Q15797,Q13950,1
P46937,Q13950,-1
P48436,Q13950,-1
Q92993,P40763,-1
O15111,Q9Y618,-1
O15111,O43524,-1
O15111,P98177,-1
O15111,Q9Y261,-1
P36894,Q99717,1
P27361,Q15349,1
Q15349,P18848,1
O15530,Q15349,1
Q15349,P50549,1
P78527,P14859,-1
Q09472,O94761,-1
Q09472,O43524,-1
Q09472,P41182,-1
P49841,O00327,-1
P27361,Q15796,1
P27361,P40763,1
P27361,Q00613,1
P27361,P20749,1
P27361,Q01094,1
P27361,P15923,1
P27361,P42229,1
P27361,Q16665,1
Q05513,P27361,1
P27361,P09874,1
Q05655,P27361,-1
P27361,Q01196,1
P27361,P14921,1
