Node1,Node2,Sign
Q96J02,Q86Y01,-1
Q00535,Q96RR4,-1
Q13950,P46531,-1
O75460,P17861,1
P53350,Q08050,1
P51812,P18848,1
P28482,P51812,1
P04198,P04637,1
P46937,O15350,1
P04637,O15350,1
Q05655,O15350,1
Q99717,Q13485,1
Q9HAU4,Q99717,-1
Q13131,P14859,-1
P27361,P49715,-1
P27361,P49841,-1
P27361,P98177,-1
P27361,O95644,-1
Q15796,Q13485,1
Q15796,Q9NQB0,1
Q13547,Q15796,-1
Q9UQM7,Q15796,-1
Q15796,P84022,1
P37173,Q15796,1
Q15796,P08047,1
P28482,Q15796,1
P29350,P51692,-1
P04637,Q00653,1
Q00653,Q01201,1
P20749,Q00653,1
P29350,P40763,-1
P40763,P42224,1
P42345,P40763,1
P40763,P17275,1
P84022,P40763,1
Q05655,P40763,1
P40763,P17947,1
P28482,P40763,1
Q14289,P40763,1
Q13485,P49711,1
Q13485,P15336,1
P84022,Q13485,1
P37173,Q13485,1
Q9HAU4,Q13485,-1
Q13485,Q14186,1
P42224,P27540,1
P09874,P10244,1
Q16254,P10244,-1
P63104,P46937,-1
P46937,P28347,1
Q13131,P49116,-1
P49715,P17947,1
Q01196,P49715,-1
P20749,P19838,1
P46531,P19838,1
P09874,P19838,1
P49768,O75460,-1
P25490,P46531,-1
P08047,P36956,1
P28482,P36956,1
Q13131,P36956,-1
P29350,Q14289,-1
P29350,Q12809,-1
P84022,Q9NQB0,1
P67775,Q13043,-1
P67775,Q05655,-1
P67775,P28482,-1
Q9H063,P20226,-1
P42345,P04637,1
Q13547,P04637,-1
P68400,P04637,1
Q16665,P04637,1
P22736,P04637,-1
Q05655,P04637,1
P04637,P11473,1
P28482,P04637,1
P19544,P04637,-1
P04637,O14503,1
O75925,P42224,-1
P46531,P48431,1
P53350,O75116,1
O75116,Q15306,1
P42226,P42224,-1
Q05655,P42224,1
P28482,P42224,1
P46531,P42345,1
Q13131,P42345,-1
P63104,P98177,-1
P10276,P17947,-1
Q13535,P53350,-1
P84022,P23771,1
P61244,Q99583,1
P84022,P61244,1
Q13547,O60675,-1
Q13547,P84022,-1
Q13547,Q13351,-1
Q13547,O43623,-1
Q9UQM7,P15036,-1
P68400,P11473,1
P28482,P68400,1
P68400,O95644,1
P68400,P17480,1
P49841,P20749,1
P28482,P15336,1
P46531,Q06710,1
Q96RR4,Q16566,1
P46531,Q16665,1
P84022,P46531,1
P49841,P46531,1
Q86Y01,P46531,1
Q13043,P98177,1
P28482,Q06546,1
P28482,O75030,1
P28482,P42229,1
