Node1,Node2,Sign
O75460,P17861,1
Q15349,P49841,-1
Q09472,Q12778,-1
Q09472,P41182,-1
P27361,P49715,-1
P27361,Q12778,-1
P27361,P10242,-1
P27361,P06401,-1
P27361,Q13362,-1
P27361,P49841,-1
P27361,P41182,-1
P27361,P98177,-1
P15172,P51532,1
P51532,Q8TAQ2,1
P51532,P37275,1
O00716,P10244,1
Q16254,P10244,-1
P61244,P49715,-1
Q01196,P49715,-1
P16220,Q12778,-1
O14920,Q12778,-1
O14920,Q16236,-1
O14920,P98177,-1
P11021,O75460,-1
P06400,P25490,-1
P08047,P36956,1
P28482,P36956,1
P37231,Q13547,-1
P48552,Q13285,-1
P06400,O00716,-1
O14543,Q14186,-1
P06400,Q14209,-1
Q14186,Q14209,1
P29350,Q12809,-1
Q9UBE8,Q9NQB0,-1
P24941,Q12778,-1
P24941,P15172,-1
P24941,P98177,-1
P67775,Q05655,-1
P67775,P28482,-1
P67775,P32519,-1
P06400,P20226,-1
P06401,Q12778,1
Q07869,Q12778,-1
O43474,P11831,-1
P18146,P01344,1
O75081,P17542,-1
Q02078,P15172,1
P11802,P15172,-1
P63165,P11831,-1
P01344,Q15303,1
Q13362,P18846,1
Q01664,Q13547,1
P52333,P42226,-1
P33076,P25208,1
P68400,Q16236,-1
P68400,P08047,-1
P68400,Q13422,-1
P68400,Q01892,-1
Q9UBE8,P46531,-1
P49841,P46531,1
P11802,Q13761,-1
P11802,Q02078,-1
Q16539,Q16236,-1
P28482,Q12772,1
Q05655,Q13887,1
Q16611,O43464,1
Q15303,Q16611,1
P28482,P17535,1
Q16539,P49841,-1
O60716,Q86T24,-1
P49841,P33076,1
P28482,P08047,1
Q01664,P08047,1
P28482,P23769,1
P28482,P56693,1
Q92830,Q9HCE7,-1
P33076,O14593,1
P98177,P15172,1
Q12778,P15172,1
Q01860,Q9Y261,-1
Q15672,P10242,-1
O43623,P11473,-1
Q01860,O95936,-1
Q5VWQ8,P37275,-1
O75626,P33076,-1
O15054,Q15306,1
P46531,Q99081,1
P10276,P78396,-1
P48436,P49716,-1
Q5VWQ8,Q92786,-1
P46531,Q00653,1
Q14186,P10244,1
P01137,Q01664,-1
P42226,O15054,1
P27361,P78347,1
Q09472,O15350,1
P46937,O15350,1
Q9HCE7,Q99717,-1
P27361,Q15349,1
Q15349,P18848,1
Q15349,P16220,1
Q09472,P16104,1
Q13535,P16104,1
P16104,Q92830,1
P27361,Q09472,1
Q09472,Q15797,1
Q09472,P10275,1
Q09472,Q15596,1
Q09472,P06400,1
Q09472,O75030,1
Q09472,Q16665,1
Q09472,P22736,1
Q05655,Q09472,-1
Q16539,Q09472,1
Q09472,Q06413,1
P27361,P16220,1
P27361,P48552,1
P27361,P24941,1
P27361,Q00613,1
P27361,Q15788,1
P27361,P05412,1
P27361,P68400,1
P27361,P20749,1
P27361,Q16665,1
P27361,Q15672,1
Q05655,P27361,-1
P27361,Q07869,1
P27361,Q01196,1
P27361,Q02447,1
P27361,P14921,1
P27361,P19419,1
P27361,P28324,1
P27361,P56270,1
P27361,Q15648,1
Q15788,P51692,1
P52333,P51692,1
P46937,Q15797,1
P28482,Q15797,-1
Q9HCE7,Q15797,-1
P63165,P46937,1
P46937,Q15562,1
P46937,Q15561,1
P46937,P28347,1
Q13362,P16220,-1
Q16539,P16220,1
P49841,P16220,-1
P16220,P21675,1
Q9Y261,P32243,-1
O14920,Q9Y6Q9,1
O14920,Q14653,1
P19838,P05412,1
P20749,P19838,1
P63165,P49711,1
Q9Y6Q9,P10275,1
Q16539,Q9Y6Q9,1
Q12778,P37231,-1
Q15596,P37231,1
P37231,Q13133,1
P23769,P37231,-1
P48552,P10275,1
P63165,P48552,1
P48552,Q13133,1
P49841,P10070,-1
P52333,O14543,1
P67775,Q08999,1
Q08999,Q15329,1
Q08999,Q16254,1
P29350,P52333,1
P29350,O60716,1
P28482,P29350,-1
P24941,Q14207,1
P24941,Q01167,1
P67775,P06400,1
P67775,O43524,1
Q16539,P67775,1
P18146,P10275,-1
P49841,Q00613,-1
Q15303,O75081,-1
Q15788,Q07869,1
Q15788,Q13133,1
P68400,Q9UJU2,1
Q9UJU2,O75030,1
P10275,P05412,1
P05412,P15407,1
P06400,P05412,1
P11473,P05412,-1
P05412,P17947,1
Q16539,P05412,1
P49841,P05412,-1
P05412,P14921,1
Q15596,P10276,1
P10276,P22736,1
Q15596,P10275,1
Q16539,P10275,1
P49841,P10275,-1
P98170,Q9NYJ8,1
O43464,P98170,-1
Q13535,Q03164,1
P41182,Q13535,-1
Q13535,P23025,1
Q14207,Q9BQA5,1
P61244,Q99583,1
Q16539,P61244,1
P61244,P50539,1
Q13547,O60675,-1
Q13547,Q13351,-1
Q13547,O43623,-1
Q03164,Q01201,1
Q16539,P22415,1
P68400,Q15672,1
P68400,O95644,1
P68400,P56270,1
P68400,P17480,1
P68400,P05549,1
P49841,P15407,-1
Q06787,Q13153,1
P27694,Q9BX63,1
P23025,P27694,1
P06400,Q16665,1
P06400,Q02447,1
Q16539,O75030,1
Q13153,P78545,1
Q9UBK2,Q07869,1
Q16539,Q9UBK2,1
Q9UBK2,P11474,1
Q9NYJ8,Q9UBE8,1
P22736,Q16665,1
Q9NYJ8,Q16539,1
Q16539,Q15672,1
Q03164,P31269,1
Q16539,O60381,1
Q03164,Q01196,1
Q05655,P10588,-1
Q16539,O43524,1
P28482,O43524,-1
P23769,P17947,-1
Q01196,Q03014,1
Q16539,P41235,1
Q16539,P19419,1
Q16539,P28324,1
Q16539,Q02080,1
Q16539,Q99626,1
Q16539,Q06413,1
P49841,O95644,-1
P49841,Q14494,-1
P28482,Q01860,-1
P28482,P17480,-1
Q92786,P41235,-1
Q92830,P11802,1
Q15648,Q13133,1
Q9HCE7,Q5VWQ8,-1
P78545,Q9NZC4,1
Q15648,Q92908,1
Q06413,P05412,1
P27540,P05412,-1
P28347,O43524,1
P22415,Q06787,1
P78347,P11021,1
P25490,Q92826,-1
P37275,Q6ISB3,-1
Q15672,P10589,1
Q13761,O14920,-1
P27361,P48436,1
O43524,Q08999,1
P78396,P19544,-1
P27540,P24941,-1
Q02447,Q06787,1
Q15672,O43623,1
Q15349,Q15831,-1
P78527,P14859,-1
P27361,Q15831,-1
P42224,P27540,1
Q15831,P49841,1
P24941,P49918,-1
Q01094,P20226,-1
P42224,P10914,1
Q05655,P42224,1
P42224,P14316,1
P42224,Q00978,1
P01344,P34925,1
Q9NPB6,Q9HCE7,1
O14641,Q9NPB6,1
P34925,O14641,1
Q01094,O15350,1
Q09472,Q01094,1
P27361,P15336,1
P27361,Q01094,1
Q15831,Q13153,-1
P78527,Q14653,1
P42224,Q16665,-1
Q13535,Q01094,1
Q13535,P78527,1
Q9BQA5,P78527,1
O43353,Q9NYJ8,1
O43353,Q16539,1
P78527,P22415,1
P06400,P15336,1
Q16539,P15336,1
Q05655,P78527,-1
Q92786,P01579,-1
P01579,O43353,1
