Node1,Node2,Sign
Q96J02,Q9UM47,-1
P18031,P51692,-1
P18031,P42229,-1
P18031,Q05655,-1
O43318,P19838,1
O43318,Q9UBE8,1
Q12933,O43318,1
O43318,Q16539,1
P04637,P18847,1
P50750,P04637,1
P50750,Q15596,1
P36873,P50750,1
P51812,P01100,1
P28482,P51812,1
P51812,P50549,1
Q99717,Q13485,1
P12643,Q99717,1
Q96EB6,P04637,-1
Q96EB6,Q01201,-1
P78527,P14859,-1
P27361,P49715,-1
P27361,P29350,-1
P27361,Q13153,-1
P27361,P06401,-1
P27361,P49841,-1
P27361,P98177,-1
P27361,Q01860,-1
Q15796,Q15797,1
Q15796,Q13485,1
Q15796,Q9NQB0,1
Q15796,Q9UJU2,1
Q15796,Q02078,1
Q15796,P08047,1
P28482,Q15796,1
Q15796,Q06413,1
P42229,Q9Y6K1,1
P46937,P35222,1
P35222,Q9NQB0,1
P35222,Q9UJU2,1
P68400,P35222,1
Q13153,P35222,1
P11473,P35222,1
P35222,P98177,1
P35222,Q9HCS4,1
P04637,Q00653,1
Q00653,Q01201,1
P20749,Q00653,1
P40763,O43474,1
P40763,P42224,1
Q9UBE8,P40763,1
P40763,P17275,1
Q05655,P40763,1
P40763,P17947,1
Q16539,P40763,1
P40763,P07900,1
P28482,P40763,1
Q15797,Q13485,1
P46937,Q15797,1
P12643,Q15797,1
Q13485,Q9UJU2,1
Q13485,P18846,1
Q13485,Q02078,1
Q13485,P01100,1
Q13485,Q14186,1
P49674,P46937,-1
P46937,Q15562,1
P46937,Q15561,1
P46937,P28347,1
P49715,P17947,1
Q01196,P49715,-1
Q9Y261,P32243,-1
P20749,P19838,1
O14757,P19838,-1
P09874,P19838,1
P19838,P01100,1
Q9UHD2,P19838,1
Q92831,P24941,-1
P25490,P04637,1
P68400,P25490,1
Q16539,Q9Y6Q9,1
P23443,P36956,1
P08047,P36956,1
P28482,P36956,1
Q9Y618,P06401,-1
Q9Y618,Q92731,-1
P49674,Q9UJU2,-1
O75376,Q07869,-1
Q14186,Q14209,1
Q05655,P29350,1
P24941,P04637,1
P24941,Q14207,1
P28482,P24941,1
P24941,Q14186,1
P04637,O43474,1
P68400,P04637,1
Q05655,P04637,1
P04637,P11473,1
Q16539,P04637,1
P28482,P04637,1
P52657,P20226,1
Q16539,Q14765,1
O75925,P42224,-1
P42224,P10914,1
Q05655,P42224,1
Q16539,P42224,1
P42224,P46527,1
P28482,P42224,1
P42224,P14316,1
P68400,Q9UJU2,1
Q9UM47,Q06330,1
Q06330,P52657,1
P26367,O75444,1
P42226,P23771,1
Q14207,Q9BQA5,1
P61244,Q99583,1
Q16539,P61244,1
Q13547,Q01543,1
P68400,Q13547,1
P20749,Q13547,1
Q9UHD2,P42226,1
P68400,Q8TAQ2,1
P68400,P11473,1
P28482,P68400,1
P68400,P56270,1
P68400,P17480,1
P49841,P20749,1
P10914,P46527,1
P10914,Q9BX63,1
P11802,Q13761,-1
P28482,P23443,1
P23443,Q03060,1
Q16539,P15923,1
P28482,P15923,1
P17542,P15923,-1
P28482,Q13153,1
Q13153,P78545,1
Q16539,Q02078,1
P11802,Q02078,-1
P08047,Q9UL17,1
P28482,P42229,1
Q9UHD2,Q04864,1
Q16539,P17275,1
P21580,Q12933,-1
P21580,Q9UHD2,-1
Q16539,O60381,1
P28482,P09874,1
Q05655,Q13887,1
Q07869,P07900,1
P28482,Q07869,1
Q12933,Q5VWQ8,1
Q02447,P08047,1
P28482,Q02447,1
Q16539,P01100,1
Q16539,P98177,1
Q16539,P28482,1
Q16539,P41235,1
Q16539,P19419,1
Q16539,P23769,1
Q16539,Q99626,1
Q16539,Q06413,1
P28482,P01100,1
P19419,P01100,1
O60716,Q86T24,-1
Q5VWQ8,P49841,1
Q01105,P62714,-1
P28482,P08047,1
P07900,P35869,1
P01137,P12643,-1
P28482,P19419,1
P28482,P23769,1
P28482,Q96SB3,1
P28482,P56693,1
Q92786,P41235,-1
P11802,Q06413,-1
P36873,Q13422,1
Q96SB3,P36873,1
P78545,Q9NZC4,1
O00257,O60315,-1
P23771,P11308,1
P16220,O43623,-1
P14859,O43623,1
P28347,P98177,1
Q9UJU2,P49715,1
P27540,P01100,-1
Q5VTD9,Q06413,-1
P04198,Q06413,-1
P31269,Q06413,-1
Q06330,Q00653,1
P17947,Q01543,1
Q01543,P11308,1
O15054,Q15306,1
P17947,O00470,1
P48436,P49716,-1
P01137,P26367,-1
P27540,P24941,-1
P42226,Q07869,1
P42226,O15054,1
P42226,O43474,1
P03372,O43623,-1
O75376,O43623,-1
P46937,Q96J02,-1
Q96J02,P21580,1
Q13588,P18031,1
O15350,P55212,1
P55212,P05549,1
P03372,P17861,1
P11802,Q08050,1
P51812,P05114,-1
Q92831,O15350,1
P24941,O15350,-1
O14757,O15350,1
Q15717,Q96EB6,1
Q96EB6,Q9Y618,1
Q96EB6,O75376,1
Q96EB6,P27695,1
Q96EB6,Q9UBK2,1
