Node1,Node2,Sign,network,network_no_sign
P12931,P67775,-1,naive,naive
P12931,P41235,-1,naive,naive
P06239,Q9BZS1,-1,naive,naive
Q14469,Q86Y01,-1,naive,naive
P15336,P18847,1,naive/stim,naive/stim
O75460,P17861,1,naive,naive
P51812,P18848,1,naive/stim,naive/stim
P51812,P16220,1,naive,naive
P51812,P50549,1,naive,naive
Q9UNE7,Q99717,-1,naive,naive
P27361,Q12778,-1,naive,naive
P27361,P49841,-1,naive,naive
Q15796,Q15797,1,naive,naive
Q15796,P16220,1,naive,naive
Q15796,Q9NQB0,1,naive,naive
P67775,Q15796,1,naive,naive
Q15796,Q9UJU2,1,naive,naive
Q13547,Q15796,-1,naive,naive
P01137,Q15796,1,naive,naive
Q15796,Q16254,1,naive,naive
Q9UNE7,Q15797,-1,naive,naive
P63165,Q13363,1,naive,naive
Q13363,O60315,1,naive,naive
Q13362,P16220,-1,naive,naive
Q03060,P16220,-1,naive,naive
Q14164,Q04864,1,naive,naive
Q86WV6,Q14164,1,naive,naive
P19838,Q04206,1,naive,naive
P63165,P49711,1,naive,naive
P11021,O75460,-1,naive,naive
P29350,Q12809,-1,naive/stim,naive/stim
P24941,Q12778,-1,naive,naive
P24941,Q9H3D4,-1,naive,naive
P67775,Q12778,1,naive,naive
P04637,P23511,-1,naive,naive
O00141,Q12778,-1,naive,naive
P09874,Q12778,-1,naive/stim,naive/stim
P41235,Q12778,1,naive,naive
P68400,O15379,1,naive,naive
O75925,P63165,1,naive,naive
P68400,O75925,1,naive,naive
O75925,O75626,1,naive,naive
P42224,Q04206,-1,naive,naive
Q00613,P63165,-1,naive,naive
P68400,Q9UJU2,1,naive,naive
P23443,Q9H3D4,-1,naive,naive
P10276,P17947,-1,naive,naive
O60674,Q15910,-1,naive,naive
Q06330,P23759,1,naive,naive
Q13547,Q04206,-1,naive,naive
Q03164,Q01201,1,naive,naive
P52292,P10914,1,naive,naive
P68400,Q04206,1,naive,naive
P68400,P11473,1,naive,naive
P68400,Q16666,1,naive,naive
P68400,P05549,1,naive,naive
P84022,Q06710,-1,naive/stim,naive/stim
P11802,Q13761,-1,naive/stim,naive/stim
P23443,P49841,-1,naive,naive
P49841,Q04206,1,naive,naive
P84022,P55317,-1,naive,naive
Q03164,P31269,1,naive/stim,naive/stim
Q05513,P49841,-1,naive,naive
P23759,Q03164,1,naive,naive
P09874,Q9UGL1,-1,naive/stim,naive/stim
P23769,P17947,-1,naive/stim,naive/stim
Q16539,P49841,-1,naive/stim,naive/stim
P13385,P01137,-1,naive,naive
Q16666,Q86WV6,1,naive,naive
P55317,O00712,1,naive,naive
Q01860,Q9Y261,-1,naive/stim,naive/stim
Q13547,P11473,-1,naive,naive
O43623,P11473,-1,naive,naive
Q01860,Q92908,-1,naive/stim,naive/stim
Q92826,P15884,-1,naive/stim,naive/stim
Q01860,O95936,-1,naive/stim,naive/stim
Q01860,O15178,-1,naive/stim,naive/stim
Q5VWQ8,P37275,-1,naive,naive
P23511,Q5VTD9,1,naive,naive
P17947,O00470,1,naive,naive
P12931,P51692,1,naive,naive
P12931,P29350,1,naive,naive
P12931,P42224,1,naive,naive
P12931,P10275,1,naive,naive
P12931,O15530,1,naive,naive
P12931,P42229,1,naive,naive
P12931,O60674,1,naive,naive
P04899,P12931,1,naive,naive
P06239,P29350,1,naive,naive
P06239,P42224,1,naive,naive
P06239,P42229,1,naive,naive
P06239,Q16539,1,naive,naive
P04899,P06239,1,naive,naive
Q14469,Q13950,1,naive,naive
P27361,Q13950,1,naive,naive
O15379,Q13950,-1,naive,naive
Q9UJU2,Q13950,-1,naive,naive
P01137,Q13950,-1,naive,naive
P24941,Q08050,1,naive,naive
P11802,Q08050,1,naive,naive
P51812,O75030,-1,naive/stim,naive/stim
P04198,P04637,1,naive,naive
P51449,O00327,1,naive,naive
P49841,O00327,-1,naive/stim,naive/stim
P27361,P36956,1,naive,naive
P27361,P24941,1,naive,naive
P67775,P27361,-1,naive,naive
P27361,P04637,1,naive,naive
P27361,Q00613,1,naive,naive
P27361,P23443,1,naive,naive
P27361,P15923,1,naive,naive
P27361,P42229,1,naive,naive
Q05513,P27361,1,naive,naive
P27361,P09874,1,naive,naive
P27361,P17535,1,naive,naive
P27361,P08047,1,naive,naive
P27361,P14921,1,naive,naive
P27361,P17542,1,naive,naive
P27361,P19419,1,naive,naive
P27361,P28324,1,naive,naive
P27361,P56270,1,naive,naive
O60674,P51692,1,naive,naive
P04637,Q00653,1,naive,naive
P42224,P27540,1,naive,naive
P27540,Q9H6Z9,1,naive,naive
P27540,P35869,1,naive,naive
O00716,P10244,1,naive,naive
P24941,P10244,1,naive,naive
P09874,P10244,1,naive,naive
Q16254,P10244,-1,naive,naive
Q9H3D4,P46937,-1,naive,naive
P46937,Q15562,1,naive,naive
Q14164,P98177,-1,naive,naive
Q9Y261,P32243,-1,naive/stim,naive/stim
Q92831,P04637,1,naive,naive
Q92831,P10275,1,naive,naive
Q92831,P15172,1,naive/stim,naive/stim
