Node1,Node2,Sign,network,network_no_sign
P06239,P42224,1,naive,naive
P06239,P42229,1,naive,naive
P52333,P06239,-1,naive,naive
P06239,Q16539,1,naive,naive
Q16623,Q00535,1,naive,naive
Q00535,O15516,1,naive,naive
P15336,P18847,1,naive,naive
P51812,Q15831,-1,naive/stim,naive/stim
P51812,O75030,-1,naive,naive
P51812,P49841,-1,naive,naive
Q9Y243,P16220,1,naive,naive
P68400,Q9Y243,1,naive,naive
Q9Y243,P15976,1,naive,naive
Q5VWQ8,Q9Y243,-1,naive,naive
P27361,Q14790,-1,naive,naive
P27361,Q15831,-1,naive,naive
P27361,P06401,-1,naive/stim,naive/stim
P27361,Q13362,-1,naive,naive
P27361,O43524,-1,naive,naive
P27361,P49841,-1,naive/stim,naive/stim
P46937,Q15797,1,naive,naive
Q14790,P55210,1,naive,naive
Q13363,P48552,-1,naive,naive
Q13363,Q9NQB0,-1,naive,naive
P42224,P27540,1,naive,naive
P27540,Q9H6Z9,1,naive,naive
O00716,P10244,1,naive,naive
P31749,P46937,-1,naive,naive
P31751,P46937,-1,naive,naive
P46937,Q15562,1,naive,naive
P46937,P28347,1,naive/stim,naive/stim
Q16539,P16220,1,naive/stim,naive/stim
P16220,P21675,1,naive,naive
P28482,P16220,1,naive,naive
Q03060,P16220,-1,naive,naive
Q16539,Q92831,1,naive,naive
Q92831,P14316,1,naive,naive
Q92831,Q9Y2Y9,1,naive,naive
P68400,P25490,1,naive/stim,naive/stim
P28482,P48552,1,naive,naive
O14757,O00716,1,naive,naive
O75376,Q07869,-1,naive,naive
Q15831,P49841,1,naive,naive
Q15831,Q13131,1,naive/stim,naive/stim
Q15831,P43268,1,naive/stim,naive/stim
P24941,O43524,-1,naive/stim,naive/stim
P67775,O43524,1,naive/stim,naive/stim
Q16539,P67775,1,naive/stim,naive/stim
P67775,P08047,1,naive/stim,naive/stim
P68400,Q16623,1,naive,naive
P04637,P23511,-1,naive,naive
P04637,P14921,-1,naive,naive
Q16539,Q14765,1,naive,naive
P68400,O75925,1,naive/stim,naive/stim
O75925,O75626,1,naive/stim,naive/stim
Q13131,O75925,1,naive,naive
Q8TCW9,P05198,-1,naive,naive
P45984,P42224,1,naive/stim,naive/stim
Q16539,P42224,1,naive/stim,naive/stim
P28482,P42224,1,naive,naive
P42224,P14316,1,naive,naive
P68400,Q9UJU2,1,naive,naive
Q9UJU2,O75030,1,naive,naive
P31749,Q9UBK2,-1,naive,naive
P31749,O43524,-1,naive,naive
P31749,P49841,-1,naive,naive
P31749,P17542,-1,naive,naive
P31749,P23769,-1,naive,naive
Q13362,P18846,1,naive,naive
O75444,P14921,-1,naive,naive
P42226,P23771,1,naive,naive
Q13547,O60675,-1,naive/stim,naive/stim
Q13547,Q16236,-1,naive/stim,naive/stim
P23511,P08047,1,naive,naive
Q9UQM7,Q13362,-1,naive,naive
Q9UQM7,P14921,-1,naive,naive
Q9UQM7,P15036,-1,naive/stim,naive/stim
P52333,P42226,-1,naive/stim,naive/stim
P68400,P45984,1,naive,naive
P45984,P15336,1,naive/stim,naive/stim
P45984,O43524,1,naive/stim,naive/stim
Q9H6Z9,Q99814,1,naive,naive
P31751,O14757,-1,naive,naive
