Node1,Node2,Sign,network,network_no_sign
P04637,P55212,1,naive,naive
P55212,P05549,1,naive/stim,naive/stim
P27361,P51812,1,naive,naive
P51812,P18848,1,naive/stim,naive/stim
P51812,P16220,1,naive,naive
P51812,P01100,1,naive,naive
P51812,P50549,1,naive,naive
Q96EB6,P04637,-1,naive,naive
O15055,O00327,-1,naive,naive
P27361,P16220,1,naive,naive
P27361,P48552,1,naive,naive
P67775,P27361,-1,naive,naive
P27361,P04637,1,naive,naive
P27361,Q15788,1,naive,naive
P27361,P05412,1,naive/stim,naive/stim
P27361,P20749,1,naive,naive
P27361,P42229,1,naive,naive
P27361,Q16665,1,naive,naive
P27361,Q15672,1,naive,naive
P27361,P09874,1,naive,naive
P27361,Q12772,1,naive,naive
P27361,Q02447,1,naive/stim,naive/stim
Q16539,P27361,-1,naive,naive
P27361,P01100,1,naive/stim,naive/stim
P27361,P17542,1,naive/stim,naive/stim
P27361,P19419,1,naive,naive
P46937,P35222,1,naive,naive
P16220,P35222,1,naive,naive
P49840,P35222,-1,naive,naive
P46531,P35222,-1,naive,naive
P35222,O75030,1,naive,naive
Q13153,P35222,1,naive,naive
P35222,O43524,1,naive,naive
P35222,P15884,1,naive,naive
P35222,Q9HCS4,1,naive,naive
P40763,Q16665,-1,naive,naive
Q9Y618,Q13363,1,naive,naive
Q13547,Q13363,1,naive,naive
Q13363,O60315,1,naive,naive
P49674,P46937,-1,naive,naive
P46937,Q15561,1,naive,naive
P46937,P28347,1,naive/stim,naive/stim
P61244,P49715,-1,naive,naive
P49715,P22415,1,naive,naive
Q01196,P49715,-1,naive/stim,naive/stim
P28482,P49715,-1,naive,naive
P16220,P04637,1,naive,naive
Q9UQM7,P16220,1,naive,naive
P19174,P16220,1,naive,naive
Q03060,P16220,-1,naive,naive
P19838,Q9Y618,1,naive,naive
P19838,P05412,1,naive,naive
P20749,P19838,1,naive/stim,naive/stim
P09874,P19838,1,naive/stim,naive/stim
P19838,P01100,1,naive,naive
Q9UHD2,P19838,1,naive,naive
P25490,Q04721,-1,naive,naive
P23246,Q15233,1,naive/stim,naive/stim
P28702,P48552,1,naive,naive
O14757,O00716,1,naive,naive
P49674,P10070,-1,naive,naive
O14543,Q14186,-1,naive,naive
Q14186,Q14209,1,naive,naive
Q15831,P04637,1,naive,naive
Q15831,P49841,1,naive,naive
P28482,Q15831,-1,naive/stim,naive/stim
Q15831,Q13131,1,naive/stim,naive/stim
Q15831,P43268,1,naive/stim,naive/stim
P29350,Q12809,-1,naive/stim,naive/stim
P24941,Q13153,-1,naive,naive
P24941,O43524,-1,naive,naive
P67775,O14757,-1,naive,naive
P67775,Q13153,-1,naive,naive
P67775,Q05655,-1,naive/stim,naive/stim
O14757,P04637,1,naive,naive
P04637,Q99856,1,naive,naive
Q16665,P04637,1,naive/stim,naive/stim
P22736,P04637,-1,naive/stim,naive/stim
