Node1,Node2,Sign,network,network_no_sign
P06239,P42224,1,naive,naive
P52333,P06239,-1,naive,naive
P06239,P48736,1,naive,naive
Q16623,Q00535,1,naive,naive
Q00535,O15516,1,naive,naive
O75460,P17861,1,naive,naive
P50750,Q15596,1,naive,naive
P50750,P06400,1,naive,naive
P36873,P50750,1,naive,naive
O15111,Q12778,-1,naive,naive
O15111,Q01201,-1,naive,naive
O15111,O43524,-1,naive,naive
O15111,P98177,-1,naive,naive
P27361,Q15831,-1,naive,naive
P27361,Q12778,-1,naive/stim,naive/stim
P27361,P10242,-1,naive,naive
P27361,P06401,-1,naive,naive
P27361,O43524,-1,naive,naive
P27361,P49841,-1,naive,naive
P27361,P41182,-1,naive/stim,naive/stim
P27361,P98177,-1,naive,naive
O60674,P51692,1,naive/stim,naive/stim
P45983,Q13363,-1,naive,naive
Q13547,Q13363,1,naive,naive
Q13363,O60315,1,naive,naive
P49674,P46937,-1,naive,naive
P46937,Q15561,1,naive,naive
P46937,P28347,1,naive/stim,naive/stim
P49116,O14920,1,naive,naive
Q15750,P49116,1,naive,naive
P16220,Q12778,-1,naive,naive
P16220,O43524,-1,naive,naive
O14920,Q9Y6Q9,1,naive,naive
O14920,Q14653,1,naive,naive
O15530,O14920,1,naive,naive
O14920,Q04206,1,naive,naive
Q05513,O14920,1,naive,naive
Q9UHD2,O14920,1,naive,naive
P11021,O75460,-1,naive,naive
Q92831,P24941,-1,naive,naive
P23246,Q15233,1,naive,naive
P49674,P10070,-1,naive,naive
P49674,Q9UJU2,-1,naive,naive
P49674,O60716,-1,naive,naive
Q05513,Q15831,1,naive,naive
Q15831,P49841,1,naive/stim,naive/stim
Q15831,Q13131,1,naive/stim,naive/stim
Q15831,P43268,1,naive/stim,naive/stim
O75676,P18846,1,naive,naive
O75676,Q04206,1,naive,naive
P28482,O75676,1,naive,naive
P84022,Q9NQB0,1,naive/stim,naive/stim
P24941,Q15910,1,naive,naive
P24941,Q14207,1,naive/stim,naive/stim
P24941,P17676,1,naive,naive
P28482,P24941,1,naive/stim,naive/stim
P24941,Q14186,1,naive/stim,naive/stim
P68400,Q16623,1,naive,naive
P19338,P27694,1,naive,naive
Q05513,P19338,1,naive,naive
O60674,Q14765,1,naive,naive
Q12778,O43474,1,naive,naive
P06401,Q12778,1,naive,naive
P17676,Q12778,1,naive,naive
P84022,Q12778,1,naive/stim,naive/stim
P09874,Q12778,-1,naive/stim,naive/stim
Q13131,Q12778,1,naive,naive
P49840,O15169,1,naive,naive
Q05513,P49840,1,naive,naive
Q04206,Q14653,1,naive,naive
Q9UHD2,Q14653,1,naive,naive
P68400,O75925,1,naive/stim,naive/stim
O75925,P48436,1,naive,naive
O75925,O75626,1,naive/stim,naive/stim
Q13131,O75925,1,naive/stim,naive/stim
Q05655,P42224,1,naive/stim,naive/stim
O60674,P42224,1,naive/stim,naive/stim
P28482,P42224,1,naive,naive
P42224,P14316,1,naive,naive
P68400,Q9UJU2,1,naive,naive
P84022,Q9UJU2,1,naive,naive
Q15596,P10276,1,naive,naive
P28482,P10276,1,naive/stim,naive/stim
P10276,P48443,1,naive,naive
Q01094,Q15910,1,naive,naive
Q969H0,P10242,1,naive,naive
P10242,P17676,1,naive,naive
Q99466,Q06330,1,naive,naive
O15530,O00141,1,naive,naive
O00141,Q969H0,1,naive,naive
Q14207,Q9BQA5,1,naive/stim,naive/stim
P61244,Q99583,1,naive,naive
P84022,P61244,1,naive/stim,naive/stim
P61244,P50539,1,naive/stim,naive/stim
Q13547,Q01543,1,naive,naive
P68400,Q13547,1,naive,naive
Q01094,Q13547,1,naive,naive
O15530,P23443,1,naive,naive
O15530,Q05513,1,naive,naive
O15530,Q05655,1,naive,naive
P48736,O15530,1,naive,naive
O15169,Q9Y6R4,1,naive,naive
Q9Y6R4,Q8N4C8,1,naive,naive
P45984,P17275,-1,naive,naive
P33076,P25208,1,naive/stim,naive/stim
P68400,Q8TAQ2,1,naive,naive
P68400,Q04206,1,naive/stim,naive/stim
P28482,P68400,1,naive,naive
P68400,P56270,1,naive/stim,naive/stim
P68400,P17480,1,naive,naive
P06400,P15336,1,naive,naive
P28482,P15336,1,naive/stim,naive/stim
Q15759,Q16236,-1,naive,naive
Q15759,Q15750,-1,naive,naive
Q01094,Q04206,1,naive,naive
P28482,Q01094,1,naive/stim,naive/stim
Q14186,Q01094,1,naive/stim,naive/stim
P27694,Q9BX63,1,naive,naive
Q05513,P23443,1,naive,naive
P28482,P23443,1,naive/stim,naive/stim
P23443,Q03060,1,naive/stim,naive/stim
P06400,Q02447,1,naive,naive
Q14186,P06400,1,naive,naive
Q05513,Q04206,1,naive,naive
Q05655,Q04206,1,naive/stim,naive/stim
Q9UHD2,Q04206,1,naive,naive
P49841,Q04206,1,naive/stim,naive/stim
P28482,Q04206,1,naive,naive
Q9UM73,P23246,-1,naive,naive
P49841,P17676,1,naive/stim,naive/stim
P28482,P17676,1,naive,naive
Q9UHD2,Q04864,1,naive,naive
O15169,P84022,1,naive,naive
P84022,Q15329,1,naive/stim,naive/stim
P84022,Q99466,1,naive,naive
P49841,O15169,1,naive,naive
Q05513,P28482,1,naive,naive
P48736,Q05513,1,naive,naive
P09874,Q9UGL1,-1,naive/stim,naive/stim
Q9BZS1,P51449,-1,naive/stim,naive/stim
P28482,Q07869,1,naive,naive
Q13131,O43524,1,naive,naive
P28482,Q02447,1,naive/stim,naive/stim
Q9Y2E6,Q9UHD2,-1,naive,naive
P49841,P33076,1,naive/stim,naive/stim
Q13131,P98177,1,naive,naive
Q5VWQ8,O60674,-1,naive,naive
P28482,P14921,1,naive,naive
P28482,Q9BY84,1,naive,naive
P28482,P19419,1,naive/stim,naive/stim
P28482,Q96SB3,1,naive,naive
P28482,P56693,1,naive/stim,naive/stim
P48443,Q13133,1,naive,naive
Q8N4C8,Q12809,1,naive,naive
P36873,Q13422,1,naive,naive
Q96SB3,P36873,1,naive,naive
P33076,P48382,1,naive,naive
P28347,O43524,1,naive,naive
P28347,P98177,1,naive,naive
Q01860,O95936,-1,naive/stim,naive/stim
Q01860,O15178,-1,naive,naive
Q5VWQ8,P37275,-1,naive,naive
P28482,P48436,1,naive/stim,naive/stim
Q16552,P57682,1,naive/stim,naive/stim
Q5VWQ8,Q92786,-1,naive,naive
Q9Y6K1,O00470,-1,naive,naive
P51449,Q16552,1,naive/stim,naive/stim
P06239,Q9BZS1,-1,naive,naive
Q00535,Q13153,-1,naive,naive
O96017,Q08050,1,naive,naive
O15111,Q00653,1,naive,naive
O15111,P19838,1,naive,naive
O15111,P01106,1,naive,naive
P46531,O15111,1,naive,naive
Q92831,O15350,1,naive/stim,naive/stim
P24941,O15350,-1,naive,naive
Q13131,P14859,-1,naive/stim,naive/stim
P27361,P40763,1,naive,naive
P27361,P16220,1,naive,naive
P27361,P36956,1,naive,naive
P27361,Q15788,1,naive/stim,naive/stim
P27361,P05412,1,naive,naive
P27361,P01106,1,naive,naive
P27361,P45983,1,naive,naive
P27361,P20749,1,naive/stim,naive/stim
P27361,Q06546,1,naive/stim,naive/stim
P27361,P09874,1,naive/stim,naive/stim
P27361,Q12772,1,naive,naive
Q05655,P27361,-1,naive,naive
P27361,P17535,1,naive,naive
P27361,Q01196,1,naive/stim,naive/stim
P27361,P17542,1,naive,naive
P01106,Q9Y6K1,1,naive,naive
P16220,P35222,1,naive,naive
P49840,P35222,-1,naive/stim,naive/stim
P35222,P15172,1,naive,naive
P35222,P01106,1,naive,naive
P45984,P35222,1,naive,naive
P35222,O75030,1,naive/stim,naive/stim
Q13153,P35222,1,naive,naive
P35222,P22736,1,naive/stim,naive/stim
P35222,P36402,1,naive/stim,naive/stim
O15169,P35222,-1,naive,naive
P49841,P35222,-1,naive,naive
P35222,P15884,1,naive/stim,naive/stim
P35222,Q9HCS4,1,naive,naive
P20749,Q00653,1,naive,naive
P40763,P18146,1,naive/stim,naive/stim
Q15788,P40763,1,naive,naive
P45983,P40763,1,naive,naive
P45984,P40763,1,naive,naive
P52333,P40763,1,naive,naive
P40763,P17947,1,naive/stim,naive/stim
Q9UM73,P40763,1,naive,naive
P46531,Q15797,1,naive,naive
P28482,Q15797,-1,naive/stim,naive/stim
O00716,P10244,1,naive,naive
P09874,P10244,1,naive/stim,naive/stim
Q15759,P16220,1,naive,naive
P49841,P16220,-1,naive,naive
P36873,P16220,-1,naive,naive
Q03060,P16220,-1,naive,naive
O14920,P19838,-1,naive,naive
P19838,P05412,1,naive,naive
P20749,P19838,1,naive/stim,naive/stim
Q01094,P19838,-1,naive/stim,naive/stim
P46531,P19838,1,naive,naive
P09874,P19838,1,naive/stim,naive/stim
P63165,P49711,1,naive,naive
Q92831,P15172,1,naive/stim,naive/stim
Q92831,P10914,1,naive/stim,naive/stim
Q92831,P46531,1,naive,naive
P05114,Q92831,1,naive,naive
Q92831,Q9Y2Y9,1,naive,naive
P49841,P36956,-1,naive,naive
Q13131,P36956,-1,naive,naive
P52333,P52630,1,naive,naive
P06400,O00716,-1,naive/stim,naive/stim
P24941,Q08999,-1,naive,naive
Q08999,Q16254,1,naive,naive
Q92997,P49674,1,naive,naive
P06400,Q14209,-1,naive/stim,naive/stim
Q15831,Q13153,-1,naive/stim,naive/stim
O75676,O75030,-1,naive,naive
P24941,P15172,-1,naive,naive
P24941,Q13153,-1,naive,naive
Q01094,P20226,-1,naive/stim,naive/stim
P06400,P20226,-1,naive,naive
P49840,P05412,-1,naive,naive
