Node1,Node2,Sign,network,network_no_sign
P17612,P10070,-1,naive,naive
P17612,P19174,-1,naive,naive
P17612,P05114,-1,naive,naive
P17612,P49841,-1,naive,naive
P17612,Q13131,-1,naive,naive
P17612,P33076,-1,naive,naive
P18031,Q9Y243,-1,naive,naive
P18031,P42229,-1,naive,naive
P18031,Q05655,-1,naive,naive
P18031,O60674,-1,naive,naive
P46531,Q14469,1,naive,naive
Q14469,Q04724,1,naive,naive
O75460,P17861,1,naive,naive
P24941,Q08050,1,naive,naive
Q02750,Q08050,1,naive/stim,naive/stim
P11802,Q08050,1,naive,naive
Q9Y243,O15111,1,naive,naive
O15111,Q00653,1,naive/stim,naive/stim
P49116,O15111,1,naive/stim,naive/stim
P46531,O15111,1,naive,naive
P51617,O15111,1,naive,naive
Q9Y243,P35222,1,naive,naive
Q9Y243,P24941,1,naive,naive
Q9Y243,Q15672,1,naive,naive
P35222,Q9NQB0,1,naive/stim,naive/stim
P49840,P35222,-1,naive,naive
P35222,P15172,1,naive/stim,naive/stim
P45983,P35222,-1,naive/stim,naive/stim
P35222,O75030,1,naive,naive
P35222,P36402,1,naive,naive
P35222,P15884,1,naive,naive
P35222,Q9HCS4,1,naive/stim,naive/stim
P20749,Q00653,1,naive,naive
P40763,P15172,-1,naive,naive
P40763,Q16665,-1,naive,naive
P46531,Q15797,1,naive,naive
Q13363,P48552,-1,naive,naive
Q13363,Q9NQB0,-1,naive,naive
O00716,P10244,1,naive,naive
P24941,P10244,1,naive,naive
Q16254,P10244,-1,naive,naive
P49116,O14920,1,naive/stim,naive/stim
Q9NYJ8,P49116,1,naive,naive
Q9Y261,P32243,-1,naive,naive
O14920,Q14653,1,naive/stim,naive/stim
O14920,Q9H3D4,1,naive/stim,naive/stim
P51617,O14920,1,naive,naive
P63165,P49711,1,naive,naive
Q5VWQ8,O75460,1,naive,naive
Q92831,P15172,1,naive,naive
Q92831,P46531,1,naive,naive
Q92831,P84022,1,naive,naive
P05114,Q92831,1,naive,naive
Q92831,P14316,1,naive,naive
Q92831,P33076,1,naive,naive
P06400,P25490,-1,naive,naive
O75376,P37231,-1,naive,naive
P45983,P37231,-1,naive,naive
P37231,Q13133,1,naive,naive
P63165,P48552,1,naive,naive
P48552,Q13133,1,naive/stim,naive/stim
O60674,P52630,1,naive,naive
P06400,O00716,-1,naive/stim,naive/stim
Q9Y618,O15379,1,naive,naive
P31749,Q9Y618,-1,naive/stim,naive/stim
Q01094,Q14209,1,naive/stim,naive/stim
P06400,Q14209,-1,naive,naive
Q14186,Q14209,1,naive/stim,naive/stim
P98170,P55210,-1,naive,naive
Q01094,P55210,1,naive,naive
P06400,P55210,-1,naive,naive
O75676,P18846,1,naive,naive
Q02750,O75676,1,naive,naive
O75676,P01100,1,naive,naive
O75676,P50549,1,naive,naive
P84022,Q9NQB0,1,naive,naive
P24941,Q14207,1,naive,naive
P24941,P50613,1,naive,naive
P24941,Q14186,1,naive,naive
P06400,P20226,-1,naive,naive
P49840,P46531,-1,naive,naive
P49840,Q92908,-1,naive/stim,naive/stim
P20749,O15379,1,naive,naive
O15379,Q01094,1,naive,naive
P52564,Q16236,-1,naive,naive
P42224,Q16665,-1,naive,naive
P23443,Q9H3D4,-1,naive,naive
Q9H3D4,Q05655,1,naive,naive
P31749,P51617,-1,naive,naive
P31749,P49841,-1,naive,naive
P31749,P17542,-1,naive/stim,naive/stim
P31749,Q5VWQ8,-1,naive,naive
P31749,P23769,-1,naive,naive
P38398,P06401,-1,naive,naive
P45983,P42226,-1,naive,naive
Q13535,Q01094,1,naive,naive
Q13535,Q03164,1,naive,naive
P41182,Q13535,-1,naive,naive
P42226,P23771,1,naive,naive
P84022,P23771,1,naive,naive
Q14207,Q9BQA5,1,naive,naive
P84022,P61244,1,naive,naive
P61244,P50539,1,naive/stim,naive/stim
P19174,Q9UQM7,1,naive,naive
Q14289,Q9Y6R4,1,naive,naive
Q9Y6R4,Q8N4C8,1,naive,naive
O60674,P42226,1,naive,naive
P19174,P42229,1,naive,naive
O60674,P19174,1,naive,naive
P33076,P25208,1,naive/stim,naive/stim
P49841,P20749,1,naive/stim,naive/stim
Q05655,Q02750,1,naive,naive
Q02750,P49841,1,naive,naive
Q02750,P19419,1,naive,naive
P50613,P11802,1,naive,naive
P06400,Q01094,-1,naive,naive
Q14186,Q01094,1,naive/stim,naive/stim
P46531,Q06710,1,naive,naive
Q13761,P46531,-1,naive,naive
P46531,Q16665,1,naive,naive
P84022,P46531,1,naive,naive
P49841,P46531,1,naive,naive
P23443,P49841,-1,naive,naive
P06400,P17947,-1,naive,naive
P06400,P21675,-1,naive,naive
P06400,P17480,-1,naive,naive
O60674,P42229,1,naive,naive
P51617,Q9NYJ8,1,naive,naive
Q03164,P31269,1,naive/stim,naive/stim
Q05655,Q14289,1,naive,naive
Q05655,Q13887,1,naive,naive
P41182,P17535,-1,naive,naive
P19419,P01100,1,naive,naive
Q14289,P49841,1,naive,naive
Q5VWQ8,P49841,1,naive,naive
P49841,P33076,1,naive/stim,naive/stim
Q8N4C8,Q12809,1,naive,naive
P33076,P48382,1,naive/stim,naive/stim
P23771,P11308,1,naive,naive
Q01094,P37231,1,naive,naive
Q15672,P01100,1,naive,naive
P17542,P11308,1,naive,naive
P17947,Q01543,1,naive,naive
Q01543,P11308,1,naive/stim,naive/stim
P25208,Q5VTD9,1,naive/stim,naive/stim
Q13761,O15111,-1,naive,naive
Q13761,O14920,-1,naive,naive
O15054,Q15306,1,naive,naive
P46531,Q99081,1,naive,naive
P17947,O00470,1,naive,naive
Q16254,P37231,-1,naive,naive
P48436,P49716,-1,naive/stim,naive/stim
O14920,Q14469,1,naive,naive
P46531,Q00653,1,naive,naive
P42226,P37231,1,naive,naive
P46531,P37231,1,naive,naive
Q14186,P10244,1,naive,naive
P42226,O15054,1,naive,naive
P42226,O43474,1,naive,naive
P41182,P63165,-1,naive,naive
P00533,P51692,1,naive,naive
P00533,P40763,1,naive/stim,naive/stim
P00533,P42224,1,naive/stim,naive/stim
P17275,P00533,1,naive/stim,naive/stim
P00533,Q13588,1,naive,naive
P17612,P52564,1,naive,naive
P31749,P17612,1,naive/stim,naive/stim
P17612,P48436,1,naive/stim,naive/stim
P17612,P11473,1,naive,naive
P17612,P05549,1,naive,naive
Q13588,P18031,1,naive,naive
O15111,Q01201,-1,naive/stim,naive/stim
O15111,O43524,-1,naive/stim,naive/stim
O15111,Q9Y261,-1,naive,naive
Q9Y243,P46937,-1,naive,naive
Q9Y243,O75376,-1,naive,naive
Q9Y243,Q9UBK2,-1,naive,naive
Q9Y243,P22736,-1,naive,naive
Q9Y243,O43524,-1,naive,naive
Q9Y243,Q16584,-1,naive,naive
Q9Y243,Q9Y261,-1,naive,naive
Q13131,P14859,-1,naive,naive
P49841,O00327,-1,naive/stim,naive/stim
Q15796,Q9UJU2,1,naive/stim,naive/stim
P45983,Q15796,1,naive/stim,naive/stim
Q9UQM7,Q15796,-1,naive,naive
Q15796,Q02078,1,naive,naive
Q15796,P08047,1,naive,naive
Q15796,Q16254,1,naive/stim,naive/stim
Q15796,Q06413,1,naive,naive
P40763,P42224,1,naive/stim,naive/stim
P45983,P40763,1,naive,naive
P17676,P40763,1,naive,naive
Q5VWQ8,P40763,-1,naive,naive
Q13131,Q13363,-1,naive,naive
Q13363,O60315,1,naive,naive
Q9H3D4,P46937,-1,naive/stim,naive/stim
P46937,Q15562,1,naive/stim,naive/stim
P46937,Q15561,1,naive/stim,naive/stim
P23771,P49715,-1,naive/stim,naive/stim
P61244,P49715,-1,naive/stim,naive/stim
Q14164,P42224,1,naive,naive
Q14164,Q04864,1,naive,naive
Q13114,Q14164,1,naive,naive
O14920,O43524,-1,naive/stim,naive/stim
P25490,Q99466,-1,naive,naive
P23246,Q15233,1,naive/stim,naive/stim
P48552,Q13285,-1,naive,naive
O75376,P41182,1,naive/stim,naive/stim
P55210,Q02080,-1,naive,naive
P24941,P06400,-1,naive,naive
P24941,O43524,-1,naive,naive
O43353,Q14765,1,naive,naive
O43474,P11831,-1,naive,naive
Q05655,P49840,-1,naive/stim,naive/stim
O15379,O60675,-1,naive,naive
P52564,P45983,1,naive,naive
Q16584,P52564,1,naive,naive
P45983,P42224,1,naive,naive
P42226,P42224,-1,naive,naive
P42224,P10914,1,naive/stim,naive/stim
P45983,P05412,1,naive,naive
P06400,P05412,1,naive,naive
P49841,P05412,-1,naive,naive
P31749,P38398,1,naive,naive
P31749,P98170,1,naive,naive
P31749,P23443,1,naive,naive
P48736,P31749,1,naive,naive
P63165,P11831,-1,naive,naive
P84022,P38398,-1,naive,naive
Q9BX63,P38398,1,naive,naive
P11802,P38398,-1,naive,naive
Q99466,Q06330,1,naive,naive
O43353,P45983,1,naive,naive
P45983,O43524,1,naive/stim,naive/stim
P45983,P08047,1,naive,naive
P45983,P17544,1,naive,naive
P45983,P41235,1,naive,naive
P98170,O43353,1,naive,naive
Q9UQM7,P15036,-1,naive/stim,naive/stim
O43353,Q13114,1,naive,naive
P10914,Q9BX63,1,naive/stim,naive/stim
P11802,Q13761,-1,naive/stim,naive/stim
P23443,Q03060,1,naive,naive
P06400,P08047,1,naive,naive
P11802,P06400,-1,naive/stim,naive/stim
Q13131,P06400,-1,naive/stim,naive/stim
Q9UBK2,Q07869,1,naive,naive
Q9UBK2,P11474,1,naive,naive
P11802,Q02078,-1,naive/stim,naive/stim
P49841,P23246,-1,naive,naive
P17676,Q16254,1,naive/stim,naive/stim
Q16584,P17676,1,naive,naive
P84022,P55317,-1,naive/stim,naive/stim
Q04724,Q01196,-1,naive,naive
P49841,Q14494,-1,naive/stim,naive/stim
P11802,Q06413,-1,naive/stim,naive/stim
Q13588,P48736,1,naive,naive
Q13131,P41235,-1,naive,naive
P14859,O43623,1,naive,naive
Q06413,P05412,1,naive,naive
Q9UJU2,P49715,1,naive/stim,naive/stim
P42229,Q06413,-1,naive/stim,naive/stim
Q5VTD9,Q06413,-1,naive/stim,naive/stim
P31269,Q06413,-1,naive,naive
Q5VWQ8,P37275,-1,naive,naive
P25116,Q99612,1,naive/stim,naive/stim
Q15672,P25116,-1,naive,naive
P00533,P0DP23,-1,stim,stim
P00533,P08069,-1,stim,stim
P00533,O60716,-1,stim,stim
P17612,P16220,1,stim,stim
P17612,Q8N5S9,1,stim,stim
P17612,Q00613,1,stim,stim
P17612,Q04206,1,stim,stim
P17612,Q12809,1,stim,stim
P31751,P18031,-1,stim,stim
P0DP23,Q8N5S9,1,stim,stim
P0DP23,Q9UQM7,1,stim,stim
O15111,Q12778,-1,stim,stim
Q09472,Q12778,-1,stim,stim
Q09472,O43524,-1,stim,stim
Q15796,Q15797,1,stim,stim
Q15796,P16220,1,stim,stim
Q15796,P84022,1,stim,stim
P23458,P51692,1,stim,stim
P46937,Q15797,1,stim,stim
Q15797,O14640,1,stim,stim
P31749,P27540,1,stim,stim
P27540,P35869,1,stim,stim
P31751,P46937,-1,stim,stim
P46937,P28347,1,stim,stim
P49715,P22415,1,stim,stim
P31749,P16220,1,stim,stim
Q9UQM7,P16220,1,stim,stim
Q13362,P16220,-1,stim,stim
P16220,P84022,1,stim,stim
O14920,Q12778,-1,stim,stim
P25490,Q04721,-1,stim,stim
Q8N5S9,Q13131,1,stim,stim
Q9H2X6,Q9UJU2,-1,stim,stim
P31749,P48552,1,stim,stim
P23458,P52630,1,stim,stim
O14543,Q14765,1,stim,stim
P23458,O14543,1,stim,stim
P45983,Q12778,1,stim,stim
P31751,Q12778,-1,stim,stim
P17676,Q12778,1,stim,stim
P84022,Q12778,1,stim,stim
P09874,Q12778,-1,stim,stim
Q07869,Q12778,-1,stim,stim
Q13131,Q12778,1,stim,stim
P49840,P23246,-1,stim,stim
P42224,Q04206,-1,stim,stim
Q9UJU2,O75030,1,stim,stim
P84022,Q9UJU2,1,stim,stim
P10275,O43524,-1,stim,stim
Q13362,P31749,-1,stim,stim
P31749,P84022,1,stim,stim
P31749,Q05655,1,stim,stim
P31751,Q15910,-1,stim,stim
P31751,P45983,-1,stim,stim
P45983,P42229,1,stim,stim
P45983,P84022,1,stim,stim
Q05655,P45983,1,stim,stim
P45983,P19419,1,stim,stim
Q13547,Q01543,1,stim,stim
P20749,Q13547,1,stim,stim
P31751,P22736,-1,stim,stim
P31751,P84022,-1,stim,stim
P31751,O43524,-1,stim,stim
P31751,P49841,-1,stim,stim
P31751,P12755,-1,stim,stim
P31751,P23769,-1,stim,stim
P49918,P11802,-1,stim,stim
P23458,P42229,1,stim,stim
Q05655,Q04206,1,stim,stim
P49841,Q04206,1,stim,stim
P22736,P24468,1,stim,stim
P49841,P17676,1,stim,stim
O14640,P84022,1,stim,stim
P84022,Q16254,1,stim,stim
P84022,Q04721,1,stim,stim
P09874,Q9UGL1,-1,stim,stim
O14640,P25116,1,stim,stim
P08069,P23458,1,stim,stim
Q13131,O43524,1,stim,stim
Q13131,Q6N021,1,stim,stim
O00257,O60315,-1,stim,stim
P24468,P10589,1,stim,stim
Q6N021,P19544,1,stim,stim
P33076,O14593,1,stim,stim
P28347,O43524,1,stim,stim
P19838,P49711,-1,stim,stim
P15884,P48436,1,stim,stim
Q92826,P15884,-1,stim,stim
P11308,Q15910,1,stim,stim
O75626,P33076,-1,stim,stim
O75376,O43623,-1,stim,stim
P00533,Q02750,1,stim,stim
P00533,Q01094,1,stim,stim
