Node1,Node2,Sign,network,network_no_sign
Q16620,P06241,1,naive,naive
P01127,Q16620,1,naive,naive
P45983,Q96J02,1,naive,naive
Q96J02,P46531,1,naive,naive
P06241,Q00535,1,naive,naive
P06241,P35222,1,naive,naive
P06241,P22681,1,naive,naive
Q00535,P12931,1,naive,naive
P12931,O15111,1,naive,naive
P01127,P12931,1,naive,naive
P12931,P03372,1,naive,naive
P12931,P42224,1,naive,naive
P12931,P22681,1,naive,naive
P12931,O60716,1,naive,naive
P12931,P28482,1,naive,naive
Q00535,O15516,1,naive,naive
Q00535,Q13164,1,naive,naive
O15350,P55212,1,naive,naive
P55212,P05549,1,naive,naive
Q09472,Q13950,1,naive,naive
P06493,Q13950,1,naive,naive
P17676,Q13950,1,naive,naive
P84022,Q13950,-1,naive,naive
Q13950,P12643,1,naive,naive
P03372,P17861,1,naive,naive
P06493,Q08050,1,naive/stim,naive/stim
P49116,O15111,1,naive,naive
P46531,O15111,1,naive,naive
Q09472,O15350,1,naive,naive
Q92831,O15350,1,naive,naive
O15350,Q9H3D4,1,naive,naive
Q01094,O15350,1,naive/stim,naive/stim
P12643,Q99717,1,naive,naive
Q15349,Q15831,-1,naive/stim,naive/stim
Q13131,P14859,-1,naive/stim,naive/stim
P18848,Q09472,-1,naive,naive
Q09472,P35222,1,naive,naive
Q92831,Q09472,1,naive/stim,naive/stim
Q09472,Q15596,1,naive/stim,naive/stim
Q09472,Q01543,1,naive,naive
Q09472,Q01094,1,naive,naive
Q09472,Q16665,1,naive,naive
Q09472,P22736,1,naive,naive
Q09472,P11473,1,naive,naive
P28482,Q09472,1,naive,naive
Q13131,Q09472,-1,naive/stim,naive/stim
Q09472,Q06413,1,naive,naive
P27361,P49715,-1,naive/stim,naive/stim
P27361,Q15831,-1,naive/stim,naive/stim
P27361,P06401,-1,naive,naive
P27361,Q13362,-1,naive/stim,naive/stim
P27361,O43524,-1,naive/stim,naive/stim
P35222,Q9NQB0,1,naive/stim,naive/stim
P35222,P22736,1,naive/stim,naive/stim
P08069,P35222,-1,naive,naive
P35222,O43524,1,naive/stim,naive/stim
P11473,P35222,1,naive,naive
P49841,P35222,-1,naive,naive
P35222,Q9HCS4,1,naive/stim,naive/stim
P18146,P01127,1,naive,naive
P01127,P34925,1,naive,naive
Q13131,P49116,-1,naive/stim,naive/stim
P23771,P49715,-1,naive/stim,naive/stim
P49715,P17947,1,naive/stim,naive/stim
P16220,O43524,-1,naive,naive
Q9Y261,P32243,-1,naive/stim,naive/stim
Q92831,P46531,1,naive,naive
Q8IXJ6,Q92831,-1,naive,naive
Q92831,P14316,1,naive/stim,naive/stim
Q92831,Q06413,1,naive,naive
Q92831,P33076,1,naive,naive
Q92831,Q9Y2Y9,1,naive/stim,naive/stim
P25490,P46531,-1,naive,naive
P03372,Q15596,1,naive,naive
P06401,P03372,1,naive,naive
P28482,P03372,1,naive,naive
P06493,P36956,1,naive/stim,naive/stim
P49841,P36956,-1,naive,naive
P08047,P36956,1,naive/stim,naive/stim
P28482,P36956,1,naive/stim,naive/stim
Q13131,P36956,-1,naive,naive
P23246,Q15233,1,naive/stim,naive/stim
P23458,O14543,1,naive,naive
Q08999,Q15329,1,naive,naive
P06493,Q01094,1,naive/stim,naive/stim
P49841,P06493,-1,naive,naive
P06493,P08047,1,naive/stim,naive/stim
