Node1,Node2,Sign,network,network_no_sign
P17612,P06241,1,naive,naive
P17612,P08151,1,naive,naive
P17612,P52564,1,naive,naive
P17612,Q00613,1,naive,naive
P17612,P11473,1,naive,naive
P17612,Q14978,1,naive,naive
P17612,Q12809,1,naive,naive
P09341,P17612,-1,naive,naive
P17612,P05549,1,naive,naive
Q96J02,Q15796,1,naive,naive
P46937,Q96J02,-1,naive,naive
Q96J02,P21580,1,naive,naive
P06241,P51812,1,naive,naive
Q14164,Q9NQC7,-1,naive,naive
P04637,P18847,1,naive,naive
P68400,P08238,-1,naive/stim,naive/stim
Q02535,P15923,-1,naive,naive
O95999,O15111,1,naive,naive
P51812,P18848,1,naive,naive
P04198,P04637,1,naive,naive
Q9HAU4,Q99717,-1,naive,naive
Q9UQM7,Q15796,-1,naive,naive
P37173,Q15796,1,naive,naive
P01137,Q15796,1,naive,naive
Q15796,Q16254,1,naive,naive
P15172,P51532,1,naive,naive
P51532,P37275,1,naive,naive
P40763,P15172,-1,naive,naive
P40763,Q16665,-1,naive,naive
P46937,O14640,-1,naive,naive
P23771,P49715,-1,naive/stim,naive/stim
P61244,P49715,-1,naive/stim,naive/stim
P49715,P17947,1,naive,naive
Q01196,P49715,-1,naive,naive
P16220,O43524,-1,naive,naive
Q14164,O43524,-1,naive,naive
Q14164,P98177,-1,naive,naive
Q9Y618,P37231,-1,naive,naive
Q9Y618,P06401,-1,naive,naive
P04637,O43474,1,naive,naive
P53779,P04637,1,naive,naive
P04637,Q969H0,1,naive,naive
Q16665,P04637,1,naive,naive
P04637,P11473,1,naive,naive
P01137,P04637,1,naive,naive
P53778,P04637,1,naive,naive
P19544,P04637,-1,naive,naive
P04637,O14503,1,naive,naive
P52564,P53779,1,naive,naive
P52564,P53778,1,naive,naive
P53350,O75116,1,naive,naive
O75116,Q15306,1,naive,naive
O75081,P17542,-1,naive/stim,naive/stim
P15923,P15172,1,naive,naive
P53779,O43524,1,naive,naive
P53779,P17535,1,naive,naive
P53779,P98177,1,naive,naive
P53779,P19419,1,naive,naive
P42574,Q02080,-1,naive,naive
P23771,Q9UL17,-1,naive,naive
Q9UQM7,P14921,-1,naive,naive
Q9UQM7,P15036,-1,naive,naive
O43524,P53350,1,naive,naive
P68400,Q13422,-1,naive,naive
P68400,Q01892,-1,naive,naive
P20749,O95999,-1,naive,naive
Q14145,Q06546,-1,naive/stim,naive/stim
Q15303,P42229,1,naive/stim,naive/stim
P01137,P37173,1,naive,naive
Q9HAU4,P37173,-1,naive,naive
P37173,P62714,1,naive,naive
O14640,P25116,1,naive,naive
O95750,Q15303,1,naive,naive
O60716,Q86T24,-1,naive/stim,naive/stim
Q9UER7,P01137,-1,naive,naive
P15036,P14921,1,naive,naive
Q86Y01,P50553,-1,naive,naive
P53778,P41235,1,naive,naive
O00712,P08651,-1,naive/stim,naive/stim
O43524,P15172,1,naive,naive
P98177,P15172,1,naive/stim,naive/stim
P49715,O15055,1,naive/stim,naive/stim
Q01860,Q92908,-1,naive,naive
P08151,P04198,1,naive,naive
P17542,P11308,1,naive/stim,naive/stim
Q92826,P15884,-1,naive/stim,naive/stim
P11308,Q15910,1,naive,naive
O00712,Q15910,-1,naive/stim,naive/stim
P25116,P15407,1,naive,naive
P53778,P17275,1,naive,naive
P25116,Q99612,1,naive,naive
P17947,O00470,1,naive,naive
P18848,O95750,1,naive,naive
P17612,P19174,-1,naive,naive
P17612,O60716,-1,naive,naive
P17612,P05114,-1,naive,naive
P17612,O95644,-1,naive,naive
P17612,P19544,-1,naive,naive
P17612,P33076,-1,naive,naive
Q96J02,Q86Y01,-1,naive,naive
P06241,Q16236,-1,naive,naive
Q9NQC7,P20749,-1,naive,naive
Q9NQC7,Q12933,-1,naive,naive
P17676,Q13950,1,naive,naive
P01137,Q13950,-1,naive,naive
P08238,Q14145,-1,naive/stim,naive/stim
P18146,Q02535,1,naive,naive
O15111,Q9Y618,-1,naive,naive
O15111,Q9Y261,-1,naive,naive
P51812,Q15831,-1,naive,naive
P51812,O75030,-1,naive,naive
P51812,P05114,-1,naive,naive
P46937,O15350,1,naive/stim,naive/stim
Q92831,O15350,1,naive/stim,naive/stim
P42574,O15350,1,naive,naive
O14757,O15350,1,naive,naive
O15055,P14859,-1,naive/stim,naive/stim
O15055,O00327,-1,naive,naive
