Node1,Node2,Sign,network,network_no_sign
Q00535,P06400,-1,naive,naive
Q00535,Q13153,-1,naive,naive
P15336,P18847,1,naive,naive
P48436,Q13950,-1,naive,naive
P17676,Q13950,1,naive,naive
P01137,Q13950,-1,naive,naive
P27361,P37231,-1,naive/stim,naive/stim
P27361,P29350,-1,naive/stim,naive/stim
P27361,P10242,-1,naive,naive
P27361,Q13153,-1,naive/stim,naive/stim
P27361,O43524,-1,naive,naive
P27361,P49841,-1,naive/stim,naive/stim
P27361,P41182,-1,naive,naive
Q13131,P08151,-1,naive,naive
Q15796,P53355,1,naive,naive
P45983,Q15796,1,naive,naive
Q15796,P84022,1,naive,naive
Q15796,P08047,1,naive,naive
Q15796,Q16254,1,naive,naive
P28482,Q15796,1,naive/stim,naive/stim
Q15796,Q06413,1,naive,naive
O60674,P51692,1,naive,naive
P31749,Q16656,1,naive/stim,naive/stim
P46937,P35222,1,naive,naive
P31749,P35222,1,naive/stim,naive/stim
P35222,O75030,1,naive,naive
Q13153,P35222,1,naive,naive
P35222,P36402,1,naive/stim,naive/stim
P35222,O43524,1,naive/stim,naive/stim
P35222,P15884,1,naive/stim,naive/stim
Q9UQF2,Q06330,-1,naive,naive
P31751,P46937,-1,naive,naive
P46937,Q15561,1,naive/stim,naive/stim
P46937,P28347,1,naive/stim,naive/stim
P16220,O43524,-1,naive,naive
Q14164,O43524,-1,naive,naive
P06493,Q9Y6Q9,-1,naive,naive
P23769,P37231,-1,naive,naive
O60674,P52630,1,naive,naive
O14543,Q14186,-1,naive,naive
P06493,Q15910,-1,naive,naive
P06493,O43524,-1,naive,naive
P06493,P39880,-1,naive,naive
P31751,O75376,-1,naive,naive
O75376,P41182,1,naive/stim,naive/stim
Q15831,Q13153,-1,naive,naive
Q05655,P29350,1,naive,naive
P29350,O60716,1,naive/stim,naive/stim
P84022,P53355,1,naive,naive
P28482,P53355,1,naive,naive
P52657,P20226,1,naive/stim,naive/stim
P31751,P49840,-1,naive,naive
P49840,O75030,1,naive,naive
P45983,Q14653,1,naive,naive
P45983,P10276,1,naive/stim,naive/stim
P31751,P10276,-1,naive,naive
P28482,P10276,1,naive,naive
P31749,Q13153,1,naive,naive
P31749,P84022,1,naive/stim,naive/stim
P31749,Q05655,1,naive,naive
P62714,P31749,-1,naive,naive
O75582,O75030,-1,naive,naive
O75582,P49841,-1,naive,naive
P31751,Q15910,-1,naive,naive
Q01094,Q15910,1,naive,naive
O75444,P10242,-1,naive/stim,naive/stim
P10242,P17676,1,naive,naive
Q06330,P23759,1,naive/stim,naive/stim
Q06330,P52657,1,naive/stim,naive/stim
P31751,P45983,-1,naive,naive
P45983,P15336,1,naive,naive
P45983,P42229,1,naive,naive
P45983,P84022,1,naive/stim,naive/stim
