Node1,Node2,Sign,network,network_no_sign
P12931,P42224,1,naive/stim,naive/stim
P12931,P42229,1,naive/stim,naive/stim
P12931,P37173,1,naive,naive
P12931,O60716,1,naive/stim,naive/stim
P12931,P28482,1,naive,naive
P41240,P12931,-1,naive,naive
P15336,P18847,1,naive/stim,naive/stim
O75460,P17861,1,naive,naive
Q9UNE7,Q99717,-1,naive,naive
Q15349,Q15831,-1,naive,naive
Q15349,O75030,-1,naive,naive
O15055,P14859,-1,naive,naive
P27361,Q15831,-1,naive,naive
P27361,Q12778,-1,naive,naive
P27361,Q92574,-1,naive,naive
P27361,O43524,-1,naive/stim,naive/stim
P27361,O95644,-1,naive,naive
P46937,Q15797,1,naive/stim,naive/stim
Q9UNE7,Q15797,-1,naive,naive
P46531,Q15797,1,naive,naive
Q9H3D4,P46937,-1,naive,naive
P46937,Q15561,1,naive/stim,naive/stim
P46937,P28347,1,naive/stim,naive/stim
O14920,Q12778,-1,naive,naive
O14920,Q92574,-1,naive,naive
O14920,O43524,-1,naive,naive
Q5VWQ8,O75460,1,naive,naive
P25490,P46531,-1,naive,naive
Q969H0,Q9Y6Q9,-1,naive,naive
P49841,P10070,-1,naive/stim,naive/stim
P06493,P68400,1,naive,naive
P49841,P06493,-1,naive,naive
P06493,Q01167,1,naive,naive
Q15831,Q13131,1,naive,naive
Q15831,P43268,1,naive,naive
Q15788,Q86X55,1,naive,naive
Q86X55,Q01201,1,naive,naive
P30279,P06400,1,naive,naive
Q16539,P30279,-1,naive,naive
P49841,P30279,-1,naive,naive
P30279,P11802,1,naive,naive
O00141,Q12778,-1,naive,naive
P84022,Q12778,1,naive,naive
P09874,Q12778,-1,naive,naive
Q13131,Q12778,1,naive,naive
P05129,P49840,-1,naive,naive
P49840,O75030,1,naive,naive
P42226,P42224,-1,naive/stim,naive/stim
P28482,P42224,1,naive,naive
P42224,Q00978,1,naive/stim,naive/stim
P49841,Q00613,-1,naive/stim,naive/stim
Q15788,P42229,1,naive/stim,naive/stim
P28482,Q15788,1,naive,naive
P68400,Q9UJU2,1,naive/stim,naive/stim
P46531,Q9UJU2,1,naive,naive
Q9UJU2,O75030,1,naive,naive
P84022,Q9UJU2,1,naive,naive
P10276,P17947,-1,naive,naive
P10275,O43524,-1,naive,naive
O60674,Q15910,-1,naive,naive
Q15382,Q14318,-1,naive,naive
Q14318,Q12809,1,naive,naive
P46531,Q06330,1,naive,naive
O00141,O43524,-1,naive,naive
O00141,P28482,-1,naive,naive
P26367,O75444,1,naive,naive
P84022,P23771,1,naive,naive
P68400,Q13547,1,naive,naive
P45984,P17275,-1,naive/stim,naive/stim
P68400,Q04206,1,naive/stim,naive/stim
P28482,P68400,1,naive/stim,naive/stim
P68400,O95644,1,naive,naive
P68400,P05549,1,naive,naive
P06400,P15336,1,naive,naive
P28482,P15336,1,naive/stim,naive/stim
P49841,P15407,-1,naive/stim,naive/stim
Q13761,P46531,-1,naive,naive
Q969H0,P46531,-1,naive,naive
P84022,P46531,1,naive,naive
P46531,Q9Y2E6,1,naive,naive
P28482,Q06546,1,naive,naive
P28482,O75030,1,naive,naive
Q969H0,Q5VWQ8,-1,naive,naive
P28482,P42229,1,naive,naive
P42229,Q9BZS1,1,naive,naive
Q15672,Q04206,-1,naive,naive
P28482,Q04206,1,naive/stim,naive/stim
P28482,P22736,1,naive/stim,naive/stim
P22736,P24468,1,naive,naive
P37173,P84022,1,naive,naive
P84022,Q9BZS1,1,naive,naive
O14744,P31269,1,naive,naive
P09874,Q9UGL1,-1,naive/stim,naive/stim
P37173,P62714,1,naive,naive
Q13131,O43524,1,naive,naive
P23769,P17947,-1,naive,naive
Q16539,O95644,-1,naive,naive
O60674,O14744,-1,naive,naive
P49841,O95644,-1,naive/stim,naive/stim
P28482,Q8NHW3,1,naive,naive
P28482,P56693,1,naive/stim,naive/stim
Q86Y01,P50553,-1,naive,naive
Q13131,Q6N021,1,naive,naive
P24468,P10589,1,naive,naive
Q6N021,P19544,1,naive,naive
P23771,P11308,1,naive/stim,naive/stim
Q01860,Q9Y261,-1,naive/stim,naive/stim
P14859,Q5VTD9,1,naive,naive
P28347,O43524,1,naive/stim,naive/stim
P20749,P49711,-1,naive/stim,naive/stim
Q01860,O95936,-1,naive/stim,naive/stim
