Node1,Node2,Sign,network,network_no_sign
Q96J02,Q86Y01,-1,naive/stim,naive/stim
Q96J02,Q99466,-1,naive,naive
O75460,P17861,1,naive/stim,naive/stim
Q92993,P15172,1,naive,naive
Q92993,P78527,1,naive,naive
P49841,Q92993,1,naive,naive
P24941,Q08050,1,naive/stim,naive/stim
O15111,P19838,1,naive/stim,naive/stim
O15111,Q04206,1,naive,naive
Q99759,O15111,1,naive,naive
Q09472,O15350,1,naive,naive
P46937,O15350,1,naive,naive
Q05655,O15350,1,naive,naive
Q15349,P49841,-1,naive,naive
P18848,Q09472,-1,naive,naive
Q09472,P15172,1,naive,naive
Q09472,Q15596,1,naive,naive
Q09472,P10914,1,naive,naive
Q09472,P06400,1,naive,naive
Q09472,Q04206,1,naive,naive
P28482,Q09472,1,naive,naive
Q86Y01,Q09472,1,naive,naive
Q09472,Q00978,1,naive,naive
P27361,P49841,-1,naive,naive
Q15788,P51692,1,naive,naive
P15172,P51532,1,naive,naive
P51532,P37275,1,naive,naive
P40763,P15172,-1,naive,naive
P31946,P46937,-1,naive,naive
P46937,Q15561,1,naive/stim,naive/stim
P46937,P28347,1,naive/stim,naive/stim
P19838,P05412,1,naive,naive
Q01094,P19838,-1,naive,naive
P19838,Q04206,1,naive,naive
Q9UHD2,P19838,1,naive,naive
P49768,O75460,-1,naive/stim,naive/stim
Q92831,P24941,-1,naive,naive
P25490,Q99466,-1,naive,naive
P23246,Q15233,1,naive/stim,naive/stim
P24941,P50613,1,naive,naive
P24941,P17676,1,naive,naive
P28482,P24941,1,naive/stim,naive/stim
P24941,Q14186,1,naive/stim,naive/stim
P24941,Q01167,1,naive/stim,naive/stim
P67775,Q04206,-1,naive,naive
P67775,Q05655,-1,naive,naive
P67775,P28482,-1,naive,naive
P67775,Q99759,-1,naive,naive
Q01094,P20226,-1,naive,naive
P49840,P05412,-1,naive,naive
P49840,P23246,-1,naive,naive
P28482,Q15788,1,naive,naive
P06400,P05412,1,naive,naive
Q04206,P05412,1,naive,naive
P28482,P05412,1,naive,naive
P05129,P07900,-1,naive,naive
P06400,P15172,1,naive,naive
P07900,P15172,1,naive,naive
P11802,P15172,-1,naive/stim,naive/stim
Q99466,Q06330,1,naive,naive
Q06330,P23759,1,naive/stim,naive/stim
P26367,O75444,1,naive/stim,naive/stim
P42226,P23771,1,naive/stim,naive/stim
P68400,P11831,1,naive/stim,naive/stim
Q03164,Q01201,1,naive,naive
Q9UHD2,P42226,1,naive,naive
P45984,P17275,-1,naive/stim,naive/stim
P33076,P25208,1,naive/stim,naive/stim
P78527,P22415,1,naive,naive
P68400,Q04206,1,naive,naive
P28482,P68400,1,naive/stim,naive/stim
P68400,P17480,1,naive,naive
P06400,P15336,1,naive,naive
P28482,P15336,1,naive,naive
P50613,P13631,1,naive,naive
P11802,Q13761,-1,naive/stim,naive/stim
P06400,Q02447,1,naive,naive
P78396,P06400,1,naive,naive
P11802,P06400,-1,naive,naive
Q14186,P06400,1,naive,naive
P28482,Q06546,1,naive/stim,naive/stim
Q9UBK2,P11474,1,naive/stim,naive/stim
Q05655,Q04206,1,naive,naive
Q9UHD2,Q04206,1,naive,naive
P49841,Q04206,1,naive,naive
P28482,Q04206,1,naive,naive
P49841,P17676,1,naive,naive
P17676,P07900,1,naive,naive
P17676,Q16254,1,naive,naive
P28482,P17676,1,naive,naive
Q9UHD2,Q04864,1,naive,naive
P21580,Q9UHD2,-1,naive,naive
P84022,P26367,-1,naive,naive
Q03164,P31269,1,naive/stim,naive/stim
P49841,O15169,1,naive,naive
Q05513,P49841,-1,naive,naive
P23759,Q03164,1,naive/stim,naive/stim
P09874,Q9UGL1,-1,naive/stim,naive/stim
P41182,P17535,-1,naive,naive
P28482,P17535,1,naive/stim,naive/stim
P28482,Q02447,1,naive,naive
Q16539,P49841,-1,naive/stim,naive/stim
P49841,P33076,1,naive,naive
P07900,P35869,1,naive,naive
P28482,P56693,1,naive/stim,naive/stim
P13631,P28702,1,naive,naive
P28702,P55055,1,naive,naive
P28702,P24468,1,naive,naive
P28702,P10589,1,naive,naive
O00257,O60315,-1,naive,naive
P24468,P10589,1,naive,naive
P33076,P48382,1,naive,naive
P33076,O14593,1,naive,naive
P23759,P15172,1,naive/stim,naive/stim
P27540,P05412,-1,naive,naive
Q01860,P26367,-1,naive,naive
Q01860,O15178,-1,naive,naive
P25208,Q5VTD9,1,naive,naive
P42226,Q9UBK2,1,naive/stim,naive/stim
P10276,P78396,-1,naive,naive
P28482,P48436,1,naive,naive
Q9Y6K1,O00470,-1,naive/stim,naive/stim
Q9Y6K1,P31269,-1,naive,naive
P27540,P24941,-1,naive,naive
P42226,O43474,1,naive/stim,naive/stim
P31269,P04198,1,naive/stim,naive/stim
O75376,O43623,-1,naive/stim,naive/stim
Q96J02,Q15796,1,naive,naive
P46937,Q96J02,-1,naive/stim,naive/stim
Q96J02,P21580,1,naive,naive
P55212,Q9H2X6,1,naive,naive
P55211,P55212,1,naive,naive
P55212,P05549,1,naive,naive
P27361,Q13950,1,naive,naive
Q15797,Q13950,1,naive,naive
P46937,Q13950,-1,naive,naive
P48436,Q13950,-1,naive,naive
Q92993,P40763,-1,naive,naive
O15111,Q9Y618,-1,naive,naive
O15111,O43524,-1,naive/stim,naive/stim
O15111,P98177,-1,naive,naive
O15111,Q9Y261,-1,naive/stim,naive/stim
P36894,Q99717,1,naive,naive
P27361,Q15349,1,naive,naive
Q15349,P18848,1,naive,naive
O15530,Q15349,1,naive,naive
Q15349,P50549,1,naive,naive
P78527,P14859,-1,naive,naive
Q09472,O94761,-1,naive,naive
Q09472,O43524,-1,naive,naive
Q09472,P41182,-1,naive,naive
P49841,O00327,-1,naive,naive
P27361,Q15796,1,naive/stim,naive/stim
P27361,P40763,1,naive,naive
P27361,Q00613,1,naive,naive
P27361,P20749,1,naive/stim,naive/stim
P27361,Q01094,1,naive,naive
P27361,P15923,1,naive,naive
P27361,P42229,1,naive,naive
P27361,Q16665,1,naive,naive
Q05513,P27361,1,naive,naive
P27361,P09874,1,naive,naive
Q05655,P27361,-1,naive,naive
P27361,Q01196,1,naive,naive
P27361,P14921,1,naive,naive
P27361,P19419,1,naive,naive
P27361,P28324,1,naive,naive
P27361,P56270,1,naive,naive
Q15796,Q15797,1,naive,naive
Q92831,Q15796,1,naive,naive
Q15796,Q9NQB0,1,naive,naive
P67775,Q15796,1,naive,naive
Q15796,Q9UJU2,1,naive,naive
Q15796,P84022,1,naive,naive
P42229,Q9Y6K1,1,naive/stim,naive/stim
O43561,P42336,1,naive/stim,naive/stim
P20749,Q00653,1,naive,naive
P45984,P40763,1,naive/stim,naive/stim
P27695,P40763,1,naive,naive
P84022,P40763,1,naive,naive
P40763,P17947,1,naive/stim,naive/stim
Q16539,P40763,1,naive/stim,naive/stim
P28482,Q15797,-1,naive,naive
P36894,Q15797,1,naive,naive
P27695,P27540,1,naive,naive
O00716,P10244,1,naive,naive
P09874,P10244,1,naive,naive
Q16254,P10244,-1,naive,naive
Q15750,P49116,1,naive,naive
P23771,P49715,-1,naive/stim,naive/stim
P49715,P17947,1,naive,naive
P28482,P49715,-1,naive/stim,naive/stim
Q92831,P10275,1,naive,naive
Q92831,P84022,1,naive,naive
Q16539,Q92831,1,naive/stim,naive/stim
Q92831,P14316,1,naive,naive
Q92831,Q9Y2Y9,1,naive/stim,naive/stim
P06400,P25490,-1,naive,naive
Q9H2X6,O00257,1,naive,naive
P06400,O00716,-1,naive,naive
Q9Y618,P41182,1,naive,naive
P10275,O75376,1,naive,naive
O75376,P41182,1,naive,naive
Q01094,Q14209,1,naive,naive
P06400,Q14209,-1,naive,naive
Q05513,Q15831,1,naive,naive
P28482,Q15831,-1,naive,naive
Q15831,P43268,1,naive,naive
P05129,P49768,1,naive,naive
P45984,P49768,1,naive/stim,naive/stim
Q05513,P49768,1,naive,naive
P49841,P49768,-1,naive/stim,naive/stim
P84022,Q9NQB0,1,naive,naive
P24941,Q01094,-1,naive,naive
P24941,Q13153,-1,naive,naive
P24941,P84022,-1,naive,naive
P24941,O43524,-1,naive/stim,naive/stim
P24941,P98177,-1,naive,naive
P67775,O43524,1,naive,naive
Q16539,P67775,1,naive/stim,naive/stim
P67775,P98177,1,naive/stim,naive/stim
P19338,P27694,1,naive,naive
Q05513,P19338,1,naive,naive
P49841,P30279,-1,naive,naive
P30279,P11802,1,naive/stim,naive/stim
Q16539,Q14765,1,naive,naive
P49840,O75030,1,naive/stim,naive/stim
Q05513,P49840,1,naive,naive
Q05655,P49840,-1,naive,naive
O95786,Q14653,1,naive,naive
P49841,Q00613,-1,naive/stim,naive/stim
Q9UJU2,O75030,1,naive/stim,naive/stim
P84022,Q9UJU2,1,naive,naive
P05129,P10276,1,naive,naive
P10276,P22736,1,naive,naive
P50613,P10275,-1,naive,naive
Q04206,P10275,-1,naive,naive
Q16539,P10275,1,naive,naive
P49841,P10275,-1,naive,naive
P10275,Q13285,1,naive,naive
Q16512,P10275,1,naive,naive
O15530,P05129,1,naive,naive
O75444,P10242,-1,naive,naive
P28482,P10242,-1,naive,naive
O75444,P14921,-1,naive,naive
P68400,P61244,-1,naive,naive
P61244,Q99583,1,naive,naive
P84022,P61244,1,naive,naive
Q16539,P61244,1,naive/stim,naive/stim
O94761,P27695,1,naive,naive
O15530,Q13153,1,naive,naive
O15530,Q05513,1,naive,naive
P42336,O15530,1,naive,naive
O15530,Q16512,1,naive,naive
Q05655,Q01543,-1,naive,naive
P45984,P84022,1,naive,naive
Q05513,P45984,1,naive,naive
P45984,O43524,1,naive,naive
P45984,P98177,1,naive/stim,naive/stim
Q15750,P45984,1,naive,naive
P45984,P19419,1,naive/stim,naive/stim
P68400,Q08945,-1,naive,naive
P68400,Q16236,-1,naive,naive
P68400,O95786,-1,naive,naive
P68400,Q13133,-1,naive,naive
P68400,Q01892,-1,naive,naive
P28482,P55211,-1,naive,naive
P50613,Q01094,-1,naive,naive
P27695,P15407,1,naive,naive
P49841,P15407,-1,naive/stim,naive/stim
P06400,Q01094,-1,naive,naive
P09874,Q01094,1,naive,naive
P27694,Q9BX63,1,naive,naive
P06400,P17947,-1,naive,naive
P06400,P21675,-1,naive,naive
Q16539,P15923,1,naive,naive
Q16539,O75030,1,naive/stim,naive/stim
Q13153,P78545,1,naive/stim,naive/stim
Q9UBK2,O43524,-1,naive/stim,naive/stim
P22736,Q16665,1,naive,naive
P09874,Q16665,1,naive/stim,naive/stim
P49841,Q16236,-1,naive/stim,naive/stim
Q16539,P84022,1,naive,naive
P28482,P84022,-1,naive,naive
O15169,P36894,-1,naive,naive
Q05513,O95644,1,naive,naive
Q05655,P31946,-1,naive,naive
Q05655,P10588,-1,naive,naive
Q16539,O43524,1,naive,naive
P28482,O43524,-1,naive/stim,naive/stim
Q16539,P98177,1,naive/stim,naive/stim
Q16512,Q16539,1,naive,naive
Q16539,P41235,1,naive/stim,naive/stim
Q16539,P19419,1,naive/stim,naive/stim
Q16539,P23769,1,naive/stim,naive/stim
Q16539,P28324,1,naive,naive
Q16539,Q02080,1,naive/stim,naive/stim
Q16539,Q99626,1,naive/stim,naive/stim
P49841,Q13887,-1,naive/stim,naive/stim
P49841,O95644,-1,naive/stim,naive/stim
P49841,Q14494,-1,naive/stim,naive/stim
P28482,P98177,-1,naive,naive
P28482,Q01860,-1,naive,naive
P36894,Q15750,1,naive,naive
Q86Y01,P50553,-1,naive/stim,naive/stim
P78545,Q9NZC4,1,naive/stim,naive/stim
P19838,P49711,-1,naive/stim,naive/stim
Q9UJU2,P49715,1,naive,naive
P43268,Q01860,1,naive,naive
Q01860,P48431,1,naive,naive
P37275,Q6ISB3,-1,naive,naive
P17947,Q01543,1,naive,naive
Q01543,P11308,1,naive,naive
P48436,P49716,-1,naive/stim,naive/stim
P19544,Q9Y6K1,1,naive,naive
P78396,P19544,-1,naive/stim,naive/stim
Q09472,Q92585,1,naive,naive
P49674,P46937,-1,naive,naive
P49674,P10070,-1,naive,naive
Q92585,Q06330,1,naive,naive
