Node1,Node2,Sign,network,network_no_sign
P12931,P67775,-1,naive,naive
P12931,P41235,-1,naive,naive
P15336,P18847,1,naive,naive
O75460,P17861,1,naive,naive
P49841,Q92993,1,naive,naive
Q92993,Q9BZS1,1,naive,naive
P27361,P29350,-1,naive/stim,naive/stim
P27361,Q12778,-1,naive,naive
P27361,P10242,-1,naive/stim,naive/stim
P27361,P06401,-1,naive/stim,naive/stim
P27361,O43524,-1,naive,naive
P27361,P49841,-1,naive/stim,naive/stim
P27361,O95644,-1,naive,naive
Q00653,Q01201,1,naive,naive
P20749,Q00653,1,naive,naive
P40763,O75626,1,naive,naive
P40763,P17275,1,naive,naive
Q13363,O60315,1,naive,naive
Q9UQM7,P16220,1,naive,naive
P16220,P21675,1,naive/stim,naive/stim
Q03060,P16220,-1,naive,naive
Q5VWQ8,O75460,1,naive,naive
Q92831,Q06330,1,naive/stim,naive/stim
P05114,Q92831,1,naive,naive
Q92831,P14316,1,naive/stim,naive/stim
P03372,Q12778,-1,naive/stim,naive/stim
P29350,O60716,1,naive,naive
P24941,Q12778,-1,naive,naive
P24941,O43524,-1,naive,naive
P67775,Q12778,1,naive,naive
P67775,P56524,1,naive,naive
P67775,Q9UQM7,1,naive,naive
P67775,O43524,1,naive,naive
P67775,P08047,1,naive,naive
P06401,Q12778,1,naive,naive
P09874,Q12778,-1,naive,naive
P41235,Q12778,1,naive,naive
O43474,P11831,-1,naive,naive
P42224,Q04206,-1,naive,naive
Q04206,P56524,1,naive,naive
P08047,P56524,1,naive,naive
P10242,P23771,1,naive/stim,naive/stim
P60953,P49841,-1,naive,naive
P68400,P11831,1,naive/stim,naive/stim
P68400,Q8TAQ2,1,naive,naive
P68400,Q04206,1,naive,naive
P68400,P11473,1,naive,naive
P68400,O95644,1,naive,naive
P49841,P20749,1,naive/stim,naive/stim
Q9UBK2,O43524,-1,naive,naive
P49841,Q04206,1,naive,naive
Q04206,P08047,1,naive,naive
P09874,Q9UGL1,-1,naive/stim,naive/stim
Q16539,P49841,-1,naive,naive
Q16539,O95644,-1,naive,naive
Q5VWQ8,P49841,1,naive,naive
P51452,P28482,-1,naive,naive
Q92786,P41235,-1,naive,naive
O43623,P11473,-1,naive/stim,naive/stim
Q01860,Q92908,-1,naive/stim,naive/stim
P40763,Q9UJQ4,1,naive,naive
P40763,P01137,1,naive,naive
Q01860,Q99626,-1,naive,naive
Q9UJQ4,P37275,1,naive,naive
Q06330,Q00653,1,naive,naive
Q9Y6K1,O00470,-1,naive/stim,naive/stim
P12931,P51692,1,naive,naive
P12931,P03372,1,naive,naive
P12931,P42224,1,naive,naive
P12931,P60953,1,naive,naive
P29323,P12931,1,naive,naive
P12931,P42229,1,naive,naive
P27361,Q13950,1,naive,naive
Q15797,Q13950,1,naive,naive
P56524,Q13950,-1,naive,naive
P01137,Q13950,-1,naive,naive
P24941,Q08050,1,naive,naive
Q99717,Q13485,1,naive,naive
P12757,Q99717,-1,naive,naive
P51449,O00327,1,naive,naive
P49841,O00327,-1,naive,naive
P27361,P03372,1,naive,naive
P27361,P36956,1,naive,naive
P27361,P24941,1,naive/stim,naive/stim
P67775,P27361,-1,naive,naive
P27361,P15923,1,naive/stim,naive/stim
P27361,Q06546,1,naive/stim,naive/stim
P27361,P42229,1,naive/stim,naive/stim
P27361,P09874,1,naive/stim,naive/stim
P27361,Q01196,1,naive,naive
P27361,P14921,1,naive,naive
P27361,P17542,1,naive,naive
P27361,P28324,1,naive/stim,naive/stim
P27361,P56270,1,naive/stim,naive/stim
P10070,P08151,1,naive/stim,naive/stim
P42229,Q9Y6K1,1,naive,naive
P29350,P51692,-1,naive,naive
P23458,P51692,1,naive,naive
P40763,P15172,-1,naive,naive
Q15797,Q13485,1,naive,naive
P46937,Q15797,1,naive/stim,naive/stim
P12757,Q15797,-1,naive,naive
Q13485,P49711,1,naive,naive
Q13485,P18846,1,naive,naive
Q13485,Q02078,1,naive,naive
P12757,Q13485,-1,naive,naive
Q13485,Q14186,1,naive,naive
P42224,P27540,1,naive,naive
P27540,Q9H6Z9,1,naive/stim,naive/stim
P27540,P35869,1,naive/stim,naive/stim
O00716,P10244,1,naive,naive
P24941,P10244,1,naive/stim,naive/stim
P09874,P10244,1,naive/stim,naive/stim
Q16254,P10244,-1,naive,naive
P46937,Q15562,1,naive,naive
P46937,P28347,1,naive/stim,naive/stim
P23771,P49715,-1,naive,naive
P49715,P22415,1,naive/stim,naive/stim
P49715,P17947,1,naive,naive
Q92831,P24941,-1,naive/stim,naive/stim
Q16539,Q9Y6Q9,1,naive/stim,naive/stim
P24941,P03372,1,naive,naive
Q9UBK2,P03372,1,naive,naive
Q16539,P03372,1,naive/stim,naive/stim
P35869,P03372,1,naive/stim,naive/stim
P03372,P55317,1,naive/stim,naive/stim
P49841,P36956,-1,naive,naive
P49841,P10070,-1,naive/stim,naive/stim
Q15831,P43268,1,naive/stim,naive/stim
P29350,P23458,-1,naive,naive
P29350,Q12809,-1,naive/stim,naive/stim
