Node1,Node2,Sign,network,network_no_sign
P06241,Q00535,1,naive,naive
P06241,P35222,1,naive,naive
P29350,P06241,-1,naive,naive
P06241,Q05655,1,naive,naive
Q00535,O15516,1,naive,naive
Q14164,Q9NQC7,-1,naive,naive
O15350,P55212,1,naive,naive
P55212,P05549,1,naive,naive
P03372,P17861,1,naive,naive
Q9Y243,O15111,1,naive,naive
O15111,Q00653,1,naive,naive
O15111,P19838,1,naive,naive
O15111,Q9Y6Q9,1,naive/stim,naive/stim
P46531,O15111,1,naive,naive
Q9Y243,P35222,1,naive,naive
Q9Y243,P16220,1,naive,naive
Q9Y243,P03372,1,naive,naive
P67775,Q9Y243,-1,naive,naive
Q5VWQ8,Q9Y243,-1,naive,naive
Q92831,O15350,1,naive,naive
P24941,O15350,-1,naive/stim,naive/stim
Q05655,O15350,1,naive,naive
Q99717,Q13485,1,naive,naive
Q9HAU4,Q99717,-1,naive,naive
Q13131,P14859,-1,naive,naive
P27361,Q15796,1,naive,naive
P27361,P16220,1,naive,naive
P27361,P03372,1,naive,naive
P27361,P36956,1,naive,naive
P67775,P27361,-1,naive,naive
P27361,P15336,1,naive,naive
P27361,Q06546,1,naive,naive
P27361,P17676,1,naive/stim,naive/stim
P27361,Q12772,1,naive,naive
P27361,Q07869,1,naive,naive
P27361,Q02447,1,naive,naive
Q16539,P27361,-1,naive,naive
P27361,P17542,1,naive/stim,naive/stim
P27361,P28324,1,naive/stim,naive/stim
P27361,P56270,1,naive,naive
Q15796,Q15797,1,naive,naive
Q15796,Q13485,1,naive,naive
Q15796,P16220,1,naive,naive
Q92831,Q15796,1,naive,naive
Q9UQM7,Q15796,-1,naive,naive
P01137,Q15796,1,naive,naive
Q15796,Q06413,1,naive,naive
P16220,P35222,1,naive,naive
P35222,O75030,1,naive,naive
Q13153,P35222,1,naive,naive
P35222,P22736,1,naive/stim,naive/stim
P35222,P36402,1,naive/stim,naive/stim
P35222,O43524,1,naive,naive
P35222,P98177,1,naive,naive
P35222,P15884,1,naive,naive
Q99626,P35222,-1,naive,naive
Q9UQF2,Q06330,-1,naive,naive
Q9UQF2,P46531,-1,naive,naive
Q00653,Q01201,1,naive,naive
Q15797,Q13485,1,naive,naive
P46531,Q15797,1,naive,naive
P28482,Q15797,-1,naive/stim,naive/stim
Q9HAU4,Q15797,-1,naive,naive
P29475,Q13363,1,naive,naive
Q13131,Q13363,-1,naive,naive
Q13485,P16220,1,naive,naive
Q13485,P49711,1,naive,naive
Q13485,P15336,1,naive,naive
Q13485,Q15329,1,naive,naive
Q9UER7,Q13485,-1,naive,naive
Q9HAU4,Q13485,-1,naive,naive
Q13485,Q14186,1,naive,naive
P10599,P27540,1,naive,naive
P27540,Q9H6Z9,1,naive/stim,naive/stim
P27540,P35869,1,naive/stim,naive/stim
P23771,P49715,-1,naive/stim,naive/stim
P61244,P49715,-1,naive/stim,naive/stim
P49715,P22415,1,naive/stim,naive/stim
P49715,P17947,1,naive/stim,naive/stim
Q01196,P49715,-1,naive,naive
P28482,P49715,-1,naive,naive
P16220,P21675,1,naive/stim,naive/stim
Q14164,O43524,-1,naive,naive
Q14164,P98177,-1,naive/stim,naive/stim
