Node1,Node2,Sign,network,network_no_sign
Q14469,Q86Y01,-1,naive,naive
O75460,P17861,1,naive,naive
P51812,P49840,-1,naive,naive
P51812,O75030,-1,naive/stim,naive/stim
Q09472,P41182,-1,naive,naive
P49841,O00327,-1,naive/stim,naive/stim
P27361,P10275,-1,naive/stim,naive/stim
P27361,Q13153,-1,naive/stim,naive/stim
P27361,P06401,-1,naive,naive
P27361,P41182,-1,naive,naive
P27361,P98177,-1,naive,naive
P27361,O95644,-1,naive,naive
P67775,Q15796,1,naive,naive
Q15796,P84022,1,naive,naive
P28482,Q15796,1,naive/stim,naive/stim
P35222,P48431,-1,naive/stim,naive/stim
P40763,P15172,-1,naive,naive
Q9H3D4,P46937,-1,naive,naive
P46937,Q15562,1,naive/stim,naive/stim
P46937,Q15561,1,naive,naive
P46937,P28347,1,naive/stim,naive/stim
P49116,P10275,-1,naive,naive
Q9Y261,P32243,-1,naive,naive
P11021,O75460,-1,naive,naive
P48552,P10275,1,naive,naive
P28482,P48552,1,naive,naive
P48552,Q13133,1,naive,naive
P06400,O00716,-1,naive,naive
Q06124,P42224,-1,naive/stim,naive/stim
Q06124,O60674,-1,naive,naive
Q06124,P48736,-1,naive,naive
Q9Y618,P06401,-1,naive,naive
Q9Y618,Q92731,-1,naive,naive
P06493,P10275,1,naive/stim,naive/stim
P06493,P68400,1,naive/stim,naive/stim
P49841,P06493,-1,naive,naive
P10275,O75376,1,naive,naive
O75376,P41182,1,naive,naive
P06400,P55210,-1,naive,naive
P11021,P55210,-1,naive,naive
P29350,P43405,-1,naive,naive
P67775,Q9UQM7,1,naive,naive
P67775,P98177,1,naive,naive
O60674,P67775,1,naive,naive
O60674,Q14765,1,naive,naive
P49840,O75030,1,naive,naive
Q05513,P49840,1,naive,naive
P18146,P10275,-1,naive,naive
P42226,P42224,-1,naive/stim,naive/stim
P42224,P10914,1,naive,naive
O60674,P42224,1,naive,naive
P28482,P42224,1,naive/stim,naive/stim
P42224,P14316,1,naive/stim,naive/stim
P49841,Q00613,-1,naive,naive
Q15910,P10275,1,naive/stim,naive/stim
P49841,P10275,-1,naive,naive
Q5VWQ8,P10275,-1,naive,naive
P55317,P10275,-1,naive,naive
P45983,P22736,-1,naive,naive
O15530,O00141,1,naive,naive
O00141,Q969H0,1,naive,naive
P23771,Q9UL17,-1,naive,naive
P84022,P61244,1,naive,naive
P68400,Q13547,1,naive/stim,naive/stim
O15530,Q13153,1,naive,naive
O15530,Q05513,1,naive,naive
P48736,O15530,1,naive,naive
Q05513,Q9UNE7,1,naive,naive
P45984,P17275,-1,naive,naive
P68400,P11473,1,naive,naive
P28482,P68400,1,naive/stim,naive/stim
P68400,O95644,1,naive,naive
P68400,P56270,1,naive,naive
P49841,P15407,-1,naive,naive
P49841,Q96RR4,-1,naive,naive
Q96RR4,Q13131,1,naive,naive
Q96RR4,Q16566,1,naive,naive
P06400,P21675,-1,naive,naive
P28482,O75030,1,naive,naive
P28482,Q13153,1,naive/stim,naive/stim
Q13153,P78545,1,naive/stim,naive/stim
P28482,P22736,1,naive/stim,naive/stim
P22736,P24468,1,naive,naive
P28482,P17676,1,naive,naive
P84022,Q15329,1,naive/stim,naive/stim
P84022,Q9BZS1,1,naive,naive
Q05513,P28482,1,naive,naive
P48736,Q05513,1,naive,naive
Q05513,O95644,1,naive,naive
P09874,Q9UGL1,-1,naive/stim,naive/stim
P28482,Q02447,1,naive/stim,naive/stim
P28482,P01100,1,naive,naive
P28324,P01100,1,naive,naive
O60716,Q86T24,-1,naive,naive
P49841,O95644,-1,naive,naive
P49841,Q14494,-1,naive,naive
Q9UGL1,O00257,1,naive,naive
Q13131,P98177,1,naive,naive
Q5VWQ8,O60674,-1,naive,naive
P28482,Q9BY84,1,naive,naive
P28482,P23769,1,naive/stim,naive/stim
P28482,P28324,1,naive,naive
P28482,P56693,1,naive/stim,naive/stim
P78545,Q9NZC4,1,naive,naive
P43405,Q13422,1,naive,naive
P24468,P10589,1,naive,naive
Q16566,Q03060,1,naive/stim,naive/stim
P33076,P48382,1,naive/stim,naive/stim
O00712,P08651,-1,naive,naive
P98177,P15172,1,naive,naive
O43623,P11473,-1,naive,naive
P28347,P98177,1,naive,naive
Q01860,Q92908,-1,naive/stim,naive/stim
Q01860,O15178,-1,naive/stim,naive/stim
Q5VWQ8,P37275,-1,naive,naive
O00712,Q15910,-1,naive,naive
O75626,P33076,-1,naive,naive
P28482,P48436,1,naive/stim,naive/stim
Q9Y6K1,O00470,-1,naive/stim,naive/stim
Q92826,P10275,-1,naive/stim,naive/stim
Q06330,Q14469,1,naive,naive
P15336,P18847,1,naive,naive
P27361,P51812,1,naive,naive
P51812,P18848,1,naive/stim,naive/stim
P51812,P11831,1,naive,naive
P51812,P50549,1,naive,naive
P27361,P78347,1,naive,naive
Q99717,Q13485,1,naive,naive
Q9UNE7,Q99717,-1,naive,naive
Q13131,P14859,-1,naive,naive
P27361,Q09472,1,naive/stim,naive/stim
Q09472,P35222,1,naive/stim,naive/stim
Q09472,P40763,1,naive,naive
Q09472,P25490,1,naive/stim,naive/stim
Q09472,Q15596,1,naive/stim,naive/stim
Q09472,P06400,1,naive,naive
Q09472,Q02078,1,naive,naive
Q09472,P42229,1,naive/stim,naive/stim
Q09472,Q16665,1,naive,naive
Q09472,P09874,1,naive/stim,naive/stim
Q13131,Q09472,-1,naive,naive
Q09472,Q00978,1,naive/stim,naive/stim
P27361,P40763,1,naive,naive
P67775,P27361,-1,naive,naive
P27361,Q15788,1,naive,naive
P27361,P45983,1,naive,naive
P27361,P15336,1,naive,naive
P27361,P15923,1,naive,naive
P27361,Q06546,1,naive,naive
P27361,P42229,1,naive/stim,naive/stim
P27361,Q16665,1,naive,naive
P27361,Q15672,1,naive,naive
P27361,P09874,1,naive/stim,naive/stim
P27361,P17535,1,naive,naive
P27361,Q01196,1,naive/stim,naive/stim
P27361,P08047,1,naive/stim,naive/stim
P27361,P17542,1,naive,naive
P27361,P19419,1,naive,naive
P42229,Q9Y6K1,1,naive/stim,naive/stim
Q15788,P51692,1,naive,naive
P35222,Q9NQB0,1,naive,naive
P49840,P35222,-1,naive,naive
P45984,P35222,1,naive,naive
P35222,P36402,1,naive/stim,naive/stim
P35222,O43524,1,naive/stim,naive/stim
Q00653,Q13114,1,naive,naive
P40763,O43474,1,naive,naive
P40763,P18146,1,naive,naive
Q15788,P40763,1,naive,naive
P45983,P40763,1,naive,naive
P45984,P40763,1,naive,naive
P40763,O75626,1,naive,naive
P40763,Q15672,1,naive,naive
P40763,P17947,1,naive,naive
P40763,P07900,1,naive,naive
Q13485,P18846,1,naive,naive
Q13485,P15336,1,naive,naive
Q13485,Q02078,1,naive,naive
Q13131,P49116,-1,naive/stim,naive/stim
P61244,P49715,-1,naive/stim,naive/stim
P49715,P22415,1,naive/stim,naive/stim
P49715,P17947,1,naive/stim,naive/stim
P28482,P49715,-1,naive/stim,naive/stim
P19838,Q9Y618,1,naive/stim,naive/stim
P09874,P19838,1,naive/stim,naive/stim
Q9UHD2,P19838,1,naive,naive
P06493,Q9Y6Q9,-1,naive,naive
Q969H0,Q9Y6Q9,-1,naive,naive
P23246,Q15233,1,naive,naive
P48552,Q13285,-1,naive,naive
Q06330,Q9Y618,1,naive/stim,naive/stim
Q9UQM7,Q9Y618,-1,naive,naive
P06493,O43524,-1,naive/stim,naive/stim
P06493,P39880,-1,naive/stim,naive/stim
P55210,P09874,-1,naive,naive
P55210,Q02080,-1,naive,naive
P29350,O60716,1,naive,naive
P28482,P29350,-1,naive,naive
P67775,P32519,-1,naive,naive
P52657,P20226,1,naive,naive
