Node1,Node2,Sign,network,network_no_sign
Q96J02,Q86Y01,-1,naive,naive
Q05397,P63000,1,naive,naive
P63000,Q05655,1,naive,naive
P63000,P28482,1,naive,naive
O75460,P17861,1,naive,naive
O96017,Q08050,1,naive,naive
Q15349,Q15831,-1,naive,naive
Q15349,O75030,-1,naive/stim,naive/stim
Q15349,P49841,-1,naive,naive
P78527,P14859,-1,naive,naive
P27361,Q15831,-1,naive,naive
P27361,Q12778,-1,naive,naive
P27361,P49841,-1,naive,naive
P27361,P41182,-1,naive,naive
P27361,O95644,-1,naive,naive
P46937,P35222,1,naive,naive
P49768,P35222,-1,naive,naive
P35222,Q9NQB0,1,naive,naive
P35222,Q12778,1,naive,naive
P35222,P15172,1,naive,naive
P45983,P35222,-1,naive,naive
P68400,P35222,1,naive,naive
P46531,P35222,-1,naive,naive
P35222,O75030,1,naive,naive
P35222,P22736,1,naive,naive
P35222,P36402,1,naive,naive
P11473,P35222,1,naive,naive
P35222,P15884,1,naive,naive
P20749,Q00653,1,naive/stim,naive/stim
P40763,P15172,-1,naive,naive
Q13485,P49711,1,naive,naive
O75925,Q13485,1,naive,naive
Q13485,Q15329,1,naive,naive
O00716,P10244,1,naive,naive
P09874,P10244,1,naive,naive
P31946,P46937,-1,naive,naive
P46937,Q15561,1,naive/stim,naive/stim
P46937,P28347,1,naive/stim,naive/stim
Q15750,P49116,1,naive,naive
P49768,O75460,-1,naive,naive
P28482,P36956,1,naive,naive
P28482,P48552,1,naive,naive
P06400,O00716,-1,naive,naive
Q15418,P11831,1,naive,naive
Q15418,P22736,1,naive,naive
P28482,Q15418,1,naive,naive
Q15418,P50549,1,naive,naive
P06493,P15172,-1,naive,naive
P06493,P39880,-1,naive,naive
Q01094,Q14209,1,naive,naive
P06400,Q14209,-1,naive/stim,naive/stim
Q15831,P49841,1,naive,naive
Q15831,P43268,1,naive,naive
P67775,Q12778,1,naive,naive
P67775,P56524,1,naive/stim,naive/stim
P67775,O96017,1,naive,naive
O60674,P67775,1,naive,naive
Q07869,Q12778,-1,naive,naive
P31946,Q12778,-1,naive,naive
P41235,Q12778,1,naive,naive
O43474,P11831,-1,naive/stim,naive/stim
P68400,O15379,1,naive,naive
P20749,O15379,1,naive,naive
O15379,Q01094,1,naive,naive
P68400,O75925,1,naive/stim,naive/stim
O75925,O75626,1,naive/stim,naive/stim
P42226,P42224,-1,naive,naive
Q05397,P42224,1,naive,naive
Q05655,P42224,1,naive,naive
O60674,P42224,1,naive,naive
P28482,P42224,1,naive,naive
Q15788,P11473,1,naive,naive
P28482,Q15788,1,naive,naive
Q96GD4,P56524,-1,naive,naive
P45983,P22736,-1,naive,naive
P68400,P11831,1,naive/stim,naive/stim
P36402,P11831,1,naive,naive
P68400,Q8TAQ2,1,naive/stim,naive/stim
P68400,P11473,1,naive/stim,naive/stim
P28482,P68400,1,naive,naive
P68400,O95644,1,naive/stim,naive/stim
P68400,P17480,1,naive,naive
P49841,P20749,1,naive/stim,naive/stim
Q15759,Q16236,-1,naive,naive
Q15759,Q15750,-1,naive,naive
P06400,Q01094,-1,naive,naive
O96017,Q01094,1,naive,naive
P09874,Q01094,1,naive,naive
P28482,Q01094,1,naive,naive
P84022,Q06710,-1,naive,naive
O60674,Q05397,1,naive,naive
P49407,P55085,-1,naive,naive
P06400,P17480,-1,naive,naive
P28482,O75030,1,naive/stim,naive/stim
P28482,P22736,1,naive,naive
P22736,P24468,1,naive,naive
Q05513,P49841,-1,naive,naive
P28482,P09874,1,naive,naive
P28482,Q12772,1,naive,naive
Q05655,Q13887,1,naive,naive
P28482,P17535,1,naive,naive
P49841,P33076,1,naive/stim,naive/stim
Q5VWQ8,O60674,-1,naive,naive
P28482,Q9BY84,1,naive,naive
P28482,P19419,1,naive,naive
P28482,P23769,1,naive/stim,naive/stim
P28482,P28324,1,naive,naive
P28482,P56693,1,naive/stim,naive/stim
Q15750,P53778,1,naive,naive
P53778,P41235,1,naive,naive
O00257,O60315,-1,naive,naive
P24468,P10589,1,naive,naive
P33076,O14593,1,naive/stim,naive/stim
Q12778,P15172,1,naive,naive
P14859,Q5VTD9,1,naive/stim,naive/stim
P14859,O43623,1,naive,naive
P19838,P49711,-1,naive/stim,naive/stim
Q01860,Q92908,-1,naive/stim,naive/stim
Q92826,P15884,-1,naive/stim,naive/stim
Q01860,O95936,-1,naive/stim,naive/stim
Q01860,O15178,-1,naive/stim,naive/stim
Q5VWQ8,P37275,-1,naive,naive
P53778,P17275,1,naive,naive
P55085,Q99612,1,naive,naive
P48436,P49716,-1,naive/stim,naive/stim
Q5VWQ8,Q92786,-1,naive,naive
Q9Y6K1,O00470,-1,naive,naive
Q9Y6K1,P31269,-1,naive,naive
P31269,P04198,1,naive,naive
Q96J02,Q15796,1,naive,naive
P46937,Q96J02,-1,naive,naive
P45983,Q96J02,1,naive,naive
Q96J02,P46531,1,naive,naive
O15350,P55212,1,naive,naive
P55212,P05549,1,naive,naive
Q92831,O15350,1,naive,naive
P27361,Q15349,1,naive/stim,naive/stim
Q15349,P18848,1,naive/stim,naive/stim
P27361,Q15796,1,naive/stim,naive/stim
P27361,P40763,1,naive,naive
P67775,P27361,-1,naive,naive
P27361,P05412,1,naive,naive
P27361,P45983,1,naive,naive
P27361,P15336,1,naive/stim,naive/stim
P27361,Q06546,1,naive,naive
P27361,P42229,1,naive/stim,naive/stim
P27361,Q16665,1,naive/stim,naive/stim
P27361,P17676,1,naive,naive
Q05513,P27361,1,naive/stim,naive/stim
Q05655,P27361,-1,naive,naive
P27361,Q07869,1,naive,naive
P27361,Q01196,1,naive,naive
P27361,Q02447,1,naive/stim,naive/stim
P27361,P08047,1,naive/stim,naive/stim
P27361,P14921,1,naive,naive
P27361,P17542,1,naive/stim,naive/stim
P27361,P56270,1,naive/stim,naive/stim
Q15796,Q15797,1,naive/stim,naive/stim
Q92831,Q15796,1,naive/stim,naive/stim
Q15796,Q9UJU2,1,naive/stim,naive/stim
P45983,Q15796,1,naive,naive
Q15796,Q02078,1,naive,naive
Q15796,P84022,1,naive,naive
Q15796,P08047,1,naive/stim,naive/stim
Q15796,Q06413,1,naive/stim,naive/stim
P42229,Q9Y6K1,1,naive,naive
P35222,P48431,-1,naive,naive
Q13490,Q13546,1,naive,naive
P40763,O43474,1,naive/stim,naive/stim
P40763,P18146,1,naive,naive
P45983,P40763,1,naive,naive
P17676,P40763,1,naive,naive
P84022,P40763,1,naive,naive
P40763,P17947,1,naive,naive
P46531,Q15797,1,naive,naive
P28482,Q15797,-1,naive/stim,naive/stim
P10599,P27540,1,naive,naive
P27540,P35869,1,naive,naive
P49715,P22415,1,naive/stim,naive/stim
P49715,P17947,1,naive,naive
P28482,P49715,-1,naive,naive
P19838,Q9Y618,1,naive/stim,naive/stim
P19838,P05412,1,naive,naive
Q92831,Q06330,1,naive/stim,naive/stim
Q92831,P10914,1,naive,naive
Q92831,P46531,1,naive,naive
Q92831,P84022,1,naive,naive
P05114,Q92831,1,naive,naive
Q92831,Q06413,1,naive/stim,naive/stim
Q92831,Q9Y2Y9,1,naive/stim,naive/stim
Q96GD4,P25490,1,naive,naive
P23246,Q15233,1,naive,naive
P48552,Q13285,-1,naive,naive
P49841,P10070,-1,naive/stim,naive/stim
Q12778,Q9Y618,-1,naive,naive
Q06330,Q9Y618,1,naive,naive
Q07869,Q9Y618,1,naive/stim,naive/stim
P49841,P06493,-1,naive,naive
P06493,P08047,1,naive,naive
P28482,P06493,-1,naive,naive
P06493,Q01167,1,naive,naive
Q15831,Q13153,-1,naive,naive
P49768,P46531,1,naive,naive
Q05513,P49768,1,naive,naive
P49841,P49768,-1,naive,naive
P67775,Q13153,-1,naive,naive
P67775,Q05513,-1,naive,naive
P67775,P32519,-1,naive/stim,naive/stim
Q06546,P10599,1,naive,naive
P10599,P08047,1,naive,naive
Q01094,P20226,-1,naive,naive
P05412,P18146,1,naive,naive
O15379,O60675,-1,naive,naive
P45983,Q14653,1,naive,naive
Q14653,P01574,1,naive,naive
P78527,Q14653,1,naive,naive
P46531,P48431,1,naive,naive
P42224,Q16665,-1,naive,naive
P46531,Q9UJU2,1,naive,naive
P84022,Q9UJU2,1,naive,naive
P45983,P05412,1,naive,naive
P68400,P05412,-1,naive,naive
Q15759,P05412,1,naive,naive
P05412,P15407,1,naive,naive
P06400,P05412,1,naive,naive
P11473,P05412,-1,naive,naive
P05412,P17947,1,naive,naive
P49841,P05412,-1,naive,naive
P05412,P14921,1,naive,naive
P05412,P15408,1,naive,naive
P45983,P10276,1,naive,naive
P56524,Q02078,-1,naive/stim,naive/stim
P56524,P84022,-1,naive,naive
P56524,Q06413,-1,naive,naive
P10242,P23771,1,naive,naive
P10242,P17676,1,naive,naive
P28482,P10242,-1,naive,naive
P46531,Q06330,1,naive,naive
Q06330,P23759,1,naive/stim,naive/stim
P45983,P15336,1,naive,naive
P45983,P42229,1,naive,naive
P78527,P45983,1,naive,naive
P45983,P84022,1,naive,naive
Q05513,P45983,1,naive,naive
P45983,O43524,1,naive,naive
P45983,P08047,1,naive,naive
P28482,P45983,-1,naive,naive
P45983,P17544,1,naive,naive
Q9BY84,P45983,-1,naive,naive
P42226,P23771,1,naive/stim,naive/stim
P84022,P23771,1,naive,naive
P68400,P61244,-1,naive/stim,naive/stim
P84022,P61244,1,naive,naive
Q03164,Q01201,1,naive/stim,naive/stim
Q96GD4,P06400,1,naive,naive
P09874,Q96GD4,-1,naive,naive
Q05513,P42226,1,naive/stim,naive/stim
Q15759,P22415,1,naive,naive
P78527,P22415,1,naive,naive
P68400,P05114,-1,naive,naive
P68400,P08047,-1,naive,naive
P68400,Q13133,-1,naive/stim,naive/stim
P68400,Q13422,-1,naive,naive
P68400,Q01892,-1,naive/stim,naive/stim
Q15759,P15336,1,naive,naive
P06400,P15336,1,naive,naive
Q15759,Q02078,1,naive,naive
Q15759,O60381,1,naive,naive
Q9BY84,Q15759,-1,naive,naive
Q15759,Q06413,1,naive,naive
P49841,P15407,-1,naive/stim,naive/stim
P15408,P15407,1,naive,naive
P10914,Q9BX63,1,naive,naive
Q13546,Q5VWQ8,1,naive/stim,naive/stim
P46531,Q16665,1,naive,naive
P84022,P46531,1,naive,naive
P28482,P49407,-1,naive,naive
P06400,Q16665,1,naive,naive
P06400,Q02447,1,naive,naive
P06400,P08047,1,naive,naive
P01574,P48551,1,naive,naive
Q13153,P78545,1,naive/stim,naive/stim
P08047,Q9UL17,1,naive,naive
P49841,P23246,-1,naive,naive
Q05655,P78527,-1,naive,naive
P28482,P84022,-1,naive,naive
Q05513,P08047,1,naive/stim,naive/stim
Q03164,Q01196,1,naive,naive
P23759,Q03164,1,naive/stim,naive/stim
P09874,Q9UGL1,-1,naive,naive
Q05655,P31946,-1,naive,naive
Q05655,P10588,-1,naive,naive
P28482,O43524,-1,naive/stim,naive/stim
P23769,P17947,-1,naive/stim,naive/stim
Q02447,P08047,1,naive/stim,naive/stim
P49841,Q14494,-1,naive/stim,naive/stim
Q9UGL1,O00257,1,naive,naive
P28482,Q01860,-1,naive,naive
Q86Y01,P50553,-1,naive/stim,naive/stim
P48551,Q00978,1,naive,naive
P78545,Q9NZC4,1,naive/stim,naive/stim
P23771,P11308,1,naive/stim,naive/stim
Q06413,P05412,1,naive,naive
P19838,Q13490,1,naive,naive
Q9UJU2,P49715,1,naive,naive
P17542,Q06413,1,naive/stim,naive/stim
P17542,P11308,1,naive/stim,naive/stim
Q5VTD9,Q06413,-1,naive,naive
P04198,Q06413,-1,naive/stim,naive/stim
P31269,Q06413,-1,naive,naive
Q01860,P48431,1,naive/stim,naive/stim
P37275,Q6ISB3,-1,naive/stim,naive/stim
O15054,Q15306,1,naive,naive
P46531,Q99081,1,naive,naive
P27361,P48436,1,naive,naive
P42226,Q07869,1,naive,naive
P42226,O15054,1,naive,naive
P42226,O43474,1,naive,naive
P56524,Q92826,-1,naive/stim,naive/stim
P46734,Q15759,1,naive,naive
Q13153,P46734,1,naive,naive
P19838,Q13489,1,naive/stim,naive/stim
Q13489,Q13546,1,naive/stim,naive/stim
Q8N5C8,P45983,1,naive,naive
Q8N5C8,Q15759,1,naive,naive
Q13546,Q8N5C8,1,naive,naive
P52564,Q16236,-1,naive,naive
P52564,P45983,1,naive,naive
P52564,Q15759,1,naive,naive
Q13153,P52564,1,naive,naive
Q04721,Q86Y01,1,naive,naive
Q13363,O60315,1,naive/stim,naive/stim
P25490,Q04721,-1,naive,naive
Q06330,Q14469,1,stim,stim
P24941,Q08050,1,stim,stim
P11802,Q08050,1,stim,stim
Q15349,P03372,1,stim,stim
O15530,Q15349,1,stim,stim
Q15349,P01100,1,stim,stim
Q13131,P14859,-1,stim,stim
Q09472,O43524,-1,stim,stim
P27361,P03372,1,stim,stim
P27361,P36956,1,stim,stim
P27361,P24941,1,stim,stim
P27361,P68400,1,stim,stim
P27361,P20749,1,stim,stim
P27361,P23443,1,stim,stim
P27361,P15923,1,stim,stim
P27361,Q15672,1,stim,stim
P27361,Q9NRA0,1,stim,stim
P27361,Q12772,1,stim,stim
P27361,P17535,1,stim,stim
P27361,P01100,1,stim,stim
P27361,P28324,1,stim,stim
P67775,Q15796,1,stim,stim
Q13547,Q15796,-1,stim,stim
Q9UQM7,Q15796,-1,stim,stim
P29350,P51692,-1,stim,stim
Q00653,Q01201,1,stim,stim
P40763,Q16665,-1,stim,stim
P46937,Q15797,1,stim,stim
Q15797,O14640,1,stim,stim
Q13131,Q13363,-1,stim,stim
Q9H3D4,P46937,-1,stim,stim
Q13131,P49116,-1,stim,stim
P16220,O43524,-1,stim,stim
Q16539,Q92831,1,stim,stim
Q92831,P33076,1,stim,stim
Q16539,Q9Y6Q9,1,stim,stim
Q9Y618,P03372,-1,stim,stim
P24941,P03372,1,stim,stim
O75925,P03372,1,stim,stim
P03372,P23771,1,stim,stim
P23443,P03372,1,stim,stim
Q13153,P03372,1,stim,stim
Q16539,P03372,1,stim,stim
P49841,P03372,1,stim,stim
P23443,P36956,1,stim,stim
P08047,P36956,1,stim,stim
Q13131,P36956,-1,stim,stim
Q14186,Q14209,1,stim,stim
P29350,Q12809,-1,stim,stim
O75676,P49841,-1,stim,stim
P24941,Q14207,1,stim,stim
P24941,Q14186,1,stim,stim
P24941,Q01167,1,stim,stim
P67775,O43524,1,stim,stim
Q16539,P67775,1,stim,stim
P67775,P08047,1,stim,stim
P19338,P27694,1,stim,stim
Q05513,P19338,1,stim,stim
P20226,P04150,1,stim,stim
P06400,P20226,-1,stim,stim
Q16539,Q14765,1,stim,stim
Q16539,P42224,1,stim,stim
P68400,Q9UJU2,1,stim,stim
P08047,P56524,1,stim,stim
Q13131,P56524,-1,stim,stim
Q13547,Q06330,-1,stim,stim
Q14207,Q9BQA5,1,stim,stim
Q13547,O60675,-1,stim,stim
Q13547,Q13351,-1,stim,stim
O15530,P23443,1,stim,stim
O15530,Q13153,1,stim,stim
O15530,Q05513,1,stim,stim
P42336,O15530,1,stim,stim
O15530,Q16512,1,stim,stim
Q05513,Q9UNE7,1,stim,stim
Q9UQM7,P15036,-1,stim,stim
P04150,P42229,1,stim,stim
Q16539,P04150,1,stim,stim
P28482,P04150,-1,stim,stim
P33076,P25208,1,stim,stim
P68400,Q15672,1,stim,stim
P68400,O14640,1,stim,stim
P68400,P56270,1,stim,stim
P68400,P05549,1,stim,stim
Q16539,P15336,1,stim,stim
P01137,Q06710,-1,stim,stim
P27694,Q9BX63,1,stim,stim
Q05513,P23443,1,stim,stim
P42336,P23443,1,stim,stim
P23443,Q03060,1,stim,stim
P06400,P17947,-1,stim,stim
P06400,P21675,-1,stim,stim
Q16539,P15923,1,stim,stim
Q9UBK2,O43524,-1,stim,stim
Q16539,Q15672,1,stim,stim
Q03164,P31269,1,stim,stim
Q05513,O95644,1,stim,stim
Q16539,O60381,1,stim,stim
O14640,P25116,1,stim,stim
Q16539,O43524,1,stim,stim
Q16539,P01100,1,stim,stim
Q16539,O75807,1,stim,stim
Q16512,Q16539,1,stim,stim
Q16539,P28324,1,stim,stim
Q16539,Q02080,1,stim,stim
Q16539,Q99626,1,stim,stim
Q16539,Q06413,1,stim,stim
P28324,P01100,1,stim,stim
Q5VWQ8,P42336,-1,stim,stim
O75807,P36873,1,stim,stim
P36873,Q13422,1,stim,stim
Q01860,Q9Y261,-1,stim,stim
P14859,Q15672,1,stim,stim
Q13547,P11473,-1,stim,stim
O43623,P11473,-1,stim,stim
P28347,O43524,1,stim,stim
P27540,P01100,-1,stim,stim
Q15672,P01100,1,stim,stim
Q01860,Q99626,-1,stim,stim
Q06330,Q00653,1,stim,stim
P25208,Q5VTD9,1,stim,stim
Q15672,P10589,1,stim,stim
P25116,Q99612,1,stim,stim
P17947,O00470,1,stim,stim
P01137,P11802,-1,stim,stim
P27540,P24941,-1,stim,stim
Q14469,Q86Y01,-1,stim,stim
Q9UNE7,Q99717,-1,stim,stim
P18848,Q09472,-1,stim,stim
Q09472,P40763,1,stim,stim
Q13363,Q09472,-1,stim,stim
Q09472,P27540,1,stim,stim
Q09472,P25490,1,stim,stim
Q09472,P15172,1,stim,stim
Q09472,P10242,1,stim,stim
Q09472,Q15596,1,stim,stim
Q09472,P10914,1,stim,stim
