Node1,Node2,Sign
P06239,Q9BZS1,-1
O43318,Q9H2X6,1
Q04759,O43318,1
O43318,Q13131,1
P15336,P18847,1
O75460,P17861,1
Q9HCE7,Q99717,-1
P28482,Q15796,1
P15172,P51532,1
P51532,P37275,1
P40763,P15172,-1
P40763,Q16665,-1
O00716,P10244,1
P09874,P10244,1
P31947,P46937,-1
P46937,Q15561,1
P46937,P28347,1
P23771,P49715,-1
P61244,P49715,-1
Q01196,P49715,-1
P16220,Q12778,-1
Q5VWQ8,O75460,1
Q9H2X6,O00257,1
P06400,O00716,-1
Q15788,Q86X55,1
Q86X55,Q01201,1
Q05655,P29350,1
P29350,O60716,1
O75676,O75030,-1
O75676,P49841,-1
P24941,Q12778,-1
P24941,P15172,-1
Q01094,P20226,-1
P06400,P20226,-1
P31947,Q12778,-1
Q13131,Q12778,1
P41235,Q12778,1
Q04759,Q00613,1
P28482,Q15788,1
P00519,P15172,-1
O60674,Q15910,-1
P23771,Q9UL17,-1
P68400,Q13547,1
P20749,Q13547,1
O15530,Q05655,1
O15530,Q04759,1
P45984,P17275,-1
P33076,P25208,1
P68400,Q04206,1
P28482,P68400,1
P49841,P20749,1
P28482,P15336,1
P42773,P11802,-1
P28482,O75030,1
Q15672,Q04206,-1
Q05655,Q04206,1
Q9UHD2,Q04206,1
P49841,Q04206,1
P28482,Q04206,1
P22736,Q16665,1
P09874,Q16665,1
P28482,Q16665,1
P28482,P22736,1
P22736,P24468,1
Q9UHD2,Q04864,1
P28482,P09874,1
O60674,P08069,-1
P28482,Q12772,1
Q05655,Q13887,1
P28482,P17535,1
Q16539,P49841,-1
Q9Y2E6,Q9UHD2,-1
Q5VWQ8,P49841,1
P49841,P33076,1
Q01105,P62714,-1
Q04759,P28482,1
P28482,P14921,1
P28482,P28324,1
P28482,Q8NHW3,1
P28482,P56693,1
Q92786,P41235,-1
Q9HCE7,Q5VWQ8,-1
P24468,P10589,1
P33076,P48382,1
P33076,O14593,1
Q12778,P15172,1
Q01860,Q9Y261,-1
P16220,O43623,-1
Q01860,Q92908,-1
Q92826,P15884,-1
Q01860,O95936,-1
Q01860,O15178,-1
P25208,Q5VTD9,1
P25116,P15407,1
P25116,Q99612,1
Q9Y6K1,O00470,-1
Q9Y6K1,P31269,-1
Q15672,P25116,-1
P31269,P04198,1
Q8NHW3,P52945,1
O75376,O43623,-1
P06239,P40763,1
P06239,P46531,1
P06239,P42229,1
P06239,P00519,1
P06239,Q16539,1
P06239,Q9H4E7,1
O43318,P84022,-1
Q00535,P40763,1
Q00535,P10275,1
Q00535,O15516,1
P00519,Q00535,1
P24941,Q08050,1
Q92831,O15350,1
Q01094,O15350,1
P00519,O15350,1
Q13131,P14859,-1
Q92831,Q09472,1
Q05655,Q09472,-1
Q16539,Q09472,1
Q13131,Q09472,-1
P42229,Q9Y6K1,1
P29350,P51692,-1
O60674,P51692,1
P29350,P40763,-1
P40763,O43474,1
P40763,P18146,1
P45984,P40763,1
