Node1,Node2,Sign
P06241,Q00535,1
Q99835,P06241,1
Q00535,P12931,1
P12931,P40763,1
P12931,P42224,1
Q99835,P12931,1
P12931,O60716,1
P12931,P28482,1
Q00535,P40763,1
Q00535,O15516,1
Q09472,Q13950,1
P06493,Q13950,1
P17676,Q13950,1
P84022,Q13950,-1
Q13950,P12643,1
P06493,Q08050,1
P12643,Q99717,1
Q13131,P14859,-1
P18848,Q09472,-1
Q09472,P40763,1
Q92831,Q09472,1
Q09472,Q15596,1
Q09472,Q01543,1
Q09472,Q01094,1
Q09472,Q16665,1
Q09472,P11473,1
P28482,Q09472,1
Q13131,Q09472,-1
Q09472,Q06413,1
P27361,P49715,-1
P27361,Q15831,-1
P27361,Q13362,-1
P27361,O43524,-1
P40763,P18146,1
P40763,P42224,1
P17676,P40763,1
P40763,P17947,1
P23458,P40763,1
P28482,P40763,1
Q5VWQ8,P40763,-1
Q13131,P49116,-1
P23771,P49715,-1
P49715,P17947,1
P16220,O43524,-1
Q9Y261,P32243,-1
Q92831,P14316,1
Q92831,Q06413,1
Q92831,P33076,1
P06493,P36956,1
P28482,P36956,1
Q13131,P36956,-1
P23246,Q15233,1
P23458,O14543,1
Q08999,Q15329,1
P06493,Q01094,1
P06493,Q01167,1
Q92997,P49674,1
P49674,Q99835,1
Q05513,Q15831,1
Q15831,P43268,1
P67775,Q05513,-1
P67775,P28482,-1
P67775,P32519,-1
O43474,P11831,-1
Q04206,P18146,1
Q5VWQ8,P31947,-1
Q04206,Q14653,1
Q92945,Q92997,-1
P23458,P42224,1
P28482,P42224,1
P42224,P14316,1
Q01094,Q15910,1
Q13362,P18846,1
P61244,Q99583,1
P61244,P50539,1
Q03164,Q01201,1
Q05513,P42226,1
P23458,P42226,1
P33076,P25208,1
P28482,Q01094,1
P28482,Q06546,1
Q9UBK2,O43524,-1
P28482,Q16665,1
P28482,P17676,1
P84022,P26367,-1
Q03164,P31269,1
Q05513,P23458,1
Q05513,P28482,1
Q03164,Q01196,1
P09874,Q9UGL1,-1
Q9BZS1,P51449,-1
P28482,Q07869,1
P41182,P17535,-1
P28482,P17535,1
P23769,P17947,-1
P28482,Q01196,1
Q01196,Q03014,1
P28482,Q02447,1
P28482,P19419,1
P28482,Q8NHW3,1
P28482,P56693,1
P33076,O14593,1
P19838,P49711,-1
Q01860,Q92908,-1
P20749,P49711,-1
P42229,Q06413,-1
Q01860,O95936,-1
Q01860,Q99626,-1
Q01860,P26367,-1
Q5VWQ8,P37275,-1
P17947,Q01543,1
O15054,Q15306,1
P17947,O00470,1
P28482,P48436,1
Q16552,P57682,1
Q5VWQ8,Q92786,-1
Q06889,Q15742,1
O43524,Q08999,1
P42226,Q07869,1
P42226,O15054,1
Q8NHW3,P52945,1
P51449,Q16552,1
P12931,P67775,-1
Q00535,Q96RR4,-1
Q00535,Q13153,-1
Q09472,P41182,-1
P27361,P16220,1
P27361,Q15788,1
P27361,P20749,1
P27361,P42229,1
P27361,P09874,1
P27361,Q12772,1
P27361,P17542,1
P27361,P28324,1
P20749,Q00653,1
P40763,P15172,-1
P27540,Q9H6Z9,1
Q9UBP5,P27540,-1
Q13362,P16220,-1
P16220,P84022,1
P16220,P21675,1
P20749,P19838,1
Q01094,P19838,-1
Q13546,P19838,1
P09874,P19838,1
P06493,Q9Y6Q9,-1
P49674,P10070,-1
P06493,P15172,-1
P06493,P98177,-1
P06493,P39880,-1
O14763,Q13546,1
Q15831,Q13153,-1
P67775,P98177,1
P31947,P98177,-1
P31947,Q92945,-1
Q15788,P42229,1
Q02078,P15172,1
P84022,P23771,1
Q9H6Z9,Q99814,1
Q96RR4,Q13131,1
Q13546,Q8N5C8,1
Q13546,Q5VWQ8,1
Q13153,P78545,1
Q13131,Q9UBK2,1
Q9UBK2,P11474,1
P42229,Q9BZS1,1
P28482,P84022,-1
P84022,Q9BZS1,1
O60716,Q86T24,-1
P28482,P98177,-1
Q13131,P98177,1
P28482,Q01860,-1
P28482,P17480,-1
P78545,Q9NZC4,1
P23771,P11308,1
P16220,P15172,1
P98177,P15172,1
P17542,P11308,1
Q06330,Q00653,1
P48436,P49716,-1
